Geography,Year,Count
DZ.TN,1901,24.38
DZ.TN,1902,23.98
DZ.TN,1903,23.92
DZ.TN,1904,23.95
DZ.TN,1905,23.93
DZ.TN,1906,23.92
DZ.TN,1907,23.81
DZ.TN,1908,23.87
DZ.TN,1909,23.92
DZ.TN,1910,23.88
DZ.TN,1911,23.57
DZ.TN,1912,23.78
DZ.TN,1913,23.51
DZ.TN,1914,23.25
DZ.TN,1915,23.91
DZ.TN,1916,23.83
DZ.TN,1917,23.81
DZ.TN,1918,23.78
DZ.TN,1919,23.9
DZ.TN,1920,23.83
DZ.TN,1921,23.82
DZ.TN,1922,23.87
DZ.TN,1923,24.03
DZ.TN,1924,24.08
DZ.TN,1925,23.56
DZ.TN,1926,24.57
DZ.TN,1927,24.06
DZ.TN,1928,23.99
DZ.TN,1929,24.03
DZ.TN,1930,24.28
DZ.TN,1931,23.96
DZ.TN,1932,23.55
DZ.TN,1933,24.06
DZ.TN,1934,23.65
DZ.TN,1935,24.04
DZ.TN,1936,23.87
DZ.TN,1937,24.85
DZ.TN,1938,24.26
DZ.TN,1939,23.84
DZ.TN,1940,24.48
DZ.TN,1941,24.34
DZ.TN,1942,24.25
DZ.TN,1943,24.02
DZ.TN,1944,24.23
DZ.TN,1945,24.87
DZ.TN,1946,24.19
DZ.TN,1947,24.59
DZ.TN,1948,24.63
DZ.TN,1949,24.47
DZ.TN,1950,24.33
DZ.TN,1951,23.79
DZ.TN,1952,24.04
DZ.TN,1953,24.05
DZ.TN,1954,23.71
DZ.TN,1955,24.72
DZ.TN,1956,23.14
DZ.TN,1957,23.58
DZ.TN,1958,24.14
DZ.TN,1959,23.8
DZ.TN,1960,23.95
DZ.TN,1961,24.65
DZ.TN,1962,24.1
DZ.TN,1963,23.76
DZ.TN,1964,24.14
DZ.TN,1965,23.81
DZ.TN,1966,23.85
DZ.TN,1967,23.67
DZ.TN,1968,23.7
DZ.TN,1969,23.77
DZ.TN,1970,24.03
DZ.TN,1971,22.99
DZ.TN,1972,23.06
DZ.TN,1973,23.73
DZ.TN,1974,23.55
DZ.TN,1975,23.57
DZ.TN,1976,23.39
DZ.TN,1977,23.67
DZ.TN,1978,24.12
DZ.TN,1979,23.9
DZ.TN,1980,23.92
DZ.TN,1981,24.29
DZ.TN,1982,23.9
DZ.TN,1983,24.49
DZ.TN,1984,23.83
DZ.TN,1985,24.24
DZ.TN,1986,23.76
DZ.TN,1987,24.78
DZ.TN,1988,24.11
DZ.TN,1989,24.51
DZ.TN,1990,24.59
DZ.TN,1991,23.7
DZ.TN,1992,23.82
DZ.TN,1993,23.66
DZ.TN,1994,24.34
DZ.TN,1995,24.94
DZ.TN,1996,24.3
DZ.TN,1997,24.79
DZ.TN,1998,24.67
DZ.TN,1999,24.45
DZ.TN,2000,24.58
DZ.TN,2001,25.11
DZ.TN,2002,24.88
DZ.TN,2003,24.84
DZ.TN,2004,24.56
DZ.TN,2005,24.87
DZ.TN,2006,24.9
DZ.TN,2007,24.67
DZ.TN,2008,24.6
DZ.TN,2009,25.12
DZ.TN,2010,25.45
DZ.TN,2011,24.93
DZ.TN,2012,24.93
DZ.TN,2013,24.78
DZ.TN,2014,25.02
DZ.TN,2015,25.1
DZ.TN,2016,25.16
DZ.TN,2017,25.41
DZ.TN,2018,24.11
DZ.TN,2019,24.71
DZ.TN,2020,24.92
DZ.TN,2021,24.86
DZ.TN,2022,25.58
