Geography,Year,Count
DZ.TR,1901,15.24
DZ.TR,1902,15.47
DZ.TR,1903,15.17
DZ.TR,1904,15.63
DZ.TR,1905,15.11
DZ.TR,1906,15.07
DZ.TR,1907,14.98
DZ.TR,1908,15.23
DZ.TR,1909,14.94
DZ.TR,1910,15.09
DZ.TR,1911,15.48
DZ.TR,1912,15.15
DZ.TR,1913,15.54
DZ.TR,1914,15.37
DZ.TR,1915,15.13
DZ.TR,1916,15.13
DZ.TR,1917,14.65
DZ.TR,1918,14.7
DZ.TR,1919,14.58
DZ.TR,1920,15.21
DZ.TR,1921,15.37
DZ.TR,1922,15.22
DZ.TR,1923,15.2
DZ.TR,1924,15.77
DZ.TR,1925,14.61
DZ.TR,1926,16.01
DZ.TR,1927,15.68
DZ.TR,1928,15.62
DZ.TR,1929,15.25
DZ.TR,1930,15.7
DZ.TR,1931,15.41
DZ.TR,1932,15.02
DZ.TR,1933,15.46
DZ.TR,1934,15.15
DZ.TR,1935,15.22
DZ.TR,1936,15.07
DZ.TR,1937,15.87
DZ.TR,1938,15.22
DZ.TR,1939,15.14
DZ.TR,1940,15.59
DZ.TR,1941,15.19
DZ.TR,1942,15.94
DZ.TR,1943,15.95
DZ.TR,1944,15.4
DZ.TR,1945,16.34
DZ.TR,1946,15.9
DZ.TR,1947,16.12
DZ.TR,1948,16.22
DZ.TR,1949,16.17
DZ.TR,1950,16.19
DZ.TR,1951,15.74
DZ.TR,1952,16.22
DZ.TR,1953,15.87
DZ.TR,1954,15.58
DZ.TR,1955,16.74
DZ.TR,1956,15.11
DZ.TR,1957,15.58
DZ.TR,1958,16.27
DZ.TR,1959,16.23
DZ.TR,1960,15.99
DZ.TR,1961,16.64
DZ.TR,1962,15.84
DZ.TR,1963,15.65
DZ.TR,1964,16.08
DZ.TR,1965,15.89
DZ.TR,1966,15.92
DZ.TR,1967,15.84
DZ.TR,1968,15.99
DZ.TR,1969,15.4
DZ.TR,1970,15.72
DZ.TR,1971,15.24
DZ.TR,1972,14.82
DZ.TR,1973,15.25
DZ.TR,1974,15.24
DZ.TR,1975,15.37
DZ.TR,1976,15.04
DZ.TR,1977,15.77
DZ.TR,1978,15.53
DZ.TR,1979,15.95
DZ.TR,1980,15.66
DZ.TR,1981,15.98
DZ.TR,1982,16.07
DZ.TR,1983,16.36
DZ.TR,1984,15.43
DZ.TR,1985,16.2
DZ.TR,1986,15.95
DZ.TR,1987,16.45
DZ.TR,1988,16.15
DZ.TR,1989,16.63
DZ.TR,1990,16.5
DZ.TR,1991,15.41
DZ.TR,1992,15.46
DZ.TR,1993,15.63
DZ.TR,1994,16.65
DZ.TR,1995,16.51
DZ.TR,1996,15.83
DZ.TR,1997,16.7
DZ.TR,1998,16.1
DZ.TR,1999,16.48
DZ.TR,2000,16.55
DZ.TR,2001,16.81
DZ.TR,2002,16.44
DZ.TR,2003,16.76
DZ.TR,2004,16.25
DZ.TR,2005,15.83
DZ.TR,2006,16.88
DZ.TR,2007,16.25
DZ.TR,2008,16.26
DZ.TR,2009,16.65
DZ.TR,2010,16.51
DZ.TR,2011,16.62
DZ.TR,2012,16.38
DZ.TR,2013,15.99
DZ.TR,2014,16.98
DZ.TR,2015,16.95
DZ.TR,2016,17.07
DZ.TR,2017,17.09
DZ.TR,2018,16.42
DZ.TR,2019,16.63
DZ.TR,2020,16.86
DZ.TR,2021,17.07
DZ.TR,2022,17.66
