Year,Geography,Count
1901,DZ,22.84
1902,DZ,22.84
1903,DZ,22.75
1904,DZ,22.89
1905,DZ,22.7
1906,DZ,22.71
1907,DZ,22.6
1908,DZ,22.71
1909,DZ,22.67
1910,DZ,22.67
1911,DZ,22.77
1912,DZ,22.74
1913,DZ,22.81
1914,DZ,22.69
1915,DZ,22.68
1916,DZ,22.65
1917,DZ,22.54
1918,DZ,22.52
1919,DZ,22.66
1920,DZ,22.82
1921,DZ,22.77
1922,DZ,22.77
1923,DZ,22.68
1924,DZ,22.98
1925,DZ,22.54
1926,DZ,23.13
1927,DZ,22.98
1928,DZ,22.94
1929,DZ,22.79
1930,DZ,23.14
1931,DZ,23.08
1932,DZ,22.64
1933,DZ,22.88
1934,DZ,22.68
1935,DZ,22.91
1936,DZ,22.84
1937,DZ,23.21
1938,DZ,22.91
1939,DZ,22.77
1940,DZ,23.01
1941,DZ,23.06
1942,DZ,23.25
1943,DZ,23.11
1944,DZ,22.92
1945,DZ,23.23
1946,DZ,23.12
1947,DZ,23.38
1948,DZ,23.12
1949,DZ,23.19
1950,DZ,22.89
1951,DZ,23.08
1952,DZ,23.02
1953,DZ,22.91
1954,DZ,22.68
1955,DZ,23.5
1956,DZ,22.5
1957,DZ,22.68
1958,DZ,23.21
1959,DZ,23.07
1960,DZ,23.01
1961,DZ,23.15
1962,DZ,22.91
1963,DZ,22.93
1964,DZ,22.97
1965,DZ,22.81
1966,DZ,23.02
1967,DZ,22.78
1968,DZ,22.98
1969,DZ,22.99
1970,DZ,23.0
1971,DZ,22.57
1972,DZ,22.58
1973,DZ,22.78
1974,DZ,22.52
1975,DZ,22.6
1976,DZ,22.4
1977,DZ,22.98
1978,DZ,22.97
1979,DZ,23.16
1980,DZ,22.94
1981,DZ,23.14
1982,DZ,23.11
1983,DZ,23.34
1984,DZ,22.91
1985,DZ,23.2
1986,DZ,23.01
1987,DZ,23.6
1988,DZ,23.25
1989,DZ,23.39
1990,DZ,23.58
1991,DZ,22.8
1992,DZ,22.78
1993,DZ,23.06
1994,DZ,23.44
1995,DZ,23.57
1996,DZ,23.3
1997,DZ,23.67
1998,DZ,23.49
1999,DZ,23.66
2000,DZ,23.57
2001,DZ,23.83
2002,DZ,23.73
2003,DZ,23.84
2004,DZ,23.56
2005,DZ,23.58
2006,DZ,23.75
2007,DZ,23.59
2008,DZ,23.43
2009,DZ,23.87
2010,DZ,24.1
2011,DZ,23.78
2012,DZ,23.75
2013,DZ,23.49
2014,DZ,23.92
2015,DZ,23.79
2016,DZ,23.99
2017,DZ,23.87
2018,DZ,23.5
2019,DZ,23.66
2020,DZ,23.79
2021,DZ,23.93
2022,DZ,24.11
