Geography,Year,Count
EG.AN,1901,25.69
EG.AN,1902,25.29
EG.AN,1903,24.78
EG.AN,1904,24.77
EG.AN,1905,25.11
EG.AN,1906,25.72
EG.AN,1907,25.06
EG.AN,1908,25.3
EG.AN,1909,26.24
EG.AN,1910,25.18
EG.AN,1911,25.22
EG.AN,1912,25.13
EG.AN,1913,24.89
EG.AN,1914,25.68
EG.AN,1915,26.67
EG.AN,1916,26.3
EG.AN,1917,25.85
EG.AN,1918,25.84
EG.AN,1919,26.28
EG.AN,1920,25.22
EG.AN,1921,25.57
EG.AN,1922,25.93
EG.AN,1923,25.76
EG.AN,1924,25.91
EG.AN,1925,25.88
EG.AN,1926,25.66
EG.AN,1927,26.22
EG.AN,1928,26.62
EG.AN,1929,25.9
EG.AN,1930,26.16
EG.AN,1931,26.35
EG.AN,1932,26.15
EG.AN,1933,26.13
EG.AN,1934,26.21
EG.AN,1935,26.24
EG.AN,1936,26.72
EG.AN,1937,26.41
EG.AN,1938,25.82
EG.AN,1939,26.68
EG.AN,1940,26.45
EG.AN,1941,26.17
EG.AN,1942,25.96
EG.AN,1943,25.2
EG.AN,1944,25.5
EG.AN,1945,25.1
EG.AN,1946,25.65
EG.AN,1947,26.04
EG.AN,1948,24.97
EG.AN,1949,24.93
EG.AN,1950,25.59
EG.AN,1951,25.55
EG.AN,1952,25.76
EG.AN,1953,25.34
EG.AN,1954,25.37
EG.AN,1955,25.96
EG.AN,1956,25.73
EG.AN,1957,25.74
EG.AN,1958,26.06
EG.AN,1959,24.93
EG.AN,1960,26.18
EG.AN,1961,24.87
EG.AN,1962,26.06
EG.AN,1963,26.18
EG.AN,1964,24.69
EG.AN,1965,25.24
EG.AN,1966,25.87
EG.AN,1967,24.55
EG.AN,1968,25.49
EG.AN,1969,26.04
EG.AN,1970,25.22
EG.AN,1971,25.3
EG.AN,1972,25.36
EG.AN,1973,25.47
EG.AN,1974,25.45
EG.AN,1975,25.26
EG.AN,1976,25.64
EG.AN,1977,25.22
EG.AN,1978,25.62
EG.AN,1979,26.38
EG.AN,1980,25.95
EG.AN,1981,25.55
EG.AN,1982,25.16
EG.AN,1983,24.91
EG.AN,1984,25.78
EG.AN,1985,26.11
EG.AN,1986,25.8
EG.AN,1987,25.83
EG.AN,1988,26.01
EG.AN,1989,25.81
EG.AN,1990,26.02
EG.AN,1991,25.89
EG.AN,1992,25.35
EG.AN,1993,26.31
EG.AN,1994,26.03
EG.AN,1995,26.18
EG.AN,1996,26.44
EG.AN,1997,25.85
EG.AN,1998,26.63
EG.AN,1999,26.71
EG.AN,2000,25.87
EG.AN,2001,26.5
EG.AN,2002,26.65
EG.AN,2003,26.41
EG.AN,2004,26.49
EG.AN,2005,26.59
EG.AN,2006,26.47
EG.AN,2007,26.46
EG.AN,2008,26.9
EG.AN,2009,26.82
EG.AN,2010,28.19
EG.AN,2011,26.23
EG.AN,2012,26.93
EG.AN,2013,26.77
EG.AN,2014,27.17
EG.AN,2015,27.06
EG.AN,2016,27.33
EG.AN,2017,26.96
EG.AN,2018,27.28
EG.AN,2019,26.7
EG.AN,2020,26.44
EG.AN,2021,27.2
EG.AN,2022,26.54
