Geography,Year,Count
EG.AT,1901,20.82
EG.AT,1902,20.32
EG.AT,1903,19.35
EG.AT,1904,19.94
EG.AT,1905,20.44
EG.AT,1906,20.99
EG.AT,1907,20.29
EG.AT,1908,20.57
EG.AT,1909,21.65
EG.AT,1910,20.49
EG.AT,1911,20.43
EG.AT,1912,20.42
EG.AT,1913,20.3
EG.AT,1914,20.99
EG.AT,1915,21.99
EG.AT,1916,21.99
EG.AT,1917,21.37
EG.AT,1918,21.26
EG.AT,1919,21.66
EG.AT,1920,20.85
EG.AT,1921,20.92
EG.AT,1922,21.53
EG.AT,1923,21.45
EG.AT,1924,21.36
EG.AT,1925,21.42
EG.AT,1926,21.14
EG.AT,1927,21.64
EG.AT,1928,21.92
EG.AT,1929,21.35
EG.AT,1930,21.74
EG.AT,1931,21.69
EG.AT,1932,21.7
EG.AT,1933,21.31
EG.AT,1934,21.71
EG.AT,1935,21.8
EG.AT,1936,22.06
EG.AT,1937,21.92
EG.AT,1938,21.14
EG.AT,1939,22.03
EG.AT,1940,21.67
EG.AT,1941,21.89
EG.AT,1942,21.62
EG.AT,1943,21.14
EG.AT,1944,21.23
EG.AT,1945,20.7
EG.AT,1946,21.49
EG.AT,1947,21.87
EG.AT,1948,20.57
EG.AT,1949,20.56
EG.AT,1950,21.05
EG.AT,1951,21.31
EG.AT,1952,21.36
EG.AT,1953,20.77
EG.AT,1954,20.87
EG.AT,1955,21.59
EG.AT,1956,21.12
EG.AT,1957,21.19
EG.AT,1958,21.46
EG.AT,1959,20.49
EG.AT,1960,21.85
EG.AT,1961,20.68
EG.AT,1962,21.91
EG.AT,1963,21.81
EG.AT,1964,20.41
EG.AT,1965,20.91
EG.AT,1966,21.75
EG.AT,1967,20.46
EG.AT,1968,21.26
EG.AT,1969,21.47
EG.AT,1970,20.88
EG.AT,1971,20.88
EG.AT,1972,20.95
EG.AT,1973,20.83
EG.AT,1974,21.07
EG.AT,1975,20.85
EG.AT,1976,20.96
EG.AT,1977,20.88
EG.AT,1978,21.1
EG.AT,1979,21.66
EG.AT,1980,21.21
EG.AT,1981,20.94
EG.AT,1982,20.65
EG.AT,1983,20.36
EG.AT,1984,21.0
EG.AT,1985,21.33
EG.AT,1986,21.24
EG.AT,1987,21.12
EG.AT,1988,21.4
EG.AT,1989,21.21
EG.AT,1990,21.37
EG.AT,1991,21.29
EG.AT,1992,20.74
EG.AT,1993,21.5
EG.AT,1994,21.6
EG.AT,1995,21.42
EG.AT,1996,21.65
EG.AT,1997,21.11
EG.AT,1998,21.94
EG.AT,1999,21.96
EG.AT,2000,21.14
EG.AT,2001,21.89
EG.AT,2002,22.02
EG.AT,2003,21.82
EG.AT,2004,21.82
EG.AT,2005,21.77
EG.AT,2006,21.81
EG.AT,2007,21.91
EG.AT,2008,22.25
EG.AT,2009,21.95
EG.AT,2010,23.41
EG.AT,2011,21.59
EG.AT,2012,22.22
EG.AT,2013,22.18
EG.AT,2014,22.45
EG.AT,2015,22.4
EG.AT,2016,22.62
EG.AT,2017,22.1
EG.AT,2018,22.99
EG.AT,2019,22.33
EG.AT,2020,22.21
EG.AT,2021,22.79
EG.AT,2022,22.09
