Geography,Year,Count
EG.BH,1901,20.15
EG.BH,1902,19.65
EG.BH,1903,18.72
EG.BH,1904,19.23
EG.BH,1905,19.61
EG.BH,1906,19.93
EG.BH,1907,19.28
EG.BH,1908,19.47
EG.BH,1909,20.62
EG.BH,1910,19.49
EG.BH,1911,19.4
EG.BH,1912,19.57
EG.BH,1913,19.57
EG.BH,1914,20.07
EG.BH,1915,20.9
EG.BH,1916,21.03
EG.BH,1917,20.45
EG.BH,1918,20.4
EG.BH,1919,20.71
EG.BH,1920,20.07
EG.BH,1921,19.82
EG.BH,1922,20.64
EG.BH,1923,20.66
EG.BH,1924,20.53
EG.BH,1925,20.61
EG.BH,1926,20.45
EG.BH,1927,20.89
EG.BH,1928,21.06
EG.BH,1929,20.34
EG.BH,1930,20.89
EG.BH,1931,20.74
EG.BH,1932,20.64
EG.BH,1933,20.01
EG.BH,1934,20.71
EG.BH,1935,20.89
EG.BH,1936,20.85
EG.BH,1937,20.98
EG.BH,1938,20.27
EG.BH,1939,21.07
EG.BH,1940,20.63
EG.BH,1941,20.87
EG.BH,1942,20.7
EG.BH,1943,20.36
EG.BH,1944,20.39
EG.BH,1945,20.0
EG.BH,1946,20.78
EG.BH,1947,21.13
EG.BH,1948,19.86
EG.BH,1949,19.8
EG.BH,1950,20.05
EG.BH,1951,20.55
EG.BH,1952,20.58
EG.BH,1953,19.8
EG.BH,1954,20.05
EG.BH,1955,20.76
EG.BH,1956,20.09
EG.BH,1957,20.34
EG.BH,1958,20.71
EG.BH,1959,19.82
EG.BH,1960,21.13
EG.BH,1961,20.12
EG.BH,1962,21.11
EG.BH,1963,21.01
EG.BH,1964,19.99
EG.BH,1965,20.31
EG.BH,1966,21.12
EG.BH,1967,19.99
EG.BH,1968,20.79
EG.BH,1969,20.45
EG.BH,1970,20.29
EG.BH,1971,20.17
EG.BH,1972,20.35
EG.BH,1973,20.14
EG.BH,1974,20.26
EG.BH,1975,20.2
EG.BH,1976,19.99
EG.BH,1977,20.38
EG.BH,1978,20.3
EG.BH,1979,20.92
EG.BH,1980,20.49
EG.BH,1981,20.47
EG.BH,1982,20.04
EG.BH,1983,19.78
EG.BH,1984,20.14
EG.BH,1985,20.4
EG.BH,1986,20.55
EG.BH,1987,20.09
EG.BH,1988,20.61
EG.BH,1989,20.37
EG.BH,1990,20.69
EG.BH,1991,20.55
EG.BH,1992,19.87
EG.BH,1993,20.46
EG.BH,1994,20.93
EG.BH,1995,20.47
EG.BH,1996,20.68
EG.BH,1997,20.33
EG.BH,1998,21.07
EG.BH,1999,21.08
EG.BH,2000,20.58
EG.BH,2001,21.06
EG.BH,2002,21.05
EG.BH,2003,20.91
EG.BH,2004,20.75
EG.BH,2005,20.65
EG.BH,2006,20.82
EG.BH,2007,21.22
EG.BH,2008,21.35
EG.BH,2009,21.09
EG.BH,2010,22.04
EG.BH,2011,21.2
EG.BH,2012,21.8
EG.BH,2013,21.75
EG.BH,2014,21.77
EG.BH,2015,21.37
EG.BH,2016,22.02
EG.BH,2017,21.47
EG.BH,2018,22.43
EG.BH,2019,21.66
EG.BH,2020,21.55
EG.BH,2021,22.18
EG.BH,2022,21.54
