Geography,Year,Count
EG.DT,1901,20.24
EG.DT,1902,19.77
EG.DT,1903,18.76
EG.DT,1904,19.37
EG.DT,1905,19.68
EG.DT,1906,19.99
EG.DT,1907,19.31
EG.DT,1908,19.44
EG.DT,1909,20.63
EG.DT,1910,19.51
EG.DT,1911,19.42
EG.DT,1912,19.64
EG.DT,1913,19.67
EG.DT,1914,20.16
EG.DT,1915,20.89
EG.DT,1916,21.08
EG.DT,1917,20.5
EG.DT,1918,20.46
EG.DT,1919,20.76
EG.DT,1920,20.16
EG.DT,1921,19.81
EG.DT,1922,20.66
EG.DT,1923,20.74
EG.DT,1924,20.62
EG.DT,1925,20.71
EG.DT,1926,20.55
EG.DT,1927,20.98
EG.DT,1928,21.11
EG.DT,1929,20.42
EG.DT,1930,20.99
EG.DT,1931,20.8
EG.DT,1932,20.71
EG.DT,1933,20.07
EG.DT,1934,20.78
EG.DT,1935,20.98
EG.DT,1936,20.9
EG.DT,1937,21.09
EG.DT,1938,20.34
EG.DT,1939,21.15
EG.DT,1940,20.73
EG.DT,1941,20.94
EG.DT,1942,20.79
EG.DT,1943,20.45
EG.DT,1944,20.49
EG.DT,1945,20.07
EG.DT,1946,20.85
EG.DT,1947,21.22
EG.DT,1948,19.88
EG.DT,1949,19.85
EG.DT,1950,20.15
EG.DT,1951,20.91
EG.DT,1952,20.87
EG.DT,1953,20.08
EG.DT,1954,20.47
EG.DT,1955,21.07
EG.DT,1956,20.33
EG.DT,1957,20.56
EG.DT,1958,20.97
EG.DT,1959,19.97
EG.DT,1960,21.37
EG.DT,1961,20.32
EG.DT,1962,21.44
EG.DT,1963,21.18
EG.DT,1964,19.95
EG.DT,1965,20.48
EG.DT,1966,21.28
EG.DT,1967,20.09
EG.DT,1968,21.28
EG.DT,1969,20.91
EG.DT,1970,20.35
EG.DT,1971,20.19
EG.DT,1972,20.46
EG.DT,1973,20.4
EG.DT,1974,20.53
EG.DT,1975,20.6
EG.DT,1976,20.42
EG.DT,1977,20.71
EG.DT,1978,20.64
EG.DT,1979,21.07
EG.DT,1980,20.48
EG.DT,1981,20.58
EG.DT,1982,20.16
EG.DT,1983,19.89
EG.DT,1984,20.34
EG.DT,1985,20.63
EG.DT,1986,20.93
EG.DT,1987,20.1
EG.DT,1988,20.52
EG.DT,1989,20.32
EG.DT,1990,20.58
EG.DT,1991,20.46
EG.DT,1992,19.85
EG.DT,1993,20.33
EG.DT,1994,20.81
EG.DT,1995,20.4
EG.DT,1996,20.58
EG.DT,1997,20.28
EG.DT,1998,20.98
EG.DT,1999,20.9
EG.DT,2000,20.39
EG.DT,2001,20.98
EG.DT,2002,20.95
EG.DT,2003,20.67
EG.DT,2004,20.6
EG.DT,2005,20.54
EG.DT,2006,20.69
EG.DT,2007,21.02
EG.DT,2008,21.23
EG.DT,2009,21.43
EG.DT,2010,22.43
EG.DT,2011,21.29
EG.DT,2012,22.0
EG.DT,2013,21.89
EG.DT,2014,21.93
EG.DT,2015,21.59
EG.DT,2016,22.14
EG.DT,2017,21.68
EG.DT,2018,22.43
EG.DT,2019,21.77
EG.DT,2020,21.74
EG.DT,2021,22.32
EG.DT,2022,21.68
