Geography,Year,Count
EG.IS,1901,20.96
EG.IS,1902,20.46
EG.IS,1903,19.43
EG.IS,1904,20.06
EG.IS,1905,20.4
EG.IS,1906,20.74
EG.IS,1907,20.06
EG.IS,1908,20.21
EG.IS,1909,21.41
EG.IS,1910,20.26
EG.IS,1911,20.16
EG.IS,1912,20.36
EG.IS,1913,20.39
EG.IS,1914,20.9
EG.IS,1915,21.71
EG.IS,1916,21.84
EG.IS,1917,21.27
EG.IS,1918,21.2
EG.IS,1919,21.53
EG.IS,1920,20.91
EG.IS,1921,20.62
EG.IS,1922,21.43
EG.IS,1923,21.46
EG.IS,1924,21.37
EG.IS,1925,21.44
EG.IS,1926,21.24
EG.IS,1927,21.67
EG.IS,1928,21.9
EG.IS,1929,21.23
EG.IS,1930,21.74
EG.IS,1931,21.58
EG.IS,1932,21.53
EG.IS,1933,20.94
EG.IS,1934,21.57
EG.IS,1935,21.77
EG.IS,1936,21.76
EG.IS,1937,21.84
EG.IS,1938,21.08
EG.IS,1939,21.93
EG.IS,1940,21.54
EG.IS,1941,21.76
EG.IS,1942,21.57
EG.IS,1943,21.19
EG.IS,1944,21.24
EG.IS,1945,20.81
EG.IS,1946,21.58
EG.IS,1947,21.99
EG.IS,1948,20.65
EG.IS,1949,20.61
EG.IS,1950,20.89
EG.IS,1951,21.63
EG.IS,1952,21.68
EG.IS,1953,20.84
EG.IS,1954,21.2
EG.IS,1955,21.72
EG.IS,1956,20.98
EG.IS,1957,21.25
EG.IS,1958,21.61
EG.IS,1959,20.67
EG.IS,1960,22.11
EG.IS,1961,21.05
EG.IS,1962,22.2
EG.IS,1963,21.96
EG.IS,1964,20.72
EG.IS,1965,21.25
EG.IS,1966,21.99
EG.IS,1967,20.77
EG.IS,1968,21.84
EG.IS,1969,21.63
EG.IS,1970,20.91
EG.IS,1971,20.73
EG.IS,1972,20.94
EG.IS,1973,20.94
EG.IS,1974,21.44
EG.IS,1975,21.5
EG.IS,1976,21.36
EG.IS,1977,21.44
EG.IS,1978,21.42
EG.IS,1979,21.8
EG.IS,1980,21.27
EG.IS,1981,21.34
EG.IS,1982,20.85
EG.IS,1983,20.58
EG.IS,1984,21.11
EG.IS,1985,21.45
EG.IS,1986,21.51
EG.IS,1987,20.91
EG.IS,1988,21.28
EG.IS,1989,20.97
EG.IS,1990,21.16
EG.IS,1991,21.09
EG.IS,1992,20.53
EG.IS,1993,21.07
EG.IS,1994,21.6
EG.IS,1995,21.13
EG.IS,1996,21.35
EG.IS,1997,20.99
EG.IS,1998,21.81
EG.IS,1999,21.69
EG.IS,2000,21.17
EG.IS,2001,21.95
EG.IS,2002,21.81
EG.IS,2003,21.8
EG.IS,2004,21.69
EG.IS,2005,21.61
EG.IS,2006,21.57
EG.IS,2007,21.89
EG.IS,2008,22.09
EG.IS,2009,22.16
EG.IS,2010,23.23
EG.IS,2011,22.13
EG.IS,2012,22.75
EG.IS,2013,22.68
EG.IS,2014,22.66
EG.IS,2015,22.37
EG.IS,2016,22.88
EG.IS,2017,22.4
EG.IS,2018,23.17
EG.IS,2019,22.5
EG.IS,2020,22.47
EG.IS,2021,23.04
EG.IS,2022,22.41
