Geography,Year,Count
EG.QL,1901,21.13
EG.QL,1902,20.62
EG.QL,1903,19.62
EG.QL,1904,20.21
EG.QL,1905,20.59
EG.QL,1906,20.93
EG.QL,1907,20.27
EG.QL,1908,20.44
EG.QL,1909,21.62
EG.QL,1910,20.5
EG.QL,1911,20.39
EG.QL,1912,20.54
EG.QL,1913,20.53
EG.QL,1914,21.08
EG.QL,1915,21.87
EG.QL,1916,22.0
EG.QL,1917,21.44
EG.QL,1918,21.35
EG.QL,1919,21.71
EG.QL,1920,21.07
EG.QL,1921,20.79
EG.QL,1922,21.59
EG.QL,1923,21.63
EG.QL,1924,21.53
EG.QL,1925,21.6
EG.QL,1926,21.4
EG.QL,1927,21.83
EG.QL,1928,22.07
EG.QL,1929,21.38
EG.QL,1930,21.9
EG.QL,1931,21.74
EG.QL,1932,21.67
EG.QL,1933,21.09
EG.QL,1934,21.72
EG.QL,1935,21.91
EG.QL,1936,21.89
EG.QL,1937,21.98
EG.QL,1938,21.26
EG.QL,1939,22.09
EG.QL,1940,21.68
EG.QL,1941,21.93
EG.QL,1942,21.75
EG.QL,1943,21.39
EG.QL,1944,21.39
EG.QL,1945,20.99
EG.QL,1946,21.78
EG.QL,1947,22.13
EG.QL,1948,20.85
EG.QL,1949,20.81
EG.QL,1950,21.03
EG.QL,1951,21.56
EG.QL,1952,21.68
EG.QL,1953,20.78
EG.QL,1954,21.14
EG.QL,1955,21.69
EG.QL,1956,21.11
EG.QL,1957,21.35
EG.QL,1958,21.69
EG.QL,1959,20.77
EG.QL,1960,22.13
EG.QL,1961,21.2
EG.QL,1962,22.2
EG.QL,1963,22.03
EG.QL,1964,20.97
EG.QL,1965,21.31
EG.QL,1966,22.14
EG.QL,1967,20.94
EG.QL,1968,21.96
EG.QL,1969,21.78
EG.QL,1970,21.23
EG.QL,1971,21.08
EG.QL,1972,21.25
EG.QL,1973,21.24
EG.QL,1974,21.42
EG.QL,1975,21.3
EG.QL,1976,21.13
EG.QL,1977,21.46
EG.QL,1978,21.49
EG.QL,1979,21.96
EG.QL,1980,21.52
EG.QL,1981,21.48
EG.QL,1982,20.96
EG.QL,1983,20.7
EG.QL,1984,21.12
EG.QL,1985,21.53
EG.QL,1986,21.62
EG.QL,1987,21.12
EG.QL,1988,21.59
EG.QL,1989,21.27
EG.QL,1990,21.55
EG.QL,1991,21.48
EG.QL,1992,20.81
EG.QL,1993,21.42
EG.QL,1994,21.88
EG.QL,1995,21.39
EG.QL,1996,21.64
EG.QL,1997,21.29
EG.QL,1998,22.04
EG.QL,1999,21.96
EG.QL,2000,21.46
EG.QL,2001,22.17
EG.QL,2002,22.05
EG.QL,2003,22.06
EG.QL,2004,21.93
EG.QL,2005,21.77
EG.QL,2006,21.79
EG.QL,2007,22.2
EG.QL,2008,22.32
EG.QL,2009,22.15
EG.QL,2010,23.11
EG.QL,2011,22.33
EG.QL,2012,22.95
EG.QL,2013,22.88
EG.QL,2014,22.84
EG.QL,2015,22.53
EG.QL,2016,23.1
EG.QL,2017,22.58
EG.QL,2018,23.44
EG.QL,2019,22.69
EG.QL,2020,22.59
EG.QL,2021,23.2
EG.QL,2022,22.57
