Geography,Year,Count
EG.QN,1901,23.13
EG.QN,1902,22.67
EG.QN,1903,21.8
EG.QN,1904,22.24
EG.QN,1905,22.74
EG.QN,1906,23.33
EG.QN,1907,22.6
EG.QN,1908,22.9
EG.QN,1909,23.98
EG.QN,1910,22.81
EG.QN,1911,22.74
EG.QN,1912,22.73
EG.QN,1913,22.58
EG.QN,1914,23.31
EG.QN,1915,24.34
EG.QN,1916,24.3
EG.QN,1917,23.69
EG.QN,1918,23.59
EG.QN,1919,23.99
EG.QN,1920,23.14
EG.QN,1921,23.24
EG.QN,1922,23.84
EG.QN,1923,23.75
EG.QN,1924,23.66
EG.QN,1925,23.72
EG.QN,1926,23.43
EG.QN,1927,23.95
EG.QN,1928,24.24
EG.QN,1929,23.66
EG.QN,1930,24.06
EG.QN,1931,24.01
EG.QN,1932,24.02
EG.QN,1933,23.66
EG.QN,1934,24.05
EG.QN,1935,24.12
EG.QN,1936,24.42
EG.QN,1937,24.25
EG.QN,1938,23.46
EG.QN,1939,24.34
EG.QN,1940,24.01
EG.QN,1941,24.19
EG.QN,1942,23.93
EG.QN,1943,23.3
EG.QN,1944,23.47
EG.QN,1945,22.98
EG.QN,1946,23.74
EG.QN,1947,24.14
EG.QN,1948,22.84
EG.QN,1949,22.86
EG.QN,1950,23.32
EG.QN,1951,23.57
EG.QN,1952,23.7
EG.QN,1953,23.23
EG.QN,1954,23.22
EG.QN,1955,23.85
EG.QN,1956,23.56
EG.QN,1957,23.52
EG.QN,1958,23.77
EG.QN,1959,22.77
EG.QN,1960,24.14
EG.QN,1961,22.9
EG.QN,1962,24.24
EG.QN,1963,24.11
EG.QN,1964,22.67
EG.QN,1965,23.21
EG.QN,1966,23.89
EG.QN,1967,22.53
EG.QN,1968,23.38
EG.QN,1969,23.82
EG.QN,1970,23.14
EG.QN,1971,23.22
EG.QN,1972,23.27
EG.QN,1973,23.2
EG.QN,1974,23.26
EG.QN,1975,22.99
EG.QN,1976,23.3
EG.QN,1977,23.1
EG.QN,1978,23.4
EG.QN,1979,24.02
EG.QN,1980,23.57
EG.QN,1981,23.23
EG.QN,1982,22.9
EG.QN,1983,22.62
EG.QN,1984,23.4
EG.QN,1985,23.74
EG.QN,1986,23.53
EG.QN,1987,23.47
EG.QN,1988,23.75
EG.QN,1989,23.53
EG.QN,1990,23.69
EG.QN,1991,23.63
EG.QN,1992,23.02
EG.QN,1993,23.9
EG.QN,1994,23.83
EG.QN,1995,23.84
EG.QN,1996,24.03
EG.QN,1997,23.52
EG.QN,1998,24.36
EG.QN,1999,24.35
EG.QN,2000,23.45
EG.QN,2001,24.11
EG.QN,2002,24.31
EG.QN,2003,24.04
EG.QN,2004,24.08
EG.QN,2005,24.06
EG.QN,2006,24.11
EG.QN,2007,24.12
EG.QN,2008,24.48
EG.QN,2009,24.31
EG.QN,2010,25.88
EG.QN,2011,23.87
EG.QN,2012,24.54
EG.QN,2013,24.48
EG.QN,2014,24.78
EG.QN,2015,24.74
EG.QN,2016,24.87
EG.QN,2017,24.47
EG.QN,2018,25.24
EG.QN,2019,24.63
EG.QN,2020,24.49
EG.QN,2021,25.1
EG.QN,2022,24.44
