Geography,Year,Count
EG.SQ,1901,20.91
EG.SQ,1902,20.42
EG.SQ,1903,19.4
EG.SQ,1904,20.01
EG.SQ,1905,20.36
EG.SQ,1906,20.68
EG.SQ,1907,20.0
EG.SQ,1908,20.15
EG.SQ,1909,21.33
EG.SQ,1910,20.22
EG.SQ,1911,20.11
EG.SQ,1912,20.3
EG.SQ,1913,20.32
EG.SQ,1914,20.83
EG.SQ,1915,21.62
EG.SQ,1916,21.75
EG.SQ,1917,21.18
EG.SQ,1918,21.11
EG.SQ,1919,21.45
EG.SQ,1920,20.83
EG.SQ,1921,20.52
EG.SQ,1922,21.35
EG.SQ,1923,21.39
EG.SQ,1924,21.29
EG.SQ,1925,21.36
EG.SQ,1926,21.18
EG.SQ,1927,21.6
EG.SQ,1928,21.81
EG.SQ,1929,21.13
EG.SQ,1930,21.67
EG.SQ,1931,21.5
EG.SQ,1932,21.43
EG.SQ,1933,20.81
EG.SQ,1934,21.47
EG.SQ,1935,21.68
EG.SQ,1936,21.64
EG.SQ,1937,21.75
EG.SQ,1938,21.0
EG.SQ,1939,21.84
EG.SQ,1940,21.43
EG.SQ,1941,21.66
EG.SQ,1942,21.48
EG.SQ,1943,21.11
EG.SQ,1944,21.16
EG.SQ,1945,20.75
EG.SQ,1946,21.54
EG.SQ,1947,21.92
EG.SQ,1948,20.61
EG.SQ,1949,20.57
EG.SQ,1950,20.81
EG.SQ,1951,21.51
EG.SQ,1952,21.54
EG.SQ,1953,20.71
EG.SQ,1954,21.06
EG.SQ,1955,21.62
EG.SQ,1956,20.93
EG.SQ,1957,21.17
EG.SQ,1958,21.51
EG.SQ,1959,20.59
EG.SQ,1960,21.99
EG.SQ,1961,20.98
EG.SQ,1962,22.05
EG.SQ,1963,21.84
EG.SQ,1964,20.65
EG.SQ,1965,21.15
EG.SQ,1966,21.93
EG.SQ,1967,20.7
EG.SQ,1968,21.81
EG.SQ,1969,21.61
EG.SQ,1970,20.95
EG.SQ,1971,20.78
EG.SQ,1972,20.99
EG.SQ,1973,20.98
EG.SQ,1974,21.25
EG.SQ,1975,21.24
EG.SQ,1976,21.11
EG.SQ,1977,21.35
EG.SQ,1978,21.33
EG.SQ,1979,21.74
EG.SQ,1980,21.18
EG.SQ,1981,21.25
EG.SQ,1982,20.76
EG.SQ,1983,20.48
EG.SQ,1984,20.99
EG.SQ,1985,21.37
EG.SQ,1986,21.48
EG.SQ,1987,20.79
EG.SQ,1988,21.21
EG.SQ,1989,20.94
EG.SQ,1990,21.14
EG.SQ,1991,21.08
EG.SQ,1992,20.46
EG.SQ,1993,21.03
EG.SQ,1994,21.52
EG.SQ,1995,21.04
EG.SQ,1996,21.26
EG.SQ,1997,20.95
EG.SQ,1998,21.7
EG.SQ,1999,21.56
EG.SQ,2000,21.09
EG.SQ,2001,21.85
EG.SQ,2002,21.73
EG.SQ,2003,21.66
EG.SQ,2004,21.55
EG.SQ,2005,21.46
EG.SQ,2006,21.49
EG.SQ,2007,21.85
EG.SQ,2008,21.98
EG.SQ,2009,21.98
EG.SQ,2010,22.94
EG.SQ,2011,22.05
EG.SQ,2012,22.68
EG.SQ,2013,22.61
EG.SQ,2014,22.6
EG.SQ,2015,22.28
EG.SQ,2016,22.84
EG.SQ,2017,22.33
EG.SQ,2018,23.14
EG.SQ,2019,22.44
EG.SQ,2020,22.39
EG.SQ,2021,22.97
EG.SQ,2022,22.36
