Geography,Year,Count
EG.SS,1901,19.61
EG.SS,1902,19.15
EG.SS,1903,18.09
EG.SS,1904,18.72
EG.SS,1905,19.05
EG.SS,1906,19.41
EG.SS,1907,18.71
EG.SS,1908,18.89
EG.SS,1909,20.1
EG.SS,1910,18.92
EG.SS,1911,18.82
EG.SS,1912,19.02
EG.SS,1913,19.04
EG.SS,1914,19.57
EG.SS,1915,20.39
EG.SS,1916,20.52
EG.SS,1917,19.95
EG.SS,1918,19.87
EG.SS,1919,20.21
EG.SS,1920,19.58
EG.SS,1921,19.3
EG.SS,1922,20.1
EG.SS,1923,20.13
EG.SS,1924,20.04
EG.SS,1925,20.11
EG.SS,1926,19.89
EG.SS,1927,20.33
EG.SS,1928,20.57
EG.SS,1929,19.91
EG.SS,1930,20.42
EG.SS,1931,20.25
EG.SS,1932,20.22
EG.SS,1933,19.63
EG.SS,1934,20.24
EG.SS,1935,20.47
EG.SS,1936,20.46
EG.SS,1937,20.51
EG.SS,1938,19.75
EG.SS,1939,20.59
EG.SS,1940,20.23
EG.SS,1941,20.44
EG.SS,1942,20.24
EG.SS,1943,19.84
EG.SS,1944,19.92
EG.SS,1945,19.44
EG.SS,1946,20.21
EG.SS,1947,20.63
EG.SS,1948,19.28
EG.SS,1949,19.23
EG.SS,1950,19.61
EG.SS,1951,20.31
EG.SS,1952,20.42
EG.SS,1953,19.49
EG.SS,1954,19.95
EG.SS,1955,20.37
EG.SS,1956,19.6
EG.SS,1957,19.86
EG.SS,1958,20.27
EG.SS,1959,19.25
EG.SS,1960,20.81
EG.SS,1961,19.64
EG.SS,1962,20.98
EG.SS,1963,20.65
EG.SS,1964,19.39
EG.SS,1965,19.97
EG.SS,1966,20.63
EG.SS,1967,19.23
EG.SS,1968,20.3
EG.SS,1969,20.42
EG.SS,1970,19.75
EG.SS,1971,19.43
EG.SS,1972,19.44
EG.SS,1973,19.63
EG.SS,1974,19.91
EG.SS,1975,20.0
EG.SS,1976,19.93
EG.SS,1977,19.96
EG.SS,1978,20.09
EG.SS,1979,20.47
EG.SS,1980,19.91
EG.SS,1981,19.93
EG.SS,1982,19.29
EG.SS,1983,19.12
EG.SS,1984,19.69
EG.SS,1985,20.15
EG.SS,1986,20.01
EG.SS,1987,19.65
EG.SS,1988,19.85
EG.SS,1989,19.59
EG.SS,1990,19.88
EG.SS,1991,19.83
EG.SS,1992,19.06
EG.SS,1993,19.79
EG.SS,1994,20.34
EG.SS,1995,19.96
EG.SS,1996,20.35
EG.SS,1997,19.78
EG.SS,1998,20.77
EG.SS,1999,20.62
EG.SS,2000,19.96
EG.SS,2001,20.82
EG.SS,2002,20.68
EG.SS,2003,20.59
EG.SS,2004,20.43
EG.SS,2005,20.4
EG.SS,2006,20.34
EG.SS,2007,20.62
EG.SS,2008,20.89
EG.SS,2009,21.11
EG.SS,2010,22.27
EG.SS,2011,20.68
EG.SS,2012,21.37
EG.SS,2013,21.25
EG.SS,2014,21.31
EG.SS,2015,21.1
EG.SS,2016,21.53
EG.SS,2017,21.11
EG.SS,2018,21.82
EG.SS,2019,21.21
EG.SS,2020,21.17
EG.SS,2021,21.68
EG.SS,2022,21.07
