Geography,Year,Count
EG.SW,1901,20.2
EG.SW,1902,19.68
EG.SW,1903,18.66
EG.SW,1904,19.31
EG.SW,1905,19.73
EG.SW,1906,20.15
EG.SW,1907,19.45
EG.SW,1908,19.64
EG.SW,1909,20.8
EG.SW,1910,19.66
EG.SW,1911,19.58
EG.SW,1912,19.67
EG.SW,1913,19.66
EG.SW,1914,20.24
EG.SW,1915,21.1
EG.SW,1916,21.18
EG.SW,1917,20.59
EG.SW,1918,20.51
EG.SW,1919,20.87
EG.SW,1920,20.19
EG.SW,1921,20.0
EG.SW,1922,20.75
EG.SW,1923,20.75
EG.SW,1924,20.66
EG.SW,1925,20.72
EG.SW,1926,20.49
EG.SW,1927,20.94
EG.SW,1928,21.2
EG.SW,1929,20.56
EG.SW,1930,21.04
EG.SW,1931,20.9
EG.SW,1932,20.87
EG.SW,1933,20.34
EG.SW,1934,20.9
EG.SW,1935,21.08
EG.SW,1936,21.14
EG.SW,1937,21.15
EG.SW,1938,20.38
EG.SW,1939,21.25
EG.SW,1940,20.87
EG.SW,1941,21.1
EG.SW,1942,20.87
EG.SW,1943,20.47
EG.SW,1944,20.54
EG.SW,1945,20.08
EG.SW,1946,20.85
EG.SW,1947,21.26
EG.SW,1948,19.93
EG.SW,1949,19.9
EG.SW,1950,20.16
EG.SW,1951,20.71
EG.SW,1952,20.84
EG.SW,1953,20.01
EG.SW,1954,20.33
EG.SW,1955,20.83
EG.SW,1956,20.21
EG.SW,1957,20.43
EG.SW,1958,20.79
EG.SW,1959,19.86
EG.SW,1960,21.27
EG.SW,1961,20.22
EG.SW,1962,21.42
EG.SW,1963,21.22
EG.SW,1964,19.98
EG.SW,1965,20.46
EG.SW,1966,21.25
EG.SW,1967,19.96
EG.SW,1968,20.95
EG.SW,1969,20.91
EG.SW,1970,20.18
EG.SW,1971,20.0
EG.SW,1972,20.17
EG.SW,1973,20.17
EG.SW,1974,20.71
EG.SW,1975,20.77
EG.SW,1976,20.62
EG.SW,1977,20.65
EG.SW,1978,20.65
EG.SW,1979,21.04
EG.SW,1980,20.53
EG.SW,1981,20.6
EG.SW,1982,20.07
EG.SW,1983,19.81
EG.SW,1984,20.33
EG.SW,1985,20.68
EG.SW,1986,20.68
EG.SW,1987,20.16
EG.SW,1988,20.52
EG.SW,1989,20.22
EG.SW,1990,20.44
EG.SW,1991,20.33
EG.SW,1992,19.76
EG.SW,1993,20.35
EG.SW,1994,20.88
EG.SW,1995,20.4
EG.SW,1996,20.63
EG.SW,1997,20.23
EG.SW,1998,21.1
EG.SW,1999,21.02
EG.SW,2000,20.44
EG.SW,2001,21.17
EG.SW,2002,21.04
EG.SW,2003,21.07
EG.SW,2004,20.97
EG.SW,2005,20.9
EG.SW,2006,20.85
EG.SW,2007,21.16
EG.SW,2008,21.35
EG.SW,2009,21.29
EG.SW,2010,22.42
EG.SW,2011,21.35
EG.SW,2012,21.99
EG.SW,2013,21.9
EG.SW,2014,21.94
EG.SW,2015,21.68
EG.SW,2016,22.15
EG.SW,2017,21.64
EG.SW,2018,22.46
EG.SW,2019,21.78
EG.SW,2020,21.71
EG.SW,2021,22.25
EG.SW,2022,21.67
