Geography,Year,Count
GA.ES,1901,24.87
GA.ES,1902,25.13
GA.ES,1903,25.27
GA.ES,1904,24.96
GA.ES,1905,25.38
GA.ES,1906,25.31
GA.ES,1907,25.37
GA.ES,1908,24.94
GA.ES,1909,25.53
GA.ES,1910,24.87
GA.ES,1911,25.34
GA.ES,1912,25.41
GA.ES,1913,24.95
GA.ES,1914,25.41
GA.ES,1915,25.23
GA.ES,1916,25.23
GA.ES,1917,25.23
GA.ES,1918,25.22
GA.ES,1919,25.22
GA.ES,1920,25.23
GA.ES,1921,25.23
GA.ES,1922,25.22
GA.ES,1923,25.22
GA.ES,1924,25.24
GA.ES,1925,25.23
GA.ES,1926,25.23
GA.ES,1927,25.23
GA.ES,1928,25.24
GA.ES,1929,25.22
GA.ES,1930,25.23
GA.ES,1931,25.24
GA.ES,1932,25.22
GA.ES,1933,25.24
GA.ES,1934,25.24
GA.ES,1935,25.23
GA.ES,1936,25.23
GA.ES,1937,25.24
GA.ES,1938,25.23
GA.ES,1939,25.23
GA.ES,1940,25.23
GA.ES,1941,25.75
GA.ES,1942,25.61
GA.ES,1943,25.02
GA.ES,1944,25.69
GA.ES,1945,25.68
GA.ES,1946,25.38
GA.ES,1947,25.74
GA.ES,1948,25.32
GA.ES,1949,25.73
GA.ES,1950,25.54
GA.ES,1951,25.63
GA.ES,1952,25.52
GA.ES,1953,25.46
GA.ES,1954,25.06
GA.ES,1955,25.24
GA.ES,1956,25.09
GA.ES,1957,25.46
GA.ES,1958,25.31
GA.ES,1959,25.42
GA.ES,1960,25.52
GA.ES,1961,25.27
GA.ES,1962,25.33
GA.ES,1963,25.71
GA.ES,1964,25.31
GA.ES,1965,25.28
GA.ES,1966,25.64
GA.ES,1967,25.35
GA.ES,1968,25.32
GA.ES,1969,25.5
GA.ES,1970,25.47
GA.ES,1971,25.04
GA.ES,1972,24.96
GA.ES,1973,25.35
GA.ES,1974,24.89
GA.ES,1975,24.88
GA.ES,1976,24.64
GA.ES,1977,25.1
GA.ES,1978,25.08
GA.ES,1979,25.4
GA.ES,1980,25.39
GA.ES,1981,25.17
GA.ES,1982,24.98
GA.ES,1983,25.3
GA.ES,1984,25.48
GA.ES,1985,25.1
GA.ES,1986,25.02
GA.ES,1987,25.64
GA.ES,1988,25.41
GA.ES,1989,25.36
GA.ES,1990,25.46
GA.ES,1991,25.32
GA.ES,1992,25.06
GA.ES,1993,25.25
GA.ES,1994,25.22
GA.ES,1995,25.49
GA.ES,1996,25.24
GA.ES,1997,25.24
GA.ES,1998,25.99
GA.ES,1999,25.47
GA.ES,2000,25.4
GA.ES,2001,25.51
GA.ES,2002,25.76
GA.ES,2003,25.72
GA.ES,2004,25.67
GA.ES,2005,25.66
GA.ES,2006,25.7
GA.ES,2007,25.7
GA.ES,2008,25.53
GA.ES,2009,25.63
GA.ES,2010,25.87
GA.ES,2011,25.5
GA.ES,2012,25.6
GA.ES,2013,25.62
GA.ES,2014,25.61
GA.ES,2015,25.78
GA.ES,2016,26.01
GA.ES,2017,25.75
GA.ES,2018,25.93
GA.ES,2019,25.79
GA.ES,2020,26.05
GA.ES,2021,26.05
GA.ES,2022,25.86
