Geography,Year,Count
GA.NG,1901,24.36
GA.NG,1902,24.55
GA.NG,1903,24.69
GA.NG,1904,24.37
GA.NG,1905,24.77
GA.NG,1906,24.66
GA.NG,1907,24.75
GA.NG,1908,24.34
GA.NG,1909,24.91
GA.NG,1910,24.37
GA.NG,1911,24.8
GA.NG,1912,24.83
GA.NG,1913,24.41
GA.NG,1914,24.78
GA.NG,1915,24.6
GA.NG,1916,24.58
GA.NG,1917,24.62
GA.NG,1918,24.6
GA.NG,1919,24.59
GA.NG,1920,24.61
GA.NG,1921,24.6
GA.NG,1922,24.59
GA.NG,1923,24.58
GA.NG,1924,24.66
GA.NG,1925,24.61
GA.NG,1926,24.61
GA.NG,1927,24.63
GA.NG,1928,24.66
GA.NG,1929,24.56
GA.NG,1930,24.62
GA.NG,1931,24.65
GA.NG,1932,24.56
GA.NG,1933,24.68
GA.NG,1934,24.7
GA.NG,1935,24.64
GA.NG,1936,24.59
GA.NG,1937,24.72
GA.NG,1938,24.63
GA.NG,1939,24.66
GA.NG,1940,24.63
GA.NG,1941,25.14
GA.NG,1942,24.96
GA.NG,1943,24.41
GA.NG,1944,25.12
GA.NG,1945,25.02
GA.NG,1946,24.73
GA.NG,1947,25.16
GA.NG,1948,24.72
GA.NG,1949,25.12
GA.NG,1950,24.89
GA.NG,1951,25.08
GA.NG,1952,25.03
GA.NG,1953,24.96
GA.NG,1954,24.6
GA.NG,1955,24.76
GA.NG,1956,24.69
GA.NG,1957,24.96
GA.NG,1958,24.79
GA.NG,1959,24.91
GA.NG,1960,25.11
GA.NG,1961,24.76
GA.NG,1962,24.8
GA.NG,1963,25.17
GA.NG,1964,24.84
GA.NG,1965,24.79
GA.NG,1966,25.18
GA.NG,1967,24.84
GA.NG,1968,24.8
GA.NG,1969,25.03
GA.NG,1970,24.93
GA.NG,1971,24.55
GA.NG,1972,24.43
GA.NG,1973,24.7
GA.NG,1974,24.26
GA.NG,1975,24.26
GA.NG,1976,23.96
GA.NG,1977,24.42
GA.NG,1978,24.36
GA.NG,1979,24.89
GA.NG,1980,24.77
GA.NG,1981,24.64
GA.NG,1982,24.41
GA.NG,1983,24.88
GA.NG,1984,25.01
GA.NG,1985,24.61
GA.NG,1986,24.57
GA.NG,1987,25.13
GA.NG,1988,24.91
GA.NG,1989,24.84
GA.NG,1990,24.92
GA.NG,1991,24.83
GA.NG,1992,24.53
GA.NG,1993,24.73
GA.NG,1994,24.67
GA.NG,1995,24.94
GA.NG,1996,24.68
GA.NG,1997,24.71
GA.NG,1998,25.42
GA.NG,1999,24.9
GA.NG,2000,24.83
GA.NG,2001,24.98
GA.NG,2002,25.21
GA.NG,2003,25.17
GA.NG,2004,25.1
GA.NG,2005,25.15
GA.NG,2006,25.16
GA.NG,2007,25.17
GA.NG,2008,25.03
GA.NG,2009,25.14
GA.NG,2010,25.35
GA.NG,2011,24.96
GA.NG,2012,25.08
GA.NG,2013,25.1
GA.NG,2014,25.12
GA.NG,2015,25.25
GA.NG,2016,25.54
GA.NG,2017,25.17
GA.NG,2018,25.44
GA.NG,2019,25.28
GA.NG,2020,25.6
GA.NG,2021,25.54
GA.NG,2022,25.32
