Geography,Year,Count
GA.WN,1901,24.2
GA.WN,1902,24.45
GA.WN,1903,24.59
GA.WN,1904,24.29
GA.WN,1905,24.71
GA.WN,1906,24.65
GA.WN,1907,24.7
GA.WN,1908,24.27
GA.WN,1909,24.86
GA.WN,1910,24.2
GA.WN,1911,24.66
GA.WN,1912,24.73
GA.WN,1913,24.28
GA.WN,1914,24.74
GA.WN,1915,24.55
GA.WN,1916,24.56
GA.WN,1917,24.56
GA.WN,1918,24.55
GA.WN,1919,24.55
GA.WN,1920,24.56
GA.WN,1921,24.55
GA.WN,1922,24.55
GA.WN,1923,24.55
GA.WN,1924,24.56
GA.WN,1925,24.55
GA.WN,1926,24.55
GA.WN,1927,24.56
GA.WN,1928,24.56
GA.WN,1929,24.55
GA.WN,1930,24.55
GA.WN,1931,24.56
GA.WN,1932,24.56
GA.WN,1933,24.56
GA.WN,1934,24.56
GA.WN,1935,24.56
GA.WN,1936,24.56
GA.WN,1937,24.56
GA.WN,1938,24.56
GA.WN,1939,24.56
GA.WN,1940,24.56
GA.WN,1941,25.13
GA.WN,1942,25.0
GA.WN,1943,24.44
GA.WN,1944,24.98
GA.WN,1945,24.99
GA.WN,1946,24.8
GA.WN,1947,25.03
GA.WN,1948,24.64
GA.WN,1949,25.0
GA.WN,1950,24.84
GA.WN,1951,24.98
GA.WN,1952,24.84
GA.WN,1953,24.82
GA.WN,1954,24.43
GA.WN,1955,24.57
GA.WN,1956,24.44
GA.WN,1957,24.81
GA.WN,1958,24.72
GA.WN,1959,24.83
GA.WN,1960,24.85
GA.WN,1961,24.58
GA.WN,1962,24.68
GA.WN,1963,24.91
GA.WN,1964,24.63
GA.WN,1965,24.59
GA.WN,1966,24.89
GA.WN,1967,24.64
GA.WN,1968,24.62
GA.WN,1969,24.86
GA.WN,1970,24.77
GA.WN,1971,24.31
GA.WN,1972,24.41
GA.WN,1973,24.67
GA.WN,1974,24.16
GA.WN,1975,24.18
GA.WN,1976,23.99
GA.WN,1977,24.46
GA.WN,1978,24.38
GA.WN,1979,24.74
GA.WN,1980,24.67
GA.WN,1981,24.49
GA.WN,1982,24.33
GA.WN,1983,24.7
GA.WN,1984,24.69
GA.WN,1985,24.44
GA.WN,1986,24.3
GA.WN,1987,24.96
GA.WN,1988,24.69
GA.WN,1989,24.66
GA.WN,1990,24.84
GA.WN,1991,24.62
GA.WN,1992,24.39
GA.WN,1993,24.5
GA.WN,1994,24.52
GA.WN,1995,24.78
GA.WN,1996,24.55
GA.WN,1997,24.56
GA.WN,1998,25.29
GA.WN,1999,24.7
GA.WN,2000,24.68
GA.WN,2001,24.79
GA.WN,2002,24.95
GA.WN,2003,24.95
GA.WN,2004,25.0
GA.WN,2005,24.98
GA.WN,2006,24.99
GA.WN,2007,24.97
GA.WN,2008,24.8
GA.WN,2009,24.95
GA.WN,2010,25.19
GA.WN,2011,24.8
GA.WN,2012,24.87
GA.WN,2013,24.91
GA.WN,2014,24.92
GA.WN,2015,25.09
GA.WN,2016,25.33
GA.WN,2017,25.04
GA.WN,2018,25.17
GA.WN,2019,25.05
GA.WN,2020,25.41
GA.WN,2021,25.31
GA.WN,2022,25.14
