Year,Geography,Count
1901,GA,24.51
1902,GA,24.71
1903,GA,24.85
1904,GA,24.55
1905,GA,24.94
1906,GA,24.86
1907,GA,24.93
1908,GA,24.52
1909,GA,25.09
1910,GA,24.51
1911,GA,24.94
1912,GA,25.0
1913,GA,24.57
1914,GA,24.96
1915,GA,24.79
1916,GA,24.77
1917,GA,24.79
1918,GA,24.78
1919,GA,24.78
1920,GA,24.79
1921,GA,24.79
1922,GA,24.78
1923,GA,24.77
1924,GA,24.83
1925,GA,24.79
1926,GA,24.79
1927,GA,24.8
1928,GA,24.82
1929,GA,24.76
1930,GA,24.8
1931,GA,24.81
1932,GA,24.76
1933,GA,24.84
1934,GA,24.85
1935,GA,24.81
1936,GA,24.78
1937,GA,24.86
1938,GA,24.81
1939,GA,24.82
1940,GA,24.8
1941,GA,25.34
1942,GA,25.18
1943,GA,24.63
1944,GA,25.27
1945,GA,25.2
1946,GA,24.96
1947,GA,25.31
1948,GA,24.89
1949,GA,25.27
1950,GA,25.06
1951,GA,25.22
1952,GA,25.13
1953,GA,25.1
1954,GA,24.76
1955,GA,24.91
1956,GA,24.82
1957,GA,25.12
1958,GA,25.0
1959,GA,25.09
1960,GA,25.21
1961,GA,24.85
1962,GA,24.95
1963,GA,25.22
1964,GA,24.94
1965,GA,24.91
1966,GA,25.27
1967,GA,24.95
1968,GA,24.94
1969,GA,25.18
1970,GA,25.07
1971,GA,24.66
1972,GA,24.64
1973,GA,24.87
1974,GA,24.38
1975,GA,24.42
1976,GA,24.15
1977,GA,24.62
1978,GA,24.53
1979,GA,25.03
1980,GA,24.92
1981,GA,24.82
1982,GA,24.6
1983,GA,25.04
1984,GA,25.1
1985,GA,24.77
1986,GA,24.71
1987,GA,25.27
1988,GA,25.03
1989,GA,24.98
1990,GA,25.08
1991,GA,24.93
1992,GA,24.65
1993,GA,24.82
1994,GA,24.8
1995,GA,25.05
1996,GA,24.81
1997,GA,24.85
1998,GA,25.57
1999,GA,25.02
2000,GA,24.96
2001,GA,25.11
2002,GA,25.3
2003,GA,25.27
2004,GA,25.26
2005,GA,25.29
2006,GA,25.3
2007,GA,25.29
2008,GA,25.13
2009,GA,25.25
2010,GA,25.5
2011,GA,25.09
2012,GA,25.19
2013,GA,25.23
2014,GA,25.23
2015,GA,25.38
2016,GA,25.67
2017,GA,25.33
2018,GA,25.54
2019,GA,25.41
2020,GA,25.73
2021,GA,25.66
2022,GA,25.46
