Geography,Year,Count
GH.BE,1901,27.14
GH.BE,1902,27.17
GH.BE,1903,27.25
GH.BE,1904,27.26
GH.BE,1905,26.96
GH.BE,1906,27.44
GH.BE,1907,27.15
GH.BE,1908,27.21
GH.BE,1909,27.07
GH.BE,1910,27.32
GH.BE,1911,27.05
GH.BE,1912,27.34
GH.BE,1913,27.52
GH.BE,1914,27.7
GH.BE,1915,27.1
GH.BE,1916,27.0
GH.BE,1917,27.04
GH.BE,1918,27.01
GH.BE,1919,27.25
GH.BE,1920,27.32
GH.BE,1921,27.25
GH.BE,1922,27.16
GH.BE,1923,26.95
GH.BE,1924,27.23
GH.BE,1925,26.74
GH.BE,1926,27.16
GH.BE,1927,26.38
GH.BE,1928,26.48
GH.BE,1929,26.34
GH.BE,1930,27.0
GH.BE,1931,27.52
GH.BE,1932,27.42
GH.BE,1933,27.4
GH.BE,1934,27.61
GH.BE,1935,27.65
GH.BE,1936,27.17
GH.BE,1937,28.36
GH.BE,1938,28.54
GH.BE,1939,27.89
GH.BE,1940,27.35
GH.BE,1941,27.8
GH.BE,1942,27.51
GH.BE,1943,27.14
GH.BE,1944,27.57
GH.BE,1945,27.26
GH.BE,1946,27.1
GH.BE,1947,27.45
GH.BE,1948,26.99
GH.BE,1949,27.53
GH.BE,1950,26.96
GH.BE,1951,27.49
GH.BE,1952,27.3
GH.BE,1953,27.17
GH.BE,1954,26.84
GH.BE,1955,26.8
GH.BE,1956,26.84
GH.BE,1957,27.05
GH.BE,1958,27.21
GH.BE,1959,27.2
GH.BE,1960,27.09
GH.BE,1961,27.01
GH.BE,1962,26.97
GH.BE,1963,27.28
GH.BE,1964,26.87
GH.BE,1965,27.04
GH.BE,1966,27.35
GH.BE,1967,26.99
GH.BE,1968,27.26
GH.BE,1969,27.5
GH.BE,1970,27.34
GH.BE,1971,26.54
GH.BE,1972,26.89
GH.BE,1973,27.36
GH.BE,1974,26.65
GH.BE,1975,26.52
GH.BE,1976,26.47
GH.BE,1977,27.2
GH.BE,1978,26.85
GH.BE,1979,27.19
GH.BE,1980,27.03
GH.BE,1981,27.54
GH.BE,1982,27.35
GH.BE,1983,27.84
GH.BE,1984,27.7
GH.BE,1985,27.55
GH.BE,1986,27.43
GH.BE,1987,27.79
GH.BE,1988,27.32
GH.BE,1989,26.99
GH.BE,1990,27.36
GH.BE,1991,27.21
GH.BE,1992,27.08
GH.BE,1993,27.22
GH.BE,1994,27.24
GH.BE,1995,27.45
GH.BE,1996,27.36
GH.BE,1997,27.4
GH.BE,1998,27.99
GH.BE,1999,27.31
GH.BE,2000,27.5
GH.BE,2001,27.6
GH.BE,2002,27.65
GH.BE,2003,27.71
GH.BE,2004,27.6
GH.BE,2005,27.88
GH.BE,2006,27.77
GH.BE,2007,27.75
GH.BE,2008,27.48
GH.BE,2009,27.76
GH.BE,2010,28.1
GH.BE,2011,27.77
GH.BE,2012,27.56
GH.BE,2013,27.71
GH.BE,2014,27.85
GH.BE,2015,27.98
GH.BE,2016,28.24
GH.BE,2017,28.07
GH.BE,2018,27.98
GH.BE,2019,27.84
GH.BE,2020,28.13
GH.BE,2021,28.3
GH.BE,2022,27.74
