Geography,Year,Count
GH.CP,1901,26.37
GH.CP,1902,26.37
GH.CP,1903,26.37
GH.CP,1904,26.37
GH.CP,1905,26.27
GH.CP,1906,26.49
GH.CP,1907,26.37
GH.CP,1908,26.38
GH.CP,1909,26.31
GH.CP,1910,26.44
GH.CP,1911,26.36
GH.CP,1912,26.44
GH.CP,1913,26.51
GH.CP,1914,26.58
GH.CP,1915,26.37
GH.CP,1916,26.37
GH.CP,1917,26.37
GH.CP,1918,26.37
GH.CP,1919,26.37
GH.CP,1920,26.43
GH.CP,1921,26.36
GH.CP,1922,26.39
GH.CP,1923,26.14
GH.CP,1924,26.3
GH.CP,1925,25.8
GH.CP,1926,26.55
GH.CP,1927,25.81
GH.CP,1928,25.73
GH.CP,1929,25.71
GH.CP,1930,26.37
GH.CP,1931,26.67
GH.CP,1932,26.72
GH.CP,1933,26.7
GH.CP,1934,26.67
GH.CP,1935,26.38
GH.CP,1936,26.2
GH.CP,1937,27.05
GH.CP,1938,27.16
GH.CP,1939,26.78
GH.CP,1940,26.47
GH.CP,1941,26.98
GH.CP,1942,26.64
GH.CP,1943,26.32
GH.CP,1944,26.72
GH.CP,1945,26.48
GH.CP,1946,26.27
GH.CP,1947,26.52
GH.CP,1948,26.16
GH.CP,1949,26.64
GH.CP,1950,26.16
GH.CP,1951,26.72
GH.CP,1952,26.48
GH.CP,1953,26.36
GH.CP,1954,25.99
GH.CP,1955,25.95
GH.CP,1956,25.96
GH.CP,1957,26.21
GH.CP,1958,26.31
GH.CP,1959,26.32
GH.CP,1960,26.27
GH.CP,1961,26.22
GH.CP,1962,26.17
GH.CP,1963,26.53
GH.CP,1964,25.98
GH.CP,1965,26.11
GH.CP,1966,26.55
GH.CP,1967,26.16
GH.CP,1968,26.44
GH.CP,1969,26.72
GH.CP,1970,26.54
GH.CP,1971,25.73
GH.CP,1972,26.0
GH.CP,1973,26.5
GH.CP,1974,25.85
GH.CP,1975,25.69
GH.CP,1976,25.6
GH.CP,1977,26.34
GH.CP,1978,25.98
GH.CP,1979,26.36
GH.CP,1980,26.13
GH.CP,1981,26.61
GH.CP,1982,26.43
GH.CP,1983,26.85
GH.CP,1984,26.82
GH.CP,1985,26.57
GH.CP,1986,26.46
GH.CP,1987,26.87
GH.CP,1988,26.45
GH.CP,1989,26.15
GH.CP,1990,26.47
GH.CP,1991,26.4
GH.CP,1992,26.32
GH.CP,1993,26.41
GH.CP,1994,26.43
GH.CP,1995,26.7
GH.CP,1996,26.57
GH.CP,1997,26.53
GH.CP,1998,27.16
GH.CP,1999,26.55
GH.CP,2000,26.72
GH.CP,2001,26.68
GH.CP,2002,26.7
GH.CP,2003,26.85
GH.CP,2004,26.72
GH.CP,2005,26.91
GH.CP,2006,26.85
GH.CP,2007,26.86
GH.CP,2008,26.6
GH.CP,2009,26.86
GH.CP,2010,27.31
GH.CP,2011,26.89
GH.CP,2012,26.64
GH.CP,2013,26.84
GH.CP,2014,26.93
GH.CP,2015,27.09
GH.CP,2016,27.41
GH.CP,2017,27.23
GH.CP,2018,27.07
GH.CP,2019,26.98
GH.CP,2020,27.25
GH.CP,2021,27.38
GH.CP,2022,26.87
