Geography,Year,Count
GH.EP,1901,26.57
GH.EP,1902,26.57
GH.EP,1903,26.57
GH.EP,1904,26.57
GH.EP,1905,26.38
GH.EP,1906,26.79
GH.EP,1907,26.56
GH.EP,1908,26.58
GH.EP,1909,26.45
GH.EP,1910,26.7
GH.EP,1911,26.53
GH.EP,1912,26.7
GH.EP,1913,26.84
GH.EP,1914,26.97
GH.EP,1915,26.57
GH.EP,1916,26.57
GH.EP,1917,26.56
GH.EP,1918,26.56
GH.EP,1919,26.57
GH.EP,1920,26.63
GH.EP,1921,26.57
GH.EP,1922,26.58
GH.EP,1923,26.35
GH.EP,1924,26.53
GH.EP,1925,26.0
GH.EP,1926,26.66
GH.EP,1927,25.91
GH.EP,1928,25.9
GH.EP,1929,25.81
GH.EP,1930,26.56
GH.EP,1931,26.88
GH.EP,1932,26.91
GH.EP,1933,26.88
GH.EP,1934,26.94
GH.EP,1935,26.77
GH.EP,1936,26.42
GH.EP,1937,27.42
GH.EP,1938,27.55
GH.EP,1939,27.07
GH.EP,1940,26.67
GH.EP,1941,27.18
GH.EP,1942,26.86
GH.EP,1943,26.52
GH.EP,1944,26.9
GH.EP,1945,26.62
GH.EP,1946,26.45
GH.EP,1947,26.74
GH.EP,1948,26.33
GH.EP,1949,26.85
GH.EP,1950,26.35
GH.EP,1951,26.89
GH.EP,1952,26.62
GH.EP,1953,26.47
GH.EP,1954,26.09
GH.EP,1955,26.09
GH.EP,1956,26.1
GH.EP,1957,26.3
GH.EP,1958,26.43
GH.EP,1959,26.47
GH.EP,1960,26.39
GH.EP,1961,26.37
GH.EP,1962,26.35
GH.EP,1963,26.71
GH.EP,1964,26.15
GH.EP,1965,26.32
GH.EP,1966,26.69
GH.EP,1967,26.29
GH.EP,1968,26.61
GH.EP,1969,26.87
GH.EP,1970,26.66
GH.EP,1971,25.86
GH.EP,1972,26.19
GH.EP,1973,26.67
GH.EP,1974,25.99
GH.EP,1975,25.79
GH.EP,1976,25.74
GH.EP,1977,26.51
GH.EP,1978,26.13
GH.EP,1979,26.51
GH.EP,1980,26.34
GH.EP,1981,26.84
GH.EP,1982,26.71
GH.EP,1983,27.12
GH.EP,1984,27.06
GH.EP,1985,26.83
GH.EP,1986,26.68
GH.EP,1987,27.05
GH.EP,1988,26.6
GH.EP,1989,26.29
GH.EP,1990,26.62
GH.EP,1991,26.51
GH.EP,1992,26.45
GH.EP,1993,26.54
GH.EP,1994,26.57
GH.EP,1995,26.8
GH.EP,1996,26.68
GH.EP,1997,26.64
GH.EP,1998,27.31
GH.EP,1999,26.64
GH.EP,2000,26.91
GH.EP,2001,26.96
GH.EP,2002,26.95
GH.EP,2003,27.09
GH.EP,2004,26.92
GH.EP,2005,27.16
GH.EP,2006,27.09
GH.EP,2007,27.09
GH.EP,2008,26.82
GH.EP,2009,27.09
GH.EP,2010,27.5
GH.EP,2011,27.1
GH.EP,2012,26.86
GH.EP,2013,27.03
GH.EP,2014,27.15
GH.EP,2015,27.33
GH.EP,2016,27.61
GH.EP,2017,27.42
GH.EP,2018,27.31
GH.EP,2019,27.19
GH.EP,2020,27.47
GH.EP,2021,27.61
GH.EP,2022,27.12
