Geography,Year,Count
GH.NE,1901,27.88
GH.NE,1902,28.03
GH.NE,1903,28.33
GH.NE,1904,28.33
GH.NE,1905,27.87
GH.NE,1906,28.36
GH.NE,1907,28.03
GH.NE,1908,28.15
GH.NE,1909,28.03
GH.NE,1910,28.22
GH.NE,1911,27.73
GH.NE,1912,28.26
GH.NE,1913,28.45
GH.NE,1914,28.72
GH.NE,1915,27.72
GH.NE,1916,27.31
GH.NE,1917,27.49
GH.NE,1918,27.35
GH.NE,1919,28.33
GH.NE,1920,28.38
GH.NE,1921,28.33
GH.NE,1922,27.9
GH.NE,1923,27.85
GH.NE,1924,28.25
GH.NE,1925,27.79
GH.NE,1926,28.01
GH.NE,1927,27.23
GH.NE,1928,27.4
GH.NE,1929,27.25
GH.NE,1930,27.94
GH.NE,1931,28.5
GH.NE,1932,28.37
GH.NE,1933,28.25
GH.NE,1934,28.59
GH.NE,1935,29.01
GH.NE,1936,28.28
GH.NE,1937,29.59
GH.NE,1938,29.81
GH.NE,1939,29.05
GH.NE,1940,28.41
GH.NE,1941,28.89
GH.NE,1942,28.69
GH.NE,1943,28.21
GH.NE,1944,28.63
GH.NE,1945,28.26
GH.NE,1946,28.14
GH.NE,1947,28.6
GH.NE,1948,28.03
GH.NE,1949,28.67
GH.NE,1950,27.86
GH.NE,1951,28.48
GH.NE,1952,28.34
GH.NE,1953,28.24
GH.NE,1954,28.05
GH.NE,1955,27.9
GH.NE,1956,27.97
GH.NE,1957,28.09
GH.NE,1958,28.49
GH.NE,1959,28.4
GH.NE,1960,28.19
GH.NE,1961,27.95
GH.NE,1962,27.99
GH.NE,1963,28.29
GH.NE,1964,28.06
GH.NE,1965,28.12
GH.NE,1966,28.32
GH.NE,1967,28.06
GH.NE,1968,28.21
GH.NE,1969,28.59
GH.NE,1970,28.5
GH.NE,1971,27.78
GH.NE,1972,28.01
GH.NE,1973,28.48
GH.NE,1974,27.75
GH.NE,1975,27.67
GH.NE,1976,27.62
GH.NE,1977,28.16
GH.NE,1978,28.0
GH.NE,1979,28.19
GH.NE,1980,28.25
GH.NE,1981,28.62
GH.NE,1982,28.34
GH.NE,1983,28.91
GH.NE,1984,28.72
GH.NE,1985,28.68
GH.NE,1986,28.5
GH.NE,1987,28.98
GH.NE,1988,28.43
GH.NE,1989,28.11
GH.NE,1990,28.6
GH.NE,1991,28.33
GH.NE,1992,28.09
GH.NE,1993,28.37
GH.NE,1994,28.2
GH.NE,1995,28.5
GH.NE,1996,28.58
GH.NE,1997,28.57
GH.NE,1998,29.01
GH.NE,1999,28.46
GH.NE,2000,28.58
GH.NE,2001,28.77
GH.NE,2002,28.92
GH.NE,2003,28.84
GH.NE,2004,28.75
GH.NE,2005,29.14
GH.NE,2006,28.93
GH.NE,2007,28.93
GH.NE,2008,28.52
GH.NE,2009,28.99
GH.NE,2010,29.13
GH.NE,2011,28.95
GH.NE,2012,28.7
GH.NE,2013,28.86
GH.NE,2014,29.02
GH.NE,2015,29.03
GH.NE,2016,29.25
GH.NE,2017,29.1
GH.NE,2018,29.05
GH.NE,2019,28.89
GH.NE,2020,29.21
GH.NE,2021,29.51
GH.NE,2022,28.83
