Geography,Year,Count
GH.WN,1901,26.58
GH.WN,1902,26.58
GH.WN,1903,26.58
GH.WN,1904,26.58
GH.WN,1905,26.5
GH.WN,1906,26.68
GH.WN,1907,26.58
GH.WN,1908,26.59
GH.WN,1909,26.53
GH.WN,1910,26.64
GH.WN,1911,26.57
GH.WN,1912,26.64
GH.WN,1913,26.69
GH.WN,1914,26.75
GH.WN,1915,26.58
GH.WN,1916,26.58
GH.WN,1917,26.57
GH.WN,1918,26.57
GH.WN,1919,26.58
GH.WN,1920,26.64
GH.WN,1921,26.57
GH.WN,1922,26.59
GH.WN,1923,26.36
GH.WN,1924,26.52
GH.WN,1925,26.11
GH.WN,1926,26.67
GH.WN,1927,25.91
GH.WN,1928,25.9
GH.WN,1929,25.92
GH.WN,1930,26.37
GH.WN,1931,26.88
GH.WN,1932,26.79
GH.WN,1933,26.82
GH.WN,1934,26.89
GH.WN,1935,26.59
GH.WN,1936,26.49
GH.WN,1937,27.36
GH.WN,1938,27.51
GH.WN,1939,27.09
GH.WN,1940,26.67
GH.WN,1941,27.13
GH.WN,1942,26.8
GH.WN,1943,26.46
GH.WN,1944,26.93
GH.WN,1945,26.72
GH.WN,1946,26.47
GH.WN,1947,26.76
GH.WN,1948,26.38
GH.WN,1949,26.83
GH.WN,1950,26.36
GH.WN,1951,26.83
GH.WN,1952,26.71
GH.WN,1953,26.66
GH.WN,1954,26.44
GH.WN,1955,26.29
GH.WN,1956,26.25
GH.WN,1957,26.52
GH.WN,1958,26.56
GH.WN,1959,26.66
GH.WN,1960,26.59
GH.WN,1961,26.53
GH.WN,1962,26.51
GH.WN,1963,26.82
GH.WN,1964,26.23
GH.WN,1965,26.37
GH.WN,1966,26.85
GH.WN,1967,26.42
GH.WN,1968,26.7
GH.WN,1969,26.92
GH.WN,1970,26.86
GH.WN,1971,26.01
GH.WN,1972,26.27
GH.WN,1973,26.76
GH.WN,1974,26.19
GH.WN,1975,26.09
GH.WN,1976,25.97
GH.WN,1977,26.55
GH.WN,1978,26.31
GH.WN,1979,26.65
GH.WN,1980,26.42
GH.WN,1981,26.75
GH.WN,1982,26.44
GH.WN,1983,26.98
GH.WN,1984,26.93
GH.WN,1985,26.66
GH.WN,1986,26.62
GH.WN,1987,27.18
GH.WN,1988,26.8
GH.WN,1989,26.5
GH.WN,1990,26.8
GH.WN,1991,26.75
GH.WN,1992,26.6
GH.WN,1993,26.71
GH.WN,1994,26.78
GH.WN,1995,27.06
GH.WN,1996,26.85
GH.WN,1997,26.95
GH.WN,1998,27.48
GH.WN,1999,26.87
GH.WN,2000,26.9
GH.WN,2001,26.83
GH.WN,2002,26.97
GH.WN,2003,27.04
GH.WN,2004,26.95
GH.WN,2005,27.14
GH.WN,2006,27.05
GH.WN,2007,27.06
GH.WN,2008,26.8
GH.WN,2009,27.07
GH.WN,2010,27.48
GH.WN,2011,27.1
GH.WN,2012,26.84
GH.WN,2013,27.03
GH.WN,2014,27.12
GH.WN,2015,27.29
GH.WN,2016,27.6
GH.WN,2017,27.45
GH.WN,2018,27.29
GH.WN,2019,27.16
GH.WN,2020,27.44
GH.WN,2021,27.55
GH.WN,2022,27.02
