Geography,Year,Count
GH.WP,1901,26.38
GH.WP,1902,26.38
GH.WP,1903,26.38
GH.WP,1904,26.38
GH.WP,1905,26.32
GH.WP,1906,26.45
GH.WP,1907,26.38
GH.WP,1908,26.39
GH.WP,1909,26.34
GH.WP,1910,26.42
GH.WP,1911,26.37
GH.WP,1912,26.42
GH.WP,1913,26.46
GH.WP,1914,26.51
GH.WP,1915,26.38
GH.WP,1916,26.38
GH.WP,1917,26.38
GH.WP,1918,26.38
GH.WP,1919,26.38
GH.WP,1920,26.43
GH.WP,1921,26.38
GH.WP,1922,26.39
GH.WP,1923,26.16
GH.WP,1924,26.32
GH.WP,1925,25.87
GH.WP,1926,26.58
GH.WP,1927,25.84
GH.WP,1928,25.76
GH.WP,1929,25.77
GH.WP,1930,26.32
GH.WP,1931,26.67
GH.WP,1932,26.67
GH.WP,1933,26.68
GH.WP,1934,26.65
GH.WP,1935,26.33
GH.WP,1936,26.24
GH.WP,1937,27.02
GH.WP,1938,27.13
GH.WP,1939,26.79
GH.WP,1940,26.47
GH.WP,1941,26.97
GH.WP,1942,26.63
GH.WP,1943,26.32
GH.WP,1944,26.74
GH.WP,1945,26.53
GH.WP,1946,26.29
GH.WP,1947,26.53
GH.WP,1948,26.19
GH.WP,1949,26.64
GH.WP,1950,26.19
GH.WP,1951,26.7
GH.WP,1952,26.51
GH.WP,1953,26.46
GH.WP,1954,26.18
GH.WP,1955,26.05
GH.WP,1956,26.04
GH.WP,1957,26.26
GH.WP,1958,26.32
GH.WP,1959,26.41
GH.WP,1960,26.34
GH.WP,1961,26.28
GH.WP,1962,26.25
GH.WP,1963,26.6
GH.WP,1964,25.99
GH.WP,1965,26.13
GH.WP,1966,26.61
GH.WP,1967,26.19
GH.WP,1968,26.48
GH.WP,1969,26.72
GH.WP,1970,26.58
GH.WP,1971,25.76
GH.WP,1972,26.04
GH.WP,1973,26.54
GH.WP,1974,25.92
GH.WP,1975,25.8
GH.WP,1976,25.67
GH.WP,1977,26.34
GH.WP,1978,26.05
GH.WP,1979,26.41
GH.WP,1980,26.18
GH.WP,1981,26.55
GH.WP,1982,26.34
GH.WP,1983,26.81
GH.WP,1984,26.78
GH.WP,1985,26.5
GH.WP,1986,26.44
GH.WP,1987,26.91
GH.WP,1988,26.52
GH.WP,1989,26.21
GH.WP,1990,26.57
GH.WP,1991,26.49
GH.WP,1992,26.35
GH.WP,1993,26.49
GH.WP,1994,26.52
GH.WP,1995,26.81
GH.WP,1996,26.62
GH.WP,1997,26.69
GH.WP,1998,27.25
GH.WP,1999,26.64
GH.WP,2000,26.72
GH.WP,2001,26.65
GH.WP,2002,26.71
GH.WP,2003,26.85
GH.WP,2004,26.75
GH.WP,2005,26.91
GH.WP,2006,26.85
GH.WP,2007,26.85
GH.WP,2008,26.59
GH.WP,2009,26.83
GH.WP,2010,27.29
GH.WP,2011,26.89
GH.WP,2012,26.64
GH.WP,2013,26.84
GH.WP,2014,26.93
GH.WP,2015,27.08
GH.WP,2016,27.41
GH.WP,2017,27.24
GH.WP,2018,27.07
GH.WP,2019,26.96
GH.WP,2020,27.21
GH.WP,2021,27.34
GH.WP,2022,26.82
