Geography,Year,Count
GM.NB,1901,27.52
GM.NB,1902,27.79
GM.NB,1903,27.63
GM.NB,1904,27.34
GM.NB,1905,27.56
GM.NB,1906,27.67
GM.NB,1907,26.9
GM.NB,1908,27.71
GM.NB,1909,27.47
GM.NB,1910,27.66
GM.NB,1911,27.45
GM.NB,1912,27.7
GM.NB,1913,27.7
GM.NB,1914,27.37
GM.NB,1915,27.87
GM.NB,1916,27.36
GM.NB,1917,27.28
GM.NB,1918,27.55
GM.NB,1919,27.91
GM.NB,1920,27.25
GM.NB,1921,27.21
GM.NB,1922,26.86
GM.NB,1923,27.44
GM.NB,1924,27.15
GM.NB,1925,27.3
GM.NB,1926,27.73
GM.NB,1927,27.34
GM.NB,1928,27.02
GM.NB,1929,26.9
GM.NB,1930,26.79
GM.NB,1931,27.45
GM.NB,1932,27.39
GM.NB,1933,27.45
GM.NB,1934,27.2
GM.NB,1935,27.21
GM.NB,1936,27.52
GM.NB,1937,27.7
GM.NB,1938,27.64
GM.NB,1939,27.41
GM.NB,1940,27.4
GM.NB,1941,27.64
GM.NB,1942,27.33
GM.NB,1943,27.29
GM.NB,1944,27.77
GM.NB,1945,28.06
GM.NB,1946,27.47
GM.NB,1947,27.54
GM.NB,1948,27.4
GM.NB,1949,27.5
GM.NB,1950,27.35
GM.NB,1951,27.12
GM.NB,1952,27.03
GM.NB,1953,27.2
GM.NB,1954,27.19
GM.NB,1955,27.37
GM.NB,1956,27.06
GM.NB,1957,27.02
GM.NB,1958,27.56
GM.NB,1959,27.28
GM.NB,1960,27.44
GM.NB,1961,27.5
GM.NB,1962,27.64
GM.NB,1963,27.71
GM.NB,1964,27.51
GM.NB,1965,27.11
GM.NB,1966,27.58
GM.NB,1967,26.83
GM.NB,1968,27.11
GM.NB,1969,28.13
GM.NB,1970,27.87
GM.NB,1971,26.8
GM.NB,1972,27.2
GM.NB,1973,27.46
GM.NB,1974,26.65
GM.NB,1975,26.8
GM.NB,1976,26.75
GM.NB,1977,27.49
GM.NB,1978,27.21
GM.NB,1979,27.54
GM.NB,1980,27.44
GM.NB,1981,27.58
GM.NB,1982,27.05
GM.NB,1983,28.04
GM.NB,1984,27.38
GM.NB,1985,27.19
GM.NB,1986,27.14
GM.NB,1987,27.88
GM.NB,1988,27.51
GM.NB,1989,27.32
GM.NB,1990,27.89
GM.NB,1991,27.72
GM.NB,1992,27.63
GM.NB,1993,27.73
GM.NB,1994,27.47
GM.NB,1995,27.63
GM.NB,1996,28.05
GM.NB,1997,28.23
GM.NB,1998,28.59
GM.NB,1999,27.64
GM.NB,2000,27.82
GM.NB,2001,28.25
GM.NB,2002,28.2
GM.NB,2003,28.15
GM.NB,2004,28.18
GM.NB,2005,28.45
GM.NB,2006,28.09
GM.NB,2007,28.14
GM.NB,2008,28.17
GM.NB,2009,27.8
GM.NB,2010,28.59
GM.NB,2011,28.04
GM.NB,2012,28.09
GM.NB,2013,28.16
GM.NB,2014,28.12
GM.NB,2015,28.27
GM.NB,2016,28.51
GM.NB,2017,28.54
GM.NB,2018,27.89
GM.NB,2019,27.96
GM.NB,2020,28.79
GM.NB,2021,28.69
GM.NB,2022,28.19
