Year,Geography,Count
1901,GM,27.8
1902,GM,28.07
1903,GM,27.88
1904,GM,27.61
1905,GM,27.82
1906,GM,27.92
1907,GM,27.18
1908,GM,27.98
1909,GM,27.73
1910,GM,27.94
1911,GM,27.72
1912,GM,27.99
1913,GM,27.97
1914,GM,27.66
1915,GM,28.15
1916,GM,27.65
1917,GM,27.56
1918,GM,27.82
1919,GM,28.16
1920,GM,27.51
1921,GM,27.49
1922,GM,27.17
1923,GM,27.73
1924,GM,27.41
1925,GM,27.58
1926,GM,27.95
1927,GM,27.54
1928,GM,27.27
1929,GM,27.16
1930,GM,27.07
1931,GM,27.73
1932,GM,27.65
1933,GM,27.72
1934,GM,27.49
1935,GM,27.5
1936,GM,27.77
1937,GM,27.94
1938,GM,27.91
1939,GM,27.7
1940,GM,27.67
1941,GM,27.91
1942,GM,27.62
1943,GM,27.54
1944,GM,28.03
1945,GM,28.3
1946,GM,27.74
1947,GM,27.8
1948,GM,27.65
1949,GM,27.75
1950,GM,27.56
1951,GM,27.35
1952,GM,27.2
1953,GM,27.38
1954,GM,27.37
1955,GM,27.56
1956,GM,27.27
1957,GM,27.27
1958,GM,27.77
1959,GM,27.49
1960,GM,27.64
1961,GM,27.69
1962,GM,27.81
1963,GM,27.89
1964,GM,27.7
1965,GM,27.3
1966,GM,27.75
1967,GM,27.03
1968,GM,27.39
1969,GM,28.36
1970,GM,28.12
1971,GM,27.12
1972,GM,27.55
1973,GM,27.77
1974,GM,26.94
1975,GM,27.08
1976,GM,27.03
1977,GM,27.77
1978,GM,27.5
1979,GM,27.86
1980,GM,27.81
1981,GM,27.85
1982,GM,27.35
1983,GM,28.34
1984,GM,27.69
1985,GM,27.53
1986,GM,27.45
1987,GM,28.15
1988,GM,27.8
1989,GM,27.62
1990,GM,28.19
1991,GM,28.02
1992,GM,27.94
1993,GM,28.07
1994,GM,27.75
1995,GM,27.91
1996,GM,28.34
1997,GM,28.5
1998,GM,28.88
1999,GM,27.92
2000,GM,28.07
2001,GM,28.51
2002,GM,28.47
2003,GM,28.4
2004,GM,28.47
2005,GM,28.69
2006,GM,28.38
2007,GM,28.45
2008,GM,28.45
2009,GM,28.09
2010,GM,28.86
2011,GM,28.34
2012,GM,28.33
2013,GM,28.44
2014,GM,28.41
2015,GM,28.57
2016,GM,28.8
2017,GM,28.82
2018,GM,28.23
2019,GM,28.25
2020,GM,29.06
2021,GM,29.03
2022,GM,28.46
