Geography,Year,Count
GQ.BN,1901,23.61
GQ.BN,1902,23.88
GQ.BN,1903,24.01
GQ.BN,1904,23.72
GQ.BN,1905,24.13
GQ.BN,1906,24.08
GQ.BN,1907,24.14
GQ.BN,1908,23.71
GQ.BN,1909,24.27
GQ.BN,1910,23.62
GQ.BN,1911,24.09
GQ.BN,1912,24.13
GQ.BN,1913,23.72
GQ.BN,1914,24.16
GQ.BN,1915,23.98
GQ.BN,1916,23.99
GQ.BN,1917,23.98
GQ.BN,1918,23.98
GQ.BN,1919,23.98
GQ.BN,1920,23.99
GQ.BN,1921,23.98
GQ.BN,1922,23.98
GQ.BN,1923,23.98
GQ.BN,1924,23.98
GQ.BN,1925,23.97
GQ.BN,1926,23.99
GQ.BN,1927,23.98
GQ.BN,1928,23.97
GQ.BN,1929,23.96
GQ.BN,1930,24.0
GQ.BN,1931,24.02
GQ.BN,1932,24.02
GQ.BN,1933,24.01
GQ.BN,1934,23.99
GQ.BN,1935,24.01
GQ.BN,1936,23.99
GQ.BN,1937,23.99
GQ.BN,1938,24.02
GQ.BN,1939,24.02
GQ.BN,1940,23.99
GQ.BN,1941,24.54
GQ.BN,1942,24.41
GQ.BN,1943,23.84
GQ.BN,1944,24.37
GQ.BN,1945,24.46
GQ.BN,1946,24.19
GQ.BN,1947,24.46
GQ.BN,1948,24.08
GQ.BN,1949,24.49
GQ.BN,1950,24.44
GQ.BN,1951,24.34
GQ.BN,1952,24.18
GQ.BN,1953,24.09
GQ.BN,1954,23.74
GQ.BN,1955,23.88
GQ.BN,1956,23.71
GQ.BN,1957,24.1
GQ.BN,1958,24.01
GQ.BN,1959,24.11
GQ.BN,1960,24.16
GQ.BN,1961,23.95
GQ.BN,1962,24.0
GQ.BN,1963,24.38
GQ.BN,1964,23.98
GQ.BN,1965,23.92
GQ.BN,1966,24.28
GQ.BN,1967,24.06
GQ.BN,1968,23.99
GQ.BN,1969,24.19
GQ.BN,1970,24.17
GQ.BN,1971,23.76
GQ.BN,1972,23.82
GQ.BN,1973,24.2
GQ.BN,1974,23.7
GQ.BN,1975,23.67
GQ.BN,1976,23.47
GQ.BN,1977,23.99
GQ.BN,1978,23.91
GQ.BN,1979,24.09
GQ.BN,1980,24.1
GQ.BN,1981,23.94
GQ.BN,1982,23.69
GQ.BN,1983,24.01
GQ.BN,1984,24.1
GQ.BN,1985,23.83
GQ.BN,1986,23.68
GQ.BN,1987,24.37
GQ.BN,1988,24.03
GQ.BN,1989,24.07
GQ.BN,1990,24.07
GQ.BN,1991,23.91
GQ.BN,1992,23.8
GQ.BN,1993,23.93
GQ.BN,1994,23.92
GQ.BN,1995,24.13
GQ.BN,1996,23.99
GQ.BN,1997,23.89
GQ.BN,1998,24.59
GQ.BN,1999,24.15
GQ.BN,2000,24.22
GQ.BN,2001,24.18
GQ.BN,2002,24.33
GQ.BN,2003,24.47
GQ.BN,2004,24.36
GQ.BN,2005,24.4
GQ.BN,2006,24.42
GQ.BN,2007,24.39
GQ.BN,2008,24.23
GQ.BN,2009,24.36
GQ.BN,2010,24.61
GQ.BN,2011,24.25
GQ.BN,2012,24.25
GQ.BN,2013,24.35
GQ.BN,2014,24.42
GQ.BN,2015,24.55
GQ.BN,2016,24.64
GQ.BN,2017,24.58
GQ.BN,2018,24.58
GQ.BN,2019,24.45
GQ.BN,2020,24.58
GQ.BN,2021,24.72
GQ.BN,2022,24.46
