Geography,Year,Count
GQ.BS,1901,23.33
GQ.BS,1902,23.6
GQ.BS,1903,23.74
GQ.BS,1904,23.44
GQ.BS,1905,23.85
GQ.BS,1906,23.8
GQ.BS,1907,23.87
GQ.BS,1908,23.43
GQ.BS,1909,23.99
GQ.BS,1910,23.34
GQ.BS,1911,23.82
GQ.BS,1912,23.85
GQ.BS,1913,23.43
GQ.BS,1914,23.89
GQ.BS,1915,23.7
GQ.BS,1916,23.71
GQ.BS,1917,23.7
GQ.BS,1918,23.7
GQ.BS,1919,23.7
GQ.BS,1920,23.71
GQ.BS,1921,23.7
GQ.BS,1922,23.7
GQ.BS,1923,23.7
GQ.BS,1924,23.7
GQ.BS,1925,23.69
GQ.BS,1926,23.7
GQ.BS,1927,23.7
GQ.BS,1928,23.7
GQ.BS,1929,23.69
GQ.BS,1930,23.7
GQ.BS,1931,23.71
GQ.BS,1932,23.72
GQ.BS,1933,23.71
GQ.BS,1934,23.7
GQ.BS,1935,23.71
GQ.BS,1936,23.71
GQ.BS,1937,23.7
GQ.BS,1938,23.71
GQ.BS,1939,23.71
GQ.BS,1940,23.71
GQ.BS,1941,24.25
GQ.BS,1942,24.13
GQ.BS,1943,23.54
GQ.BS,1944,24.11
GQ.BS,1945,24.23
GQ.BS,1946,23.93
GQ.BS,1947,24.21
GQ.BS,1948,23.81
GQ.BS,1949,24.22
GQ.BS,1950,24.17
GQ.BS,1951,24.04
GQ.BS,1952,23.9
GQ.BS,1953,23.82
GQ.BS,1954,23.45
GQ.BS,1955,23.6
GQ.BS,1956,23.43
GQ.BS,1957,23.82
GQ.BS,1958,23.73
GQ.BS,1959,23.84
GQ.BS,1960,23.89
GQ.BS,1961,23.68
GQ.BS,1962,23.73
GQ.BS,1963,24.1
GQ.BS,1964,23.7
GQ.BS,1965,23.65
GQ.BS,1966,24.0
GQ.BS,1967,23.77
GQ.BS,1968,23.71
GQ.BS,1969,23.91
GQ.BS,1970,23.87
GQ.BS,1971,23.49
GQ.BS,1972,23.55
GQ.BS,1973,23.92
GQ.BS,1974,23.42
GQ.BS,1975,23.39
GQ.BS,1976,23.19
GQ.BS,1977,23.71
GQ.BS,1978,23.64
GQ.BS,1979,23.83
GQ.BS,1980,23.82
GQ.BS,1981,23.63
GQ.BS,1982,23.41
GQ.BS,1983,23.73
GQ.BS,1984,23.82
GQ.BS,1985,23.55
GQ.BS,1986,23.4
GQ.BS,1987,24.1
GQ.BS,1988,23.76
GQ.BS,1989,23.8
GQ.BS,1990,23.77
GQ.BS,1991,23.65
GQ.BS,1992,23.53
GQ.BS,1993,23.65
GQ.BS,1994,23.66
GQ.BS,1995,23.86
GQ.BS,1996,23.74
GQ.BS,1997,23.62
GQ.BS,1998,24.31
GQ.BS,1999,23.86
GQ.BS,2000,23.94
GQ.BS,2001,23.92
GQ.BS,2002,24.07
GQ.BS,2003,24.21
GQ.BS,2004,24.08
GQ.BS,2005,24.11
GQ.BS,2006,24.13
GQ.BS,2007,24.11
GQ.BS,2008,23.94
GQ.BS,2009,24.07
GQ.BS,2010,24.32
GQ.BS,2011,23.98
GQ.BS,2012,23.98
GQ.BS,2013,24.05
GQ.BS,2014,24.13
GQ.BS,2015,24.28
GQ.BS,2016,24.35
GQ.BS,2017,24.3
GQ.BS,2018,24.31
GQ.BS,2019,24.17
GQ.BS,2020,24.32
GQ.BS,2021,24.45
GQ.BS,2022,24.17
