Geography,Year,Count
KM.AN,1901,23.46
KM.AN,1902,23.64
KM.AN,1903,23.5
KM.AN,1904,23.44
KM.AN,1905,23.59
KM.AN,1906,23.45
KM.AN,1907,23.45
KM.AN,1908,23.62
KM.AN,1909,23.5
KM.AN,1910,23.42
KM.AN,1911,23.51
KM.AN,1912,23.66
KM.AN,1913,23.76
KM.AN,1914,23.84
KM.AN,1915,23.84
KM.AN,1916,23.58
KM.AN,1917,23.53
KM.AN,1918,23.68
KM.AN,1919,23.78
KM.AN,1920,23.65
KM.AN,1921,23.61
KM.AN,1922,23.51
KM.AN,1923,23.92
KM.AN,1924,23.82
KM.AN,1925,23.88
KM.AN,1926,24.06
KM.AN,1927,23.73
KM.AN,1928,23.81
KM.AN,1929,23.88
KM.AN,1930,23.67
KM.AN,1931,23.49
KM.AN,1932,23.56
KM.AN,1933,23.56
KM.AN,1934,23.5
KM.AN,1935,23.56
KM.AN,1936,23.7
KM.AN,1937,23.72
KM.AN,1938,23.72
KM.AN,1939,23.67
KM.AN,1940,23.45
KM.AN,1941,23.76
KM.AN,1942,23.67
KM.AN,1943,23.27
KM.AN,1944,23.76
KM.AN,1945,23.74
KM.AN,1946,23.58
KM.AN,1947,23.73
KM.AN,1948,23.88
KM.AN,1949,23.69
KM.AN,1950,23.6
KM.AN,1951,23.69
KM.AN,1952,23.72
KM.AN,1953,23.71
KM.AN,1954,23.62
KM.AN,1955,23.48
KM.AN,1956,23.3
KM.AN,1957,23.46
KM.AN,1958,23.68
KM.AN,1959,23.5
KM.AN,1960,23.4
KM.AN,1961,24.05
KM.AN,1962,23.53
KM.AN,1963,23.33
KM.AN,1964,23.27
KM.AN,1965,23.18
KM.AN,1966,23.82
KM.AN,1967,23.74
KM.AN,1968,23.26
KM.AN,1969,23.95
KM.AN,1970,23.72
KM.AN,1971,23.08
KM.AN,1972,23.36
KM.AN,1973,23.31
KM.AN,1974,22.9
KM.AN,1975,23.09
KM.AN,1976,23.2
KM.AN,1977,23.61
KM.AN,1978,23.45
KM.AN,1979,23.49
KM.AN,1980,23.49
KM.AN,1981,23.31
KM.AN,1982,23.47
KM.AN,1983,23.61
KM.AN,1984,22.97
KM.AN,1985,23.13
KM.AN,1986,23.26
KM.AN,1987,23.82
KM.AN,1988,23.74
KM.AN,1989,23.17
KM.AN,1990,23.59
KM.AN,1991,23.43
KM.AN,1992,23.54
KM.AN,1993,23.45
KM.AN,1994,23.75
KM.AN,1995,23.66
KM.AN,1996,23.45
KM.AN,1997,23.76
KM.AN,1998,24.01
KM.AN,1999,23.59
KM.AN,2000,23.61
KM.AN,2001,23.7
KM.AN,2002,23.7
KM.AN,2003,23.79
KM.AN,2004,23.61
KM.AN,2005,23.93
KM.AN,2006,23.76
KM.AN,2007,24.09
KM.AN,2008,23.7
KM.AN,2009,24.01
KM.AN,2010,24.13
KM.AN,2011,23.99
KM.AN,2012,23.88
KM.AN,2013,23.9
KM.AN,2014,23.96
KM.AN,2015,24.15
KM.AN,2016,23.91
KM.AN,2017,24.19
KM.AN,2018,23.99
KM.AN,2019,24.34
KM.AN,2020,24.29
KM.AN,2021,24.05
KM.AN,2022,23.82
