Geography,Year,Count
KM.GC,1901,22.93
KM.GC,1902,23.17
KM.GC,1903,23.02
KM.GC,1904,22.87
KM.GC,1905,23.11
KM.GC,1906,22.87
KM.GC,1907,22.92
KM.GC,1908,23.15
KM.GC,1909,22.97
KM.GC,1910,22.88
KM.GC,1911,23.0
KM.GC,1912,23.15
KM.GC,1913,23.24
KM.GC,1914,23.28
KM.GC,1915,23.3
KM.GC,1916,23.14
KM.GC,1917,23.12
KM.GC,1918,23.2
KM.GC,1919,23.25
KM.GC,1920,23.18
KM.GC,1921,23.18
KM.GC,1922,23.11
KM.GC,1923,23.33
KM.GC,1924,23.25
KM.GC,1925,23.31
KM.GC,1926,23.34
KM.GC,1927,23.19
KM.GC,1928,23.24
KM.GC,1929,23.28
KM.GC,1930,23.15
KM.GC,1931,23.17
KM.GC,1932,23.13
KM.GC,1933,23.11
KM.GC,1934,23.1
KM.GC,1935,23.07
KM.GC,1936,23.16
KM.GC,1937,23.16
KM.GC,1938,23.18
KM.GC,1939,23.13
KM.GC,1940,23.07
KM.GC,1941,23.31
KM.GC,1942,23.28
KM.GC,1943,22.96
KM.GC,1944,23.3
KM.GC,1945,23.21
KM.GC,1946,23.11
KM.GC,1947,23.24
KM.GC,1948,23.49
KM.GC,1949,23.34
KM.GC,1950,23.21
KM.GC,1951,23.36
KM.GC,1952,23.46
KM.GC,1953,23.36
KM.GC,1954,23.24
KM.GC,1955,23.08
KM.GC,1956,22.88
KM.GC,1957,23.06
KM.GC,1958,23.35
KM.GC,1959,23.16
KM.GC,1960,23.05
KM.GC,1961,23.62
KM.GC,1962,23.12
KM.GC,1963,22.93
KM.GC,1964,22.88
KM.GC,1965,22.82
KM.GC,1966,23.42
KM.GC,1967,23.32
KM.GC,1968,22.89
KM.GC,1969,23.49
KM.GC,1970,23.32
KM.GC,1971,22.7
KM.GC,1972,22.98
KM.GC,1973,22.99
KM.GC,1974,22.59
KM.GC,1975,22.75
KM.GC,1976,22.83
KM.GC,1977,23.18
KM.GC,1978,23.06
KM.GC,1979,23.11
KM.GC,1980,23.12
KM.GC,1981,22.93
KM.GC,1982,23.08
KM.GC,1983,23.32
KM.GC,1984,22.67
KM.GC,1985,22.8
KM.GC,1986,22.95
KM.GC,1987,23.48
KM.GC,1988,23.46
KM.GC,1989,22.8
KM.GC,1990,23.26
KM.GC,1991,23.1
KM.GC,1992,23.21
KM.GC,1993,23.13
KM.GC,1994,23.37
KM.GC,1995,23.33
KM.GC,1996,23.14
KM.GC,1997,23.4
KM.GC,1998,23.68
KM.GC,1999,23.24
KM.GC,2000,23.26
KM.GC,2001,23.34
KM.GC,2002,23.34
KM.GC,2003,23.4
KM.GC,2004,23.28
KM.GC,2005,23.57
KM.GC,2006,23.43
KM.GC,2007,23.71
KM.GC,2008,23.3
KM.GC,2009,23.64
KM.GC,2010,23.71
KM.GC,2011,23.54
KM.GC,2012,23.45
KM.GC,2013,23.52
KM.GC,2014,23.55
KM.GC,2015,23.77
KM.GC,2016,23.57
KM.GC,2017,23.8
KM.GC,2018,23.6
KM.GC,2019,23.96
KM.GC,2020,23.9
KM.GC,2021,23.65
KM.GC,2022,23.48
