Geography,Year,Count
LR.BG,1901,25.77
LR.BG,1902,25.59
LR.BG,1903,25.33
LR.BG,1904,25.15
LR.BG,1905,25.36
LR.BG,1906,25.33
LR.BG,1907,25.15
LR.BG,1908,25.32
LR.BG,1909,25.2
LR.BG,1910,25.53
LR.BG,1911,25.23
LR.BG,1912,25.75
LR.BG,1913,25.36
LR.BG,1914,25.33
LR.BG,1915,25.71
LR.BG,1916,25.43
LR.BG,1917,25.39
LR.BG,1918,25.17
LR.BG,1919,24.93
LR.BG,1920,25.09
LR.BG,1921,24.98
LR.BG,1922,25.12
LR.BG,1923,25.27
LR.BG,1924,24.89
LR.BG,1925,24.84
LR.BG,1926,25.1
LR.BG,1927,24.54
LR.BG,1928,24.45
LR.BG,1929,24.37
LR.BG,1930,24.47
LR.BG,1931,24.95
LR.BG,1932,24.87
LR.BG,1933,24.99
LR.BG,1934,25.02
LR.BG,1935,24.93
LR.BG,1936,24.91
LR.BG,1937,25.14
LR.BG,1938,25.21
LR.BG,1939,25.19
LR.BG,1940,25.23
LR.BG,1941,25.49
LR.BG,1942,25.22
LR.BG,1943,24.94
LR.BG,1944,25.39
LR.BG,1945,25.36
LR.BG,1946,25.12
LR.BG,1947,25.15
LR.BG,1948,24.89
LR.BG,1949,25.14
LR.BG,1950,24.91
LR.BG,1951,25.08
LR.BG,1952,25.11
LR.BG,1953,25.19
LR.BG,1954,24.82
LR.BG,1955,24.87
LR.BG,1956,24.78
LR.BG,1957,25.02
LR.BG,1958,25.06
LR.BG,1959,24.97
LR.BG,1960,25.08
LR.BG,1961,24.89
LR.BG,1962,24.9
LR.BG,1963,25.12
LR.BG,1964,24.86
LR.BG,1965,24.7
LR.BG,1966,25.02
LR.BG,1967,24.79
LR.BG,1968,25.0
LR.BG,1969,25.32
LR.BG,1970,25.13
LR.BG,1971,24.43
LR.BG,1972,24.82
LR.BG,1973,25.2
LR.BG,1974,24.78
LR.BG,1975,24.61
LR.BG,1976,24.42
LR.BG,1977,24.96
LR.BG,1978,24.79
LR.BG,1979,25.1
LR.BG,1980,25.12
LR.BG,1981,25.09
LR.BG,1982,24.83
LR.BG,1983,25.29
LR.BG,1984,25.06
LR.BG,1985,24.94
LR.BG,1986,24.72
LR.BG,1987,25.61
LR.BG,1988,25.23
LR.BG,1989,25.03
LR.BG,1990,25.17
LR.BG,1991,25.11
LR.BG,1992,24.97
LR.BG,1993,25.06
LR.BG,1994,24.99
LR.BG,1995,25.27
LR.BG,1996,25.22
LR.BG,1997,25.27
LR.BG,1998,25.79
LR.BG,1999,25.17
LR.BG,2000,25.17
LR.BG,2001,25.2
LR.BG,2002,25.46
LR.BG,2003,25.44
LR.BG,2004,25.52
LR.BG,2005,25.65
LR.BG,2006,25.49
LR.BG,2007,25.53
LR.BG,2008,25.18
LR.BG,2009,25.35
LR.BG,2010,25.71
LR.BG,2011,25.44
LR.BG,2012,25.19
LR.BG,2013,25.34
LR.BG,2014,25.37
LR.BG,2015,25.57
LR.BG,2016,25.88
LR.BG,2017,25.74
LR.BG,2018,25.63
LR.BG,2019,25.4
LR.BG,2020,25.7
LR.BG,2021,25.86
LR.BG,2022,25.45
