Geography,Year,Count
LR.CM,1901,26.67
LR.CM,1902,26.5
LR.CM,1903,26.21
LR.CM,1904,26.02
LR.CM,1905,26.23
LR.CM,1906,26.2
LR.CM,1907,26.0
LR.CM,1908,26.21
LR.CM,1909,26.08
LR.CM,1910,26.4
LR.CM,1911,26.07
LR.CM,1912,26.59
LR.CM,1913,26.19
LR.CM,1914,26.13
LR.CM,1915,26.56
LR.CM,1916,26.14
LR.CM,1917,26.27
LR.CM,1918,26.08
LR.CM,1919,25.86
LR.CM,1920,25.98
LR.CM,1921,25.78
LR.CM,1922,25.86
LR.CM,1923,26.08
LR.CM,1924,25.64
LR.CM,1925,25.7
LR.CM,1926,26.0
LR.CM,1927,25.4
LR.CM,1928,25.29
LR.CM,1929,25.21
LR.CM,1930,25.3
LR.CM,1931,25.81
LR.CM,1932,25.79
LR.CM,1933,25.89
LR.CM,1934,25.86
LR.CM,1935,25.76
LR.CM,1936,25.79
LR.CM,1937,25.96
LR.CM,1938,26.07
LR.CM,1939,26.03
LR.CM,1940,26.09
LR.CM,1941,26.37
LR.CM,1942,26.12
LR.CM,1943,25.82
LR.CM,1944,26.27
LR.CM,1945,26.26
LR.CM,1946,26.0
LR.CM,1947,26.06
LR.CM,1948,25.77
LR.CM,1949,26.01
LR.CM,1950,25.77
LR.CM,1951,25.91
LR.CM,1952,25.94
LR.CM,1953,26.05
LR.CM,1954,25.65
LR.CM,1955,25.74
LR.CM,1956,25.59
LR.CM,1957,25.85
LR.CM,1958,25.89
LR.CM,1959,25.74
LR.CM,1960,25.87
LR.CM,1961,25.64
LR.CM,1962,25.65
LR.CM,1963,25.93
LR.CM,1964,25.59
LR.CM,1965,25.46
LR.CM,1966,25.77
LR.CM,1967,25.62
LR.CM,1968,25.79
LR.CM,1969,26.08
LR.CM,1970,25.96
LR.CM,1971,25.4
LR.CM,1972,25.85
LR.CM,1973,26.1
LR.CM,1974,25.66
LR.CM,1975,25.5
LR.CM,1976,25.36
LR.CM,1977,25.87
LR.CM,1978,25.7
LR.CM,1979,26.01
LR.CM,1980,26.01
LR.CM,1981,25.96
LR.CM,1982,25.75
LR.CM,1983,26.2
LR.CM,1984,25.97
LR.CM,1985,25.77
LR.CM,1986,25.61
LR.CM,1987,26.41
LR.CM,1988,26.02
LR.CM,1989,25.92
LR.CM,1990,26.09
LR.CM,1991,25.99
LR.CM,1992,25.85
LR.CM,1993,25.96
LR.CM,1994,25.84
LR.CM,1995,26.11
LR.CM,1996,26.11
LR.CM,1997,26.09
LR.CM,1998,26.6
LR.CM,1999,25.94
LR.CM,2000,26.02
LR.CM,2001,26.1
LR.CM,2002,26.32
LR.CM,2003,26.28
LR.CM,2004,26.39
LR.CM,2005,26.46
LR.CM,2006,26.4
LR.CM,2007,26.46
LR.CM,2008,26.1
LR.CM,2009,26.14
LR.CM,2010,26.51
LR.CM,2011,26.28
LR.CM,2012,26.09
LR.CM,2013,26.16
LR.CM,2014,26.2
LR.CM,2015,26.39
LR.CM,2016,26.67
LR.CM,2017,26.58
LR.CM,2018,26.41
LR.CM,2019,26.26
LR.CM,2020,26.59
LR.CM,2021,26.73
LR.CM,2022,26.33
