Geography,Year,Count
LR.LF,1901,25.14
LR.LF,1902,25.01
LR.LF,1903,24.64
LR.LF,1904,24.5
LR.LF,1905,24.67
LR.LF,1906,24.63
LR.LF,1907,24.45
LR.LF,1908,24.73
LR.LF,1909,24.58
LR.LF,1910,24.88
LR.LF,1911,24.56
LR.LF,1912,25.1
LR.LF,1913,24.7
LR.LF,1914,24.65
LR.LF,1915,25.05
LR.LF,1916,24.67
LR.LF,1917,24.75
LR.LF,1918,24.55
LR.LF,1919,24.36
LR.LF,1920,24.47
LR.LF,1921,24.3
LR.LF,1922,24.4
LR.LF,1923,24.6
LR.LF,1924,24.22
LR.LF,1925,24.23
LR.LF,1926,24.4
LR.LF,1927,23.82
LR.LF,1928,23.74
LR.LF,1929,23.66
LR.LF,1930,23.79
LR.LF,1931,24.38
LR.LF,1932,24.24
LR.LF,1933,24.38
LR.LF,1934,24.39
LR.LF,1935,24.33
LR.LF,1936,24.3
LR.LF,1937,24.54
LR.LF,1938,24.64
LR.LF,1939,24.6
LR.LF,1940,24.6
LR.LF,1941,24.87
LR.LF,1942,24.61
LR.LF,1943,24.29
LR.LF,1944,24.77
LR.LF,1945,24.72
LR.LF,1946,24.48
LR.LF,1947,24.57
LR.LF,1948,24.27
LR.LF,1949,24.53
LR.LF,1950,24.27
LR.LF,1951,24.45
LR.LF,1952,24.43
LR.LF,1953,24.56
LR.LF,1954,24.14
LR.LF,1955,24.27
LR.LF,1956,24.14
LR.LF,1957,24.42
LR.LF,1958,24.47
LR.LF,1959,24.29
LR.LF,1960,24.39
LR.LF,1961,24.21
LR.LF,1962,24.25
LR.LF,1963,24.47
LR.LF,1964,24.17
LR.LF,1965,24.05
LR.LF,1966,24.32
LR.LF,1967,24.13
LR.LF,1968,24.34
LR.LF,1969,24.66
LR.LF,1970,24.5
LR.LF,1971,23.85
LR.LF,1972,24.27
LR.LF,1973,24.61
LR.LF,1974,24.17
LR.LF,1975,23.97
LR.LF,1976,23.81
LR.LF,1977,24.37
LR.LF,1978,24.21
LR.LF,1979,24.5
LR.LF,1980,24.54
LR.LF,1981,24.49
LR.LF,1982,24.22
LR.LF,1983,24.7
LR.LF,1984,24.45
LR.LF,1985,24.34
LR.LF,1986,24.09
LR.LF,1987,24.96
LR.LF,1988,24.58
LR.LF,1989,24.4
LR.LF,1990,24.58
LR.LF,1991,24.5
LR.LF,1992,24.34
LR.LF,1993,24.47
LR.LF,1994,24.33
LR.LF,1995,24.58
LR.LF,1996,24.62
LR.LF,1997,24.59
LR.LF,1998,25.11
LR.LF,1999,24.41
LR.LF,2000,24.49
LR.LF,2001,24.65
LR.LF,2002,24.9
LR.LF,2003,24.84
LR.LF,2004,24.94
LR.LF,2005,24.97
LR.LF,2006,24.86
LR.LF,2007,24.93
LR.LF,2008,24.62
LR.LF,2009,24.76
LR.LF,2010,25.09
LR.LF,2011,24.84
LR.LF,2012,24.58
LR.LF,2013,24.71
LR.LF,2014,24.72
LR.LF,2015,24.92
LR.LF,2016,25.16
LR.LF,2017,25.05
LR.LF,2018,25.05
LR.LF,2019,24.8
LR.LF,2020,25.14
LR.LF,2021,25.37
LR.LF,2022,24.86
