Geography,Year,Count
LR.MG,1901,26.28
LR.MG,1902,26.09
LR.MG,1903,25.86
LR.MG,1904,25.63
LR.MG,1905,25.87
LR.MG,1906,25.85
LR.MG,1907,25.66
LR.MG,1908,25.79
LR.MG,1909,25.68
LR.MG,1910,26.03
LR.MG,1911,25.72
LR.MG,1912,26.24
LR.MG,1913,25.84
LR.MG,1914,25.82
LR.MG,1915,26.2
LR.MG,1916,25.9
LR.MG,1917,25.88
LR.MG,1918,25.66
LR.MG,1919,25.41
LR.MG,1920,25.58
LR.MG,1921,25.44
LR.MG,1922,25.59
LR.MG,1923,25.74
LR.MG,1924,25.33
LR.MG,1925,25.31
LR.MG,1926,25.63
LR.MG,1927,25.06
LR.MG,1928,24.94
LR.MG,1929,24.86
LR.MG,1930,24.95
LR.MG,1931,25.38
LR.MG,1932,25.36
LR.MG,1933,25.48
LR.MG,1934,25.47
LR.MG,1935,25.36
LR.MG,1936,25.38
LR.MG,1937,25.57
LR.MG,1938,25.63
LR.MG,1939,25.63
LR.MG,1940,25.72
LR.MG,1941,25.97
LR.MG,1942,25.7
LR.MG,1943,25.44
LR.MG,1944,25.88
LR.MG,1945,25.85
LR.MG,1946,25.6
LR.MG,1947,25.62
LR.MG,1948,25.37
LR.MG,1949,25.61
LR.MG,1950,25.37
LR.MG,1951,25.56
LR.MG,1952,25.58
LR.MG,1953,25.67
LR.MG,1954,25.3
LR.MG,1955,25.37
LR.MG,1956,25.25
LR.MG,1957,25.5
LR.MG,1958,25.54
LR.MG,1959,25.42
LR.MG,1960,25.56
LR.MG,1961,25.37
LR.MG,1962,25.34
LR.MG,1963,25.57
LR.MG,1964,25.32
LR.MG,1965,25.14
LR.MG,1966,25.47
LR.MG,1967,25.26
LR.MG,1968,25.46
LR.MG,1969,25.77
LR.MG,1970,25.62
LR.MG,1971,24.92
LR.MG,1972,25.34
LR.MG,1973,25.69
LR.MG,1974,25.28
LR.MG,1975,25.1
LR.MG,1976,24.91
LR.MG,1977,25.47
LR.MG,1978,25.29
LR.MG,1979,25.6
LR.MG,1980,25.62
LR.MG,1981,25.55
LR.MG,1982,25.33
LR.MG,1983,25.79
LR.MG,1984,25.57
LR.MG,1985,25.4
LR.MG,1986,25.18
LR.MG,1987,26.06
LR.MG,1988,25.67
LR.MG,1989,25.53
LR.MG,1990,25.65
LR.MG,1991,25.58
LR.MG,1992,25.44
LR.MG,1993,25.54
LR.MG,1994,25.47
LR.MG,1995,25.74
LR.MG,1996,25.7
LR.MG,1997,25.74
LR.MG,1998,26.26
LR.MG,1999,25.64
LR.MG,2000,25.65
LR.MG,2001,25.67
LR.MG,2002,25.92
LR.MG,2003,25.91
LR.MG,2004,25.98
LR.MG,2005,26.11
LR.MG,2006,25.98
LR.MG,2007,26.01
LR.MG,2008,25.65
LR.MG,2009,25.78
LR.MG,2010,26.16
LR.MG,2011,25.89
LR.MG,2012,25.66
LR.MG,2013,25.79
LR.MG,2014,25.84
LR.MG,2015,26.02
LR.MG,2016,26.33
LR.MG,2017,26.21
LR.MG,2018,26.06
LR.MG,2019,25.85
LR.MG,2020,26.14
LR.MG,2021,26.29
LR.MG,2022,25.93
