Geography,Year,Count
LR.RI,1901,25.95
LR.RI,1902,25.76
LR.RI,1903,25.65
LR.RI,1904,25.4
LR.RI,1905,25.66
LR.RI,1906,25.63
LR.RI,1907,25.46
LR.RI,1908,25.5
LR.RI,1909,25.42
LR.RI,1910,25.76
LR.RI,1911,25.53
LR.RI,1912,25.97
LR.RI,1913,25.61
LR.RI,1914,25.6
LR.RI,1915,25.93
LR.RI,1916,25.76
LR.RI,1917,25.59
LR.RI,1918,25.41
LR.RI,1919,25.18
LR.RI,1920,25.32
LR.RI,1921,25.28
LR.RI,1922,25.43
LR.RI,1923,25.53
LR.RI,1924,25.19
LR.RI,1925,25.09
LR.RI,1926,25.43
LR.RI,1927,24.91
LR.RI,1928,24.78
LR.RI,1929,24.75
LR.RI,1930,24.76
LR.RI,1931,25.11
LR.RI,1932,25.09
LR.RI,1933,25.22
LR.RI,1934,25.24
LR.RI,1935,25.08
LR.RI,1936,25.14
LR.RI,1937,25.37
LR.RI,1938,25.34
LR.RI,1939,25.33
LR.RI,1940,25.45
LR.RI,1941,25.75
LR.RI,1942,25.45
LR.RI,1943,25.21
LR.RI,1944,25.64
LR.RI,1945,25.62
LR.RI,1946,25.37
LR.RI,1947,25.36
LR.RI,1948,25.13
LR.RI,1949,25.36
LR.RI,1950,25.17
LR.RI,1951,25.35
LR.RI,1952,25.39
LR.RI,1953,25.44
LR.RI,1954,25.14
LR.RI,1955,25.15
LR.RI,1956,25.06
LR.RI,1957,25.32
LR.RI,1958,25.32
LR.RI,1959,25.22
LR.RI,1960,25.34
LR.RI,1961,25.22
LR.RI,1962,25.26
LR.RI,1963,25.45
LR.RI,1964,25.13
LR.RI,1965,24.95
LR.RI,1966,25.33
LR.RI,1967,25.12
LR.RI,1968,25.29
LR.RI,1969,25.55
LR.RI,1970,25.43
LR.RI,1971,24.69
LR.RI,1972,25.02
LR.RI,1973,25.42
LR.RI,1974,25.0
LR.RI,1975,24.88
LR.RI,1976,24.65
LR.RI,1977,25.17
LR.RI,1978,25.01
LR.RI,1979,25.33
LR.RI,1980,25.27
LR.RI,1981,25.32
LR.RI,1982,25.02
LR.RI,1983,25.5
LR.RI,1984,25.3
LR.RI,1985,25.13
LR.RI,1986,25.03
LR.RI,1987,25.85
LR.RI,1988,25.47
LR.RI,1989,25.31
LR.RI,1990,25.41
LR.RI,1991,25.37
LR.RI,1992,25.24
LR.RI,1993,25.28
LR.RI,1994,25.23
LR.RI,1995,25.49
LR.RI,1996,25.52
LR.RI,1997,25.55
LR.RI,1998,26.08
LR.RI,1999,25.51
LR.RI,2000,25.48
LR.RI,2001,25.41
LR.RI,2002,25.63
LR.RI,2003,25.67
LR.RI,2004,25.73
LR.RI,2005,25.87
LR.RI,2006,25.73
LR.RI,2007,25.77
LR.RI,2008,25.35
LR.RI,2009,25.55
LR.RI,2010,25.94
LR.RI,2011,25.64
LR.RI,2012,25.43
LR.RI,2013,25.59
LR.RI,2014,25.66
LR.RI,2015,25.86
LR.RI,2016,26.14
LR.RI,2017,26.0
LR.RI,2018,25.76
LR.RI,2019,25.59
LR.RI,2020,25.84
LR.RI,2021,25.98
LR.RI,2022,25.62
