Geography,Year,Count
LR.SI,1901,25.67
LR.SI,1902,25.5
LR.SI,1903,25.47
LR.SI,1904,25.2
LR.SI,1905,25.46
LR.SI,1906,25.44
LR.SI,1907,25.28
LR.SI,1908,25.28
LR.SI,1909,25.23
LR.SI,1910,25.53
LR.SI,1911,25.34
LR.SI,1912,25.7
LR.SI,1913,25.38
LR.SI,1914,25.39
LR.SI,1915,25.67
LR.SI,1916,25.53
LR.SI,1917,25.37
LR.SI,1918,25.2
LR.SI,1919,25.01
LR.SI,1920,25.13
LR.SI,1921,25.1
LR.SI,1922,25.24
LR.SI,1923,25.33
LR.SI,1924,25.04
LR.SI,1925,24.89
LR.SI,1926,25.31
LR.SI,1927,24.78
LR.SI,1928,24.63
LR.SI,1929,24.66
LR.SI,1930,24.63
LR.SI,1931,24.9
LR.SI,1932,24.91
LR.SI,1933,25.01
LR.SI,1934,25.06
LR.SI,1935,24.86
LR.SI,1936,24.98
LR.SI,1937,25.19
LR.SI,1938,25.11
LR.SI,1939,25.11
LR.SI,1940,25.24
LR.SI,1941,25.59
LR.SI,1942,25.27
LR.SI,1943,25.05
LR.SI,1944,25.46
LR.SI,1945,25.45
LR.SI,1946,25.18
LR.SI,1947,25.16
LR.SI,1948,24.94
LR.SI,1949,25.18
LR.SI,1950,24.97
LR.SI,1951,25.22
LR.SI,1952,25.26
LR.SI,1953,25.3
LR.SI,1954,25.0
LR.SI,1955,25.0
LR.SI,1956,24.89
LR.SI,1957,25.25
LR.SI,1958,25.26
LR.SI,1959,25.04
LR.SI,1960,25.18
LR.SI,1961,25.1
LR.SI,1962,25.09
LR.SI,1963,25.29
LR.SI,1964,24.93
LR.SI,1965,24.78
LR.SI,1966,25.19
LR.SI,1967,24.97
LR.SI,1968,25.11
LR.SI,1969,25.38
LR.SI,1970,25.26
LR.SI,1971,24.52
LR.SI,1972,24.83
LR.SI,1973,25.24
LR.SI,1974,24.81
LR.SI,1975,24.68
LR.SI,1976,24.47
LR.SI,1977,25.0
LR.SI,1978,24.83
LR.SI,1979,25.13
LR.SI,1980,25.07
LR.SI,1981,25.14
LR.SI,1982,24.83
LR.SI,1983,25.3
LR.SI,1984,25.15
LR.SI,1985,24.96
LR.SI,1986,24.84
LR.SI,1987,25.7
LR.SI,1988,25.28
LR.SI,1989,25.14
LR.SI,1990,25.23
LR.SI,1991,25.2
LR.SI,1992,25.07
LR.SI,1993,25.1
LR.SI,1994,25.11
LR.SI,1995,25.35
LR.SI,1996,25.33
LR.SI,1997,25.4
LR.SI,1998,25.92
LR.SI,1999,25.34
LR.SI,2000,25.31
LR.SI,2001,25.24
LR.SI,2002,25.45
LR.SI,2003,25.48
LR.SI,2004,25.55
LR.SI,2005,25.69
LR.SI,2006,25.52
LR.SI,2007,25.58
LR.SI,2008,25.13
LR.SI,2009,25.34
LR.SI,2010,25.81
LR.SI,2011,25.45
LR.SI,2012,25.22
LR.SI,2013,25.43
LR.SI,2014,25.53
LR.SI,2015,25.67
LR.SI,2016,25.98
LR.SI,2017,25.83
LR.SI,2018,25.54
LR.SI,2019,25.42
LR.SI,2020,25.65
LR.SI,2021,25.76
LR.SI,2022,25.4
