Year,Geography,Count
1901,LR,25.75
1902,LR,25.58
1903,LR,25.4
1904,LR,25.19
1905,LR,25.41
1906,LR,25.39
1907,LR,25.22
1908,LR,25.33
1909,LR,25.24
1910,LR,25.55
1911,LR,25.29
1912,LR,25.74
1913,LR,25.39
1914,LR,25.36
1915,LR,25.71
1916,LR,25.47
1917,LR,25.4
1918,LR,25.22
1919,LR,25.01
1920,LR,25.14
1921,LR,25.05
1922,LR,25.17
1923,LR,25.31
1924,LR,24.97
1925,LR,24.89
1926,LR,25.21
1927,LR,24.64
1928,LR,24.54
1929,LR,24.51
1930,LR,24.56
1931,LR,24.97
1932,LR,24.92
1933,LR,25.03
1934,LR,25.07
1935,LR,24.93
1936,LR,24.98
1937,LR,25.2
1938,LR,25.22
1939,LR,25.19
1940,LR,25.26
1941,LR,25.56
1942,LR,25.27
1943,LR,25.01
1944,LR,25.45
1945,LR,25.42
1946,LR,25.17
1947,LR,25.2
1948,LR,24.94
1949,LR,25.19
1950,LR,24.96
1951,LR,25.16
1952,LR,25.19
1953,LR,25.26
1954,LR,24.91
1955,LR,24.95
1956,LR,24.85
1957,LR,25.13
1958,LR,25.16
1959,LR,25.02
1960,LR,25.13
1961,LR,24.99
1962,LR,25.0
1963,LR,25.22
1964,LR,24.9
1965,LR,24.75
1966,LR,25.11
1967,LR,24.89
1968,LR,25.07
1969,LR,25.36
1970,LR,25.22
1971,LR,24.51
1972,LR,24.88
1973,LR,25.26
1974,LR,24.83
1975,LR,24.67
1976,LR,24.47
1977,LR,25.01
1978,LR,24.84
1979,LR,25.15
1980,LR,25.13
1981,LR,25.14
1982,LR,24.86
1983,LR,25.33
1984,LR,25.14
1985,LR,24.97
1986,LR,24.8
1987,LR,25.67
1988,LR,25.27
1989,LR,25.11
1990,LR,25.24
1991,LR,25.18
1992,LR,25.04
1993,LR,25.11
1994,LR,25.06
1995,LR,25.32
1996,LR,25.31
1997,LR,25.34
1998,LR,25.86
1999,LR,25.25
2000,LR,25.25
2001,LR,25.26
2002,LR,25.5
2003,LR,25.48
2004,LR,25.57
2005,LR,25.68
2006,LR,25.53
2007,LR,25.59
2008,LR,25.2
2009,LR,25.38
2010,LR,25.78
2011,LR,25.48
2012,LR,25.24
2013,LR,25.41
2014,LR,25.46
2015,LR,25.64
2016,LR,25.93
2017,LR,25.8
2018,LR,25.62
2019,LR,25.44
2020,LR,25.73
2021,LR,25.87
2022,LR,25.47
