Geography,Year,Count
MA.GE,1901,20.24
MA.GE,1902,19.99
MA.GE,1903,19.77
MA.GE,1904,19.76
MA.GE,1905,19.8
MA.GE,1906,19.77
MA.GE,1907,19.54
MA.GE,1908,19.7
MA.GE,1909,19.86
MA.GE,1910,19.74
MA.GE,1911,19.62
MA.GE,1912,19.72
MA.GE,1913,19.61
MA.GE,1914,19.42
MA.GE,1915,19.94
MA.GE,1916,19.68
MA.GE,1917,19.53
MA.GE,1918,19.36
MA.GE,1919,19.97
MA.GE,1920,19.53
MA.GE,1921,19.42
MA.GE,1922,19.7
MA.GE,1923,19.82
MA.GE,1924,19.95
MA.GE,1925,19.56
MA.GE,1926,20.61
MA.GE,1927,20.14
MA.GE,1928,20.09
MA.GE,1929,20.02
MA.GE,1930,20.21
MA.GE,1931,20.06
MA.GE,1932,19.6
MA.GE,1933,20.07
MA.GE,1934,19.62
MA.GE,1935,19.96
MA.GE,1936,19.82
MA.GE,1937,20.84
MA.GE,1938,20.17
MA.GE,1939,19.81
MA.GE,1940,20.46
MA.GE,1941,20.24
MA.GE,1942,20.12
MA.GE,1943,19.85
MA.GE,1944,20.04
MA.GE,1945,20.61
MA.GE,1946,19.99
MA.GE,1947,20.62
MA.GE,1948,20.55
MA.GE,1949,20.32
MA.GE,1950,20.2
MA.GE,1951,19.68
MA.GE,1952,20.02
MA.GE,1953,19.96
MA.GE,1954,19.59
MA.GE,1955,20.66
MA.GE,1956,19.12
MA.GE,1957,19.5
MA.GE,1958,20.09
MA.GE,1959,19.69
MA.GE,1960,19.94
MA.GE,1961,20.75
MA.GE,1962,20.14
MA.GE,1963,19.81
MA.GE,1964,20.26
MA.GE,1965,19.81
MA.GE,1966,20.08
MA.GE,1967,19.69
MA.GE,1968,19.66
MA.GE,1969,19.81
MA.GE,1970,20.06
MA.GE,1971,19.0
MA.GE,1972,18.88
MA.GE,1973,19.76
MA.GE,1974,19.49
MA.GE,1975,19.66
MA.GE,1976,19.48
MA.GE,1977,19.75
MA.GE,1978,20.2
MA.GE,1979,19.94
MA.GE,1980,20.04
MA.GE,1981,20.24
MA.GE,1982,19.89
MA.GE,1983,20.55
MA.GE,1984,19.9
MA.GE,1985,20.36
MA.GE,1986,19.88
MA.GE,1987,20.98
MA.GE,1988,20.22
MA.GE,1989,20.46
MA.GE,1990,20.66
MA.GE,1991,19.85
MA.GE,1992,19.94
MA.GE,1993,19.66
MA.GE,1994,20.3
MA.GE,1995,21.08
MA.GE,1996,20.47
MA.GE,1997,21.03
MA.GE,1998,21.04
MA.GE,1999,20.58
MA.GE,2000,20.6
MA.GE,2001,21.32
MA.GE,2002,20.98
MA.GE,2003,20.98
MA.GE,2004,20.7
MA.GE,2005,20.87
MA.GE,2006,20.93
MA.GE,2007,20.67
MA.GE,2008,20.68
MA.GE,2009,21.17
MA.GE,2010,21.6
MA.GE,2011,20.95
MA.GE,2012,21.02
MA.GE,2013,21.01
MA.GE,2014,21.03
MA.GE,2015,21.04
MA.GE,2016,21.22
MA.GE,2017,21.54
MA.GE,2018,20.19
MA.GE,2019,20.86
MA.GE,2020,21.24
MA.GE,2021,21.0
MA.GE,2022,21.56
