Geography,Year,Count
MA.LB,1901,21.22
MA.LB,1902,20.99
MA.LB,1903,20.68
MA.LB,1904,20.6
MA.LB,1905,20.73
MA.LB,1906,20.69
MA.LB,1907,20.4
MA.LB,1908,20.55
MA.LB,1909,20.8
MA.LB,1910,20.68
MA.LB,1911,20.61
MA.LB,1912,20.7
MA.LB,1913,20.65
MA.LB,1914,20.53
MA.LB,1915,20.92
MA.LB,1916,20.56
MA.LB,1917,20.34
MA.LB,1918,20.08
MA.LB,1919,21.0
MA.LB,1920,20.3
MA.LB,1921,20.14
MA.LB,1922,20.57
MA.LB,1923,20.74
MA.LB,1924,20.88
MA.LB,1925,20.61
MA.LB,1926,21.58
MA.LB,1927,21.19
MA.LB,1928,21.1
MA.LB,1929,20.94
MA.LB,1930,21.17
MA.LB,1931,21.13
MA.LB,1932,20.66
MA.LB,1933,21.02
MA.LB,1934,20.68
MA.LB,1935,21.03
MA.LB,1936,20.86
MA.LB,1937,21.8
MA.LB,1938,21.12
MA.LB,1939,20.8
MA.LB,1940,21.39
MA.LB,1941,21.18
MA.LB,1942,21.04
MA.LB,1943,20.76
MA.LB,1944,20.96
MA.LB,1945,21.49
MA.LB,1946,20.87
MA.LB,1947,21.55
MA.LB,1948,21.43
MA.LB,1949,21.19
MA.LB,1950,21.09
MA.LB,1951,20.63
MA.LB,1952,20.99
MA.LB,1953,20.9
MA.LB,1954,20.53
MA.LB,1955,21.57
MA.LB,1956,20.13
MA.LB,1957,20.43
MA.LB,1958,21.05
MA.LB,1959,20.64
MA.LB,1960,20.89
MA.LB,1961,21.72
MA.LB,1962,21.12
MA.LB,1963,20.8
MA.LB,1964,21.24
MA.LB,1965,20.8
MA.LB,1966,21.14
MA.LB,1967,20.69
MA.LB,1968,20.65
MA.LB,1969,20.82
MA.LB,1970,21.05
MA.LB,1971,20.03
MA.LB,1972,19.84
MA.LB,1973,20.74
MA.LB,1974,20.39
MA.LB,1975,20.7
MA.LB,1976,20.5
MA.LB,1977,20.82
MA.LB,1978,21.18
MA.LB,1979,21.03
MA.LB,1980,21.04
MA.LB,1981,21.19
MA.LB,1982,20.78
MA.LB,1983,21.58
MA.LB,1984,20.88
MA.LB,1985,21.33
MA.LB,1986,20.89
MA.LB,1987,21.98
MA.LB,1988,21.23
MA.LB,1989,21.42
MA.LB,1990,21.66
MA.LB,1991,20.89
MA.LB,1992,20.97
MA.LB,1993,20.69
MA.LB,1994,21.25
MA.LB,1995,22.05
MA.LB,1996,21.48
MA.LB,1997,22.04
MA.LB,1998,22.08
MA.LB,1999,21.61
MA.LB,2000,21.58
MA.LB,2001,22.34
MA.LB,2002,22.0
MA.LB,2003,21.98
MA.LB,2004,21.71
MA.LB,2005,21.86
MA.LB,2006,21.91
MA.LB,2007,21.67
MA.LB,2008,21.71
MA.LB,2009,22.16
MA.LB,2010,22.59
MA.LB,2011,21.9
MA.LB,2012,22.03
MA.LB,2013,22.11
MA.LB,2014,22.03
MA.LB,2015,22.02
MA.LB,2016,22.22
MA.LB,2017,22.56
MA.LB,2018,21.21
MA.LB,2019,21.95
MA.LB,2020,22.39
MA.LB,2021,22.06
MA.LB,2022,22.54
