Geography,Year,Count
MA.MT,1901,18.02
MA.MT,1902,17.79
MA.MT,1903,17.78
MA.MT,1904,18.0
MA.MT,1905,17.68
MA.MT,1906,17.73
MA.MT,1907,17.51
MA.MT,1908,17.68
MA.MT,1909,17.58
MA.MT,1910,17.59
MA.MT,1911,17.44
MA.MT,1912,17.52
MA.MT,1913,17.47
MA.MT,1914,17.26
MA.MT,1915,17.6
MA.MT,1916,17.51
MA.MT,1917,17.27
MA.MT,1918,17.46
MA.MT,1919,17.49
MA.MT,1920,17.71
MA.MT,1921,17.64
MA.MT,1922,17.6
MA.MT,1923,17.64
MA.MT,1924,18.1
MA.MT,1925,17.35
MA.MT,1926,18.55
MA.MT,1927,17.97
MA.MT,1928,17.88
MA.MT,1929,17.89
MA.MT,1930,18.22
MA.MT,1931,17.83
MA.MT,1932,17.4
MA.MT,1933,17.92
MA.MT,1934,17.49
MA.MT,1935,17.82
MA.MT,1936,17.7
MA.MT,1937,18.69
MA.MT,1938,18.09
MA.MT,1939,17.71
MA.MT,1940,18.39
MA.MT,1941,18.25
MA.MT,1942,18.34
MA.MT,1943,18.15
MA.MT,1944,18.19
MA.MT,1945,18.98
MA.MT,1946,18.22
MA.MT,1947,18.49
MA.MT,1948,18.69
MA.MT,1949,18.58
MA.MT,1950,18.41
MA.MT,1951,17.88
MA.MT,1952,18.17
MA.MT,1953,18.19
MA.MT,1954,17.76
MA.MT,1955,18.94
MA.MT,1956,17.06
MA.MT,1957,17.64
MA.MT,1958,18.16
MA.MT,1959,17.89
MA.MT,1960,17.99
MA.MT,1961,18.67
MA.MT,1962,18.08
MA.MT,1963,17.71
MA.MT,1964,18.06
MA.MT,1965,17.69
MA.MT,1966,17.91
MA.MT,1967,17.59
MA.MT,1968,17.79
MA.MT,1969,17.71
MA.MT,1970,17.98
MA.MT,1971,16.99
MA.MT,1972,17.03
MA.MT,1973,17.69
MA.MT,1974,17.63
MA.MT,1975,17.56
MA.MT,1976,17.41
MA.MT,1977,17.73
MA.MT,1978,17.98
MA.MT,1979,17.92
MA.MT,1980,18.0
MA.MT,1981,18.28
MA.MT,1982,17.97
MA.MT,1983,18.46
MA.MT,1984,17.82
MA.MT,1985,18.28
MA.MT,1986,17.75
MA.MT,1987,18.6
MA.MT,1988,18.13
MA.MT,1989,18.62
MA.MT,1990,18.56
MA.MT,1991,17.62
MA.MT,1992,17.74
MA.MT,1993,17.52
MA.MT,1994,18.37
MA.MT,1995,18.95
MA.MT,1996,18.21
MA.MT,1997,18.79
MA.MT,1998,18.53
MA.MT,1999,18.3
MA.MT,2000,18.55
MA.MT,2001,19.06
MA.MT,2002,18.76
MA.MT,2003,18.81
MA.MT,2004,18.49
MA.MT,2005,18.65
MA.MT,2006,18.9
MA.MT,2007,18.55
MA.MT,2008,18.44
MA.MT,2009,19.07
MA.MT,2010,19.35
MA.MT,2011,18.91
MA.MT,2012,18.85
MA.MT,2013,18.62
MA.MT,2014,19.05
MA.MT,2015,19.21
MA.MT,2016,19.32
MA.MT,2017,19.51
MA.MT,2018,18.24
MA.MT,2019,18.82
MA.MT,2020,19.12
MA.MT,2021,19.06
MA.MT,2022,19.71
