Geography,Year,Count
MA.OR,1901,16.16
MA.OR,1902,16.09
MA.OR,1903,16.03
MA.OR,1904,16.41
MA.OR,1905,15.87
MA.OR,1906,15.95
MA.OR,1907,15.75
MA.OR,1908,16.04
MA.OR,1909,15.76
MA.OR,1910,15.84
MA.OR,1911,15.97
MA.OR,1912,15.84
MA.OR,1913,16.07
MA.OR,1914,15.8
MA.OR,1915,15.93
MA.OR,1916,15.92
MA.OR,1917,15.5
MA.OR,1918,15.71
MA.OR,1919,15.65
MA.OR,1920,16.04
MA.OR,1921,16.11
MA.OR,1922,15.95
MA.OR,1923,16.0
MA.OR,1924,16.6
MA.OR,1925,15.53
MA.OR,1926,16.89
MA.OR,1927,16.38
MA.OR,1928,16.28
MA.OR,1929,16.18
MA.OR,1930,16.54
MA.OR,1931,16.27
MA.OR,1932,15.72
MA.OR,1933,16.29
MA.OR,1934,15.89
MA.OR,1935,16.16
MA.OR,1936,16.05
MA.OR,1937,16.97
MA.OR,1938,16.33
MA.OR,1939,15.96
MA.OR,1940,16.65
MA.OR,1941,16.45
MA.OR,1942,16.78
MA.OR,1943,16.66
MA.OR,1944,16.43
MA.OR,1945,17.23
MA.OR,1946,16.59
MA.OR,1947,16.9
MA.OR,1948,17.08
MA.OR,1949,16.98
MA.OR,1950,16.82
MA.OR,1951,16.37
MA.OR,1952,16.72
MA.OR,1953,16.73
MA.OR,1954,16.33
MA.OR,1955,17.55
MA.OR,1956,15.73
MA.OR,1957,16.31
MA.OR,1958,16.77
MA.OR,1959,16.68
MA.OR,1960,16.65
MA.OR,1961,17.29
MA.OR,1962,16.7
MA.OR,1963,16.39
MA.OR,1964,16.75
MA.OR,1965,16.36
MA.OR,1966,16.52
MA.OR,1967,16.27
MA.OR,1968,16.53
MA.OR,1969,16.23
MA.OR,1970,16.54
MA.OR,1971,15.72
MA.OR,1972,15.54
MA.OR,1973,16.19
MA.OR,1974,16.16
MA.OR,1975,16.08
MA.OR,1976,15.86
MA.OR,1977,16.35
MA.OR,1978,16.5
MA.OR,1979,16.63
MA.OR,1980,16.62
MA.OR,1981,16.82
MA.OR,1982,16.64
MA.OR,1983,16.98
MA.OR,1984,16.29
MA.OR,1985,16.9
MA.OR,1986,16.44
MA.OR,1987,17.08
MA.OR,1988,16.76
MA.OR,1989,17.35
MA.OR,1990,17.15
MA.OR,1991,16.24
MA.OR,1992,16.27
MA.OR,1993,16.16
MA.OR,1994,17.08
MA.OR,1995,17.41
MA.OR,1996,16.67
MA.OR,1997,17.39
MA.OR,1998,16.99
MA.OR,1999,16.93
MA.OR,2000,17.15
MA.OR,2001,17.59
MA.OR,2002,17.15
MA.OR,2003,17.36
MA.OR,2004,16.97
MA.OR,2005,16.91
MA.OR,2006,17.48
MA.OR,2007,17.0
MA.OR,2008,16.95
MA.OR,2009,17.52
MA.OR,2010,17.6
MA.OR,2011,17.46
MA.OR,2012,17.13
MA.OR,2013,16.96
MA.OR,2014,17.58
MA.OR,2015,17.76
MA.OR,2016,17.88
MA.OR,2017,18.02
MA.OR,2018,16.9
MA.OR,2019,17.49
MA.OR,2020,17.79
MA.OR,2021,17.72
MA.OR,2022,18.28
