Geography,Year,Count
MA.TO,1901,15.57
MA.TO,1902,15.53
MA.TO,1903,15.59
MA.TO,1904,15.96
MA.TO,1905,15.37
MA.TO,1906,15.53
MA.TO,1907,15.31
MA.TO,1908,15.63
MA.TO,1909,15.32
MA.TO,1910,15.34
MA.TO,1911,15.36
MA.TO,1912,15.32
MA.TO,1913,15.5
MA.TO,1914,15.28
MA.TO,1915,15.41
MA.TO,1916,15.38
MA.TO,1917,14.9
MA.TO,1918,15.24
MA.TO,1919,15.18
MA.TO,1920,15.5
MA.TO,1921,15.66
MA.TO,1922,15.42
MA.TO,1923,15.59
MA.TO,1924,16.1
MA.TO,1925,15.23
MA.TO,1926,16.55
MA.TO,1927,15.9
MA.TO,1928,15.77
MA.TO,1929,15.89
MA.TO,1930,16.07
MA.TO,1931,15.8
MA.TO,1932,15.3
MA.TO,1933,15.86
MA.TO,1934,15.55
MA.TO,1935,15.66
MA.TO,1936,15.61
MA.TO,1937,16.53
MA.TO,1938,16.0
MA.TO,1939,15.67
MA.TO,1940,16.24
MA.TO,1941,16.11
MA.TO,1942,16.24
MA.TO,1943,16.26
MA.TO,1944,16.1
MA.TO,1945,16.9
MA.TO,1946,16.13
MA.TO,1947,16.45
MA.TO,1948,16.79
MA.TO,1949,16.69
MA.TO,1950,16.38
MA.TO,1951,15.82
MA.TO,1952,16.12
MA.TO,1953,16.39
MA.TO,1954,15.89
MA.TO,1955,17.17
MA.TO,1956,15.24
MA.TO,1957,15.88
MA.TO,1958,16.32
MA.TO,1959,16.16
MA.TO,1960,16.15
MA.TO,1961,16.85
MA.TO,1962,16.32
MA.TO,1963,15.97
MA.TO,1964,16.32
MA.TO,1965,15.9
MA.TO,1966,16.0
MA.TO,1967,15.82
MA.TO,1968,16.04
MA.TO,1969,15.77
MA.TO,1970,16.16
MA.TO,1971,15.38
MA.TO,1972,15.23
MA.TO,1973,15.82
MA.TO,1974,15.85
MA.TO,1975,15.73
MA.TO,1976,15.58
MA.TO,1977,15.84
MA.TO,1978,16.1
MA.TO,1979,16.06
MA.TO,1980,16.22
MA.TO,1981,16.44
MA.TO,1982,16.18
MA.TO,1983,16.52
MA.TO,1984,15.91
MA.TO,1985,16.6
MA.TO,1986,16.03
MA.TO,1987,16.57
MA.TO,1988,16.43
MA.TO,1989,17.03
MA.TO,1990,16.76
MA.TO,1991,16.03
MA.TO,1992,16.11
MA.TO,1993,15.64
MA.TO,1994,16.51
MA.TO,1995,17.1
MA.TO,1996,16.38
MA.TO,1997,17.02
MA.TO,1998,16.63
MA.TO,1999,16.37
MA.TO,2000,16.64
MA.TO,2001,17.04
MA.TO,2002,16.69
MA.TO,2003,16.97
MA.TO,2004,16.68
MA.TO,2005,16.52
MA.TO,2006,17.01
MA.TO,2007,16.57
MA.TO,2008,16.6
MA.TO,2009,17.16
MA.TO,2010,17.21
MA.TO,2011,17.07
MA.TO,2012,16.76
MA.TO,2013,16.65
MA.TO,2014,17.14
MA.TO,2015,17.34
MA.TO,2016,17.49
MA.TO,2017,17.65
MA.TO,2018,16.52
MA.TO,2019,17.12
MA.TO,2020,17.33
MA.TO,2021,17.22
MA.TO,2022,17.8
