Geography,Year,Count
ML.GA,1901,28.81
ML.GA,1902,29.08
ML.GA,1903,29.64
ML.GA,1904,29.63
ML.GA,1905,29.12
ML.GA,1906,29.44
ML.GA,1907,29.17
ML.GA,1908,29.36
ML.GA,1909,29.34
ML.GA,1910,29.31
ML.GA,1911,28.69
ML.GA,1912,29.35
ML.GA,1913,29.44
ML.GA,1914,29.79
ML.GA,1915,28.5
ML.GA,1916,27.7
ML.GA,1917,28.06
ML.GA,1918,27.81
ML.GA,1919,29.64
ML.GA,1920,29.63
ML.GA,1921,29.64
ML.GA,1922,28.82
ML.GA,1923,28.88
ML.GA,1924,29.53
ML.GA,1925,29.17
ML.GA,1926,29.15
ML.GA,1927,28.61
ML.GA,1928,28.84
ML.GA,1929,28.66
ML.GA,1930,29.28
ML.GA,1931,29.84
ML.GA,1932,29.3
ML.GA,1933,29.25
ML.GA,1934,29.45
ML.GA,1935,30.41
ML.GA,1936,29.77
ML.GA,1937,30.82
ML.GA,1938,31.0
ML.GA,1939,30.41
ML.GA,1940,29.63
ML.GA,1941,30.25
ML.GA,1942,30.13
ML.GA,1943,29.49
ML.GA,1944,29.85
ML.GA,1945,29.37
ML.GA,1946,29.41
ML.GA,1947,29.96
ML.GA,1948,29.22
ML.GA,1949,30.02
ML.GA,1950,28.83
ML.GA,1951,29.86
ML.GA,1952,28.93
ML.GA,1953,29.09
ML.GA,1954,29.03
ML.GA,1955,29.34
ML.GA,1956,29.34
ML.GA,1957,29.03
ML.GA,1958,29.72
ML.GA,1959,29.71
ML.GA,1960,29.33
ML.GA,1961,28.88
ML.GA,1962,29.3
ML.GA,1963,29.65
ML.GA,1964,29.27
ML.GA,1965,29.11
ML.GA,1966,29.63
ML.GA,1967,29.17
ML.GA,1968,29.57
ML.GA,1969,30.24
ML.GA,1970,29.85
ML.GA,1971,29.65
ML.GA,1972,29.81
ML.GA,1973,29.88
ML.GA,1974,29.03
ML.GA,1975,29.1
ML.GA,1976,29.01
ML.GA,1977,29.54
ML.GA,1978,29.88
ML.GA,1979,29.83
ML.GA,1980,29.96
ML.GA,1981,29.63
ML.GA,1982,29.55
ML.GA,1983,30.02
ML.GA,1984,30.04
ML.GA,1985,29.87
ML.GA,1986,29.65
ML.GA,1987,30.49
ML.GA,1988,29.68
ML.GA,1989,29.55
ML.GA,1990,30.16
ML.GA,1991,29.7
ML.GA,1992,29.4
ML.GA,1993,30.01
ML.GA,1994,29.44
ML.GA,1995,29.93
ML.GA,1996,30.15
ML.GA,1997,30.29
ML.GA,1998,30.42
ML.GA,1999,29.85
ML.GA,2000,30.11
ML.GA,2001,30.15
ML.GA,2002,30.29
ML.GA,2003,30.32
ML.GA,2004,30.47
ML.GA,2005,30.55
ML.GA,2006,30.18
ML.GA,2007,30.32
ML.GA,2008,29.72
ML.GA,2009,30.7
ML.GA,2010,30.81
ML.GA,2011,30.59
ML.GA,2012,30.09
ML.GA,2013,30.3
ML.GA,2014,30.39
ML.GA,2015,30.16
ML.GA,2016,30.5
ML.GA,2017,30.31
ML.GA,2018,30.37
ML.GA,2019,30.16
ML.GA,2020,30.4
ML.GA,2021,30.82
ML.GA,2022,30.08
