Geography,Year,Count
ML.KD,1901,28.0
ML.KD,1902,28.23
ML.KD,1903,28.69
ML.KD,1904,28.67
ML.KD,1905,28.24
ML.KD,1906,28.45
ML.KD,1907,28.22
ML.KD,1908,28.44
ML.KD,1909,28.49
ML.KD,1910,28.35
ML.KD,1911,27.85
ML.KD,1912,28.39
ML.KD,1913,28.49
ML.KD,1914,28.73
ML.KD,1915,27.75
ML.KD,1916,27.08
ML.KD,1917,27.38
ML.KD,1918,27.17
ML.KD,1919,28.69
ML.KD,1920,28.67
ML.KD,1921,28.69
ML.KD,1922,28.01
ML.KD,1923,28.01
ML.KD,1924,28.61
ML.KD,1925,28.31
ML.KD,1926,28.31
ML.KD,1927,27.96
ML.KD,1928,28.19
ML.KD,1929,27.96
ML.KD,1930,28.52
ML.KD,1931,28.94
ML.KD,1932,28.24
ML.KD,1933,28.27
ML.KD,1934,28.32
ML.KD,1935,29.31
ML.KD,1936,28.87
ML.KD,1937,29.48
ML.KD,1938,29.58
ML.KD,1939,29.18
ML.KD,1940,28.67
ML.KD,1941,29.36
ML.KD,1942,29.3
ML.KD,1943,28.63
ML.KD,1944,28.86
ML.KD,1945,28.37
ML.KD,1946,28.52
ML.KD,1947,28.96
ML.KD,1948,28.27
ML.KD,1949,29.08
ML.KD,1950,27.84
ML.KD,1951,28.98
ML.KD,1952,28.01
ML.KD,1953,28.19
ML.KD,1954,28.04
ML.KD,1955,28.51
ML.KD,1956,28.42
ML.KD,1957,28.05
ML.KD,1958,28.72
ML.KD,1959,28.73
ML.KD,1960,28.39
ML.KD,1961,27.91
ML.KD,1962,28.33
ML.KD,1963,28.69
ML.KD,1964,28.32
ML.KD,1965,28.15
ML.KD,1966,28.76
ML.KD,1967,28.22
ML.KD,1968,28.59
ML.KD,1969,29.28
ML.KD,1970,28.88
ML.KD,1971,28.69
ML.KD,1972,28.86
ML.KD,1973,28.84
ML.KD,1974,28.02
ML.KD,1975,28.15
ML.KD,1976,28.05
ML.KD,1977,28.62
ML.KD,1978,28.97
ML.KD,1979,28.95
ML.KD,1980,29.02
ML.KD,1981,28.67
ML.KD,1982,28.6
ML.KD,1983,29.05
ML.KD,1984,29.03
ML.KD,1985,28.84
ML.KD,1986,28.65
ML.KD,1987,29.53
ML.KD,1988,28.76
ML.KD,1989,28.61
ML.KD,1990,29.25
ML.KD,1991,28.74
ML.KD,1992,28.47
ML.KD,1993,29.08
ML.KD,1994,28.51
ML.KD,1995,29.02
ML.KD,1996,29.29
ML.KD,1997,29.35
ML.KD,1998,29.44
ML.KD,1999,28.94
ML.KD,2000,29.15
ML.KD,2001,29.24
ML.KD,2002,29.35
ML.KD,2003,29.43
ML.KD,2004,29.48
ML.KD,2005,29.51
ML.KD,2006,29.14
ML.KD,2007,29.28
ML.KD,2008,28.75
ML.KD,2009,29.79
ML.KD,2010,29.93
ML.KD,2011,29.66
ML.KD,2012,29.11
ML.KD,2013,29.24
ML.KD,2014,29.34
ML.KD,2015,29.06
ML.KD,2016,29.41
ML.KD,2017,29.19
ML.KD,2018,29.26
ML.KD,2019,29.08
ML.KD,2020,29.18
ML.KD,2021,29.51
ML.KD,2022,28.96
