Geography,Year,Count
ML.MO,1901,28.17
ML.MO,1902,28.83
ML.MO,1903,28.89
ML.MO,1904,29.04
ML.MO,1905,28.54
ML.MO,1906,28.7
ML.MO,1907,28.46
ML.MO,1908,28.95
ML.MO,1909,28.93
ML.MO,1910,28.79
ML.MO,1911,28.22
ML.MO,1912,28.94
ML.MO,1913,28.75
ML.MO,1914,29.13
ML.MO,1915,27.86
ML.MO,1916,27.04
ML.MO,1917,27.4
ML.MO,1918,27.14
ML.MO,1919,29.03
ML.MO,1920,29.03
ML.MO,1921,29.03
ML.MO,1922,28.18
ML.MO,1923,28.2
ML.MO,1924,28.84
ML.MO,1925,28.6
ML.MO,1926,28.41
ML.MO,1927,27.63
ML.MO,1928,27.79
ML.MO,1929,27.81
ML.MO,1930,28.27
ML.MO,1931,28.99
ML.MO,1932,28.65
ML.MO,1933,28.63
ML.MO,1934,28.87
ML.MO,1935,29.72
ML.MO,1936,28.99
ML.MO,1937,30.16
ML.MO,1938,30.22
ML.MO,1939,29.81
ML.MO,1940,29.04
ML.MO,1941,29.51
ML.MO,1942,29.42
ML.MO,1943,28.82
ML.MO,1944,29.31
ML.MO,1945,28.99
ML.MO,1946,28.89
ML.MO,1947,29.47
ML.MO,1948,28.79
ML.MO,1949,29.4
ML.MO,1950,28.4
ML.MO,1951,29.1
ML.MO,1952,28.59
ML.MO,1953,28.71
ML.MO,1954,28.5
ML.MO,1955,28.71
ML.MO,1956,28.79
ML.MO,1957,28.6
ML.MO,1958,29.14
ML.MO,1959,29.05
ML.MO,1960,28.7
ML.MO,1961,28.42
ML.MO,1962,28.57
ML.MO,1963,28.92
ML.MO,1964,28.62
ML.MO,1965,28.41
ML.MO,1966,28.9
ML.MO,1967,28.4
ML.MO,1968,28.69
ML.MO,1969,29.42
ML.MO,1970,29.08
ML.MO,1971,28.91
ML.MO,1972,29.02
ML.MO,1973,29.23
ML.MO,1974,28.47
ML.MO,1975,28.37
ML.MO,1976,28.26
ML.MO,1977,29.01
ML.MO,1978,29.11
ML.MO,1979,29.14
ML.MO,1980,29.58
ML.MO,1981,29.17
ML.MO,1982,28.97
ML.MO,1983,29.62
ML.MO,1984,29.55
ML.MO,1985,29.41
ML.MO,1986,29.02
ML.MO,1987,30.11
ML.MO,1988,29.15
ML.MO,1989,29.11
ML.MO,1990,29.64
ML.MO,1991,29.27
ML.MO,1992,28.86
ML.MO,1993,29.47
ML.MO,1994,28.71
ML.MO,1995,29.16
ML.MO,1996,29.53
ML.MO,1997,29.53
ML.MO,1998,29.78
ML.MO,1999,29.03
ML.MO,2000,29.4
ML.MO,2001,29.51
ML.MO,2002,29.88
ML.MO,2003,29.72
ML.MO,2004,29.82
ML.MO,2005,29.95
ML.MO,2006,29.5
ML.MO,2007,29.63
ML.MO,2008,29.24
ML.MO,2009,29.82
ML.MO,2010,29.9
ML.MO,2011,29.79
ML.MO,2012,29.33
ML.MO,2013,29.57
ML.MO,2014,29.64
ML.MO,2015,29.67
ML.MO,2016,29.96
ML.MO,2017,29.86
ML.MO,2018,29.85
ML.MO,2019,29.48
ML.MO,2020,29.91
ML.MO,2021,30.38
ML.MO,2022,29.63
