Geography,Year,Count
ML.SG,1901,27.83
ML.SG,1902,28.5
ML.SG,1903,28.28
ML.SG,1904,28.48
ML.SG,1905,28.1
ML.SG,1906,28.07
ML.SG,1907,27.92
ML.SG,1908,28.5
ML.SG,1909,28.48
ML.SG,1910,28.33
ML.SG,1911,27.84
ML.SG,1912,28.53
ML.SG,1913,28.16
ML.SG,1914,28.41
ML.SG,1915,27.6
ML.SG,1916,26.91
ML.SG,1917,27.18
ML.SG,1918,26.94
ML.SG,1919,28.43
ML.SG,1920,28.44
ML.SG,1921,28.43
ML.SG,1922,27.78
ML.SG,1923,27.82
ML.SG,1924,28.26
ML.SG,1925,28.14
ML.SG,1926,27.89
ML.SG,1927,27.16
ML.SG,1928,27.25
ML.SG,1929,27.24
ML.SG,1930,27.64
ML.SG,1931,28.49
ML.SG,1932,28.09
ML.SG,1933,28.02
ML.SG,1934,28.29
ML.SG,1935,28.94
ML.SG,1936,28.38
ML.SG,1937,29.16
ML.SG,1938,29.31
ML.SG,1939,29.1
ML.SG,1940,28.47
ML.SG,1941,28.86
ML.SG,1942,28.71
ML.SG,1943,28.12
ML.SG,1944,28.72
ML.SG,1945,28.47
ML.SG,1946,28.31
ML.SG,1947,28.87
ML.SG,1948,28.22
ML.SG,1949,28.72
ML.SG,1950,28.07
ML.SG,1951,28.51
ML.SG,1952,28.2
ML.SG,1953,28.32
ML.SG,1954,28.01
ML.SG,1955,28.22
ML.SG,1956,28.29
ML.SG,1957,28.16
ML.SG,1958,28.54
ML.SG,1959,28.38
ML.SG,1960,28.13
ML.SG,1961,27.83
ML.SG,1962,27.8
ML.SG,1963,28.13
ML.SG,1964,27.88
ML.SG,1965,27.67
ML.SG,1966,28.24
ML.SG,1967,27.79
ML.SG,1968,28.16
ML.SG,1969,28.85
ML.SG,1970,28.56
ML.SG,1971,28.42
ML.SG,1972,28.54
ML.SG,1973,28.71
ML.SG,1974,27.91
ML.SG,1975,27.75
ML.SG,1976,27.71
ML.SG,1977,28.49
ML.SG,1978,28.42
ML.SG,1979,28.55
ML.SG,1980,29.2
ML.SG,1981,28.69
ML.SG,1982,28.34
ML.SG,1983,29.09
ML.SG,1984,28.94
ML.SG,1985,28.81
ML.SG,1986,28.4
ML.SG,1987,29.46
ML.SG,1988,28.62
ML.SG,1989,28.58
ML.SG,1990,28.98
ML.SG,1991,28.7
ML.SG,1992,28.32
ML.SG,1993,28.89
ML.SG,1994,28.08
ML.SG,1995,28.52
ML.SG,1996,28.96
ML.SG,1997,28.78
ML.SG,1998,29.16
ML.SG,1999,28.35
ML.SG,2000,28.65
ML.SG,2001,28.87
ML.SG,2002,29.31
ML.SG,2003,29.08
ML.SG,2004,29.17
ML.SG,2005,29.3
ML.SG,2006,28.88
ML.SG,2007,29.04
ML.SG,2008,28.61
ML.SG,2009,29.03
ML.SG,2010,29.27
ML.SG,2011,29.07
ML.SG,2012,28.66
ML.SG,2013,28.94
ML.SG,2014,28.96
ML.SG,2015,29.09
ML.SG,2016,29.34
ML.SG,2017,29.29
ML.SG,2018,29.21
ML.SG,2019,28.83
ML.SG,2020,29.31
ML.SG,2021,29.78
ML.SG,2022,29.06
