Year,Geography,Count
1901,ML,28.11
1902,ML,28.47
1903,ML,28.66
1904,ML,28.68
1905,ML,28.32
1906,ML,28.36
1907,ML,28.14
1908,ML,28.58
1909,ML,28.62
1910,ML,28.41
1911,ML,27.95
1912,ML,28.51
1913,ML,28.45
1914,ML,28.61
1915,ML,27.89
1916,ML,27.24
1917,ML,27.5
1918,ML,27.32
1919,ML,28.71
1920,ML,28.66
1921,ML,28.67
1922,ML,28.05
1923,ML,28.02
1924,ML,28.51
1925,ML,28.37
1926,ML,28.24
1927,ML,27.67
1928,ML,27.83
1929,ML,27.68
1930,ML,28.08
1931,ML,28.73
1932,ML,28.28
1933,ML,28.24
1934,ML,28.33
1935,ML,29.15
1936,ML,28.77
1937,ML,29.37
1938,ML,29.45
1939,ML,29.15
1940,ML,28.71
1941,ML,29.13
1942,ML,29.04
1943,ML,28.51
1944,ML,28.89
1945,ML,28.65
1946,ML,28.56
1947,ML,29.02
1948,ML,28.44
1949,ML,28.97
1950,ML,28.11
1951,ML,28.83
1952,ML,28.2
1953,ML,28.42
1954,ML,28.19
1955,ML,28.52
1956,ML,28.45
1957,ML,28.26
1958,ML,28.77
1959,ML,28.7
1960,ML,28.41
1961,ML,28.14
1962,ML,28.3
1963,ML,28.59
1964,ML,28.34
1965,ML,28.14
1966,ML,28.65
1967,ML,28.17
1968,ML,28.52
1969,ML,29.15
1970,ML,28.85
1971,ML,28.64
1972,ML,28.74
1973,ML,28.86
1974,ML,28.1
1975,ML,28.11
1976,ML,28.0
1977,ML,28.71
1978,ML,28.83
1979,ML,28.89
1980,ML,29.16
1981,ML,28.78
1982,ML,28.56
1983,ML,29.23
1984,ML,29.04
1985,ML,28.91
1986,ML,28.61
1987,ML,29.58
1988,ML,28.79
1989,ML,28.73
1990,ML,29.22
1991,ML,28.85
1992,ML,28.57
1993,ML,29.1
1994,ML,28.48
1995,ML,28.92
1996,ML,29.21
1997,ML,29.2
1998,ML,29.43
1999,ML,28.81
2000,ML,29.07
2001,ML,29.22
2002,ML,29.45
2003,ML,29.38
2004,ML,29.45
2005,ML,29.53
2006,ML,29.17
2007,ML,29.3
2008,ML,28.89
2009,ML,29.5
2010,ML,29.75
2011,ML,29.49
2012,ML,29.01
2013,ML,29.24
2014,ML,29.25
2015,ML,29.25
2016,ML,29.51
2017,ML,29.38
2018,ML,29.33
2019,ML,29.1
2020,ML,29.4
2021,ML,29.78
2022,ML,29.19
