Geography,Year,Count
MR.BR,1901,29.52
MR.BR,1902,30.11
MR.BR,1903,29.74
MR.BR,1904,29.57
MR.BR,1905,29.67
MR.BR,1906,29.77
MR.BR,1907,28.97
MR.BR,1908,30.05
MR.BR,1909,29.71
MR.BR,1910,29.88
MR.BR,1911,29.68
MR.BR,1912,29.96
MR.BR,1913,29.97
MR.BR,1914,29.65
MR.BR,1915,30.01
MR.BR,1916,29.47
MR.BR,1917,29.31
MR.BR,1918,29.73
MR.BR,1919,30.37
MR.BR,1920,29.4
MR.BR,1921,29.51
MR.BR,1922,29.05
MR.BR,1923,29.82
MR.BR,1924,29.54
MR.BR,1925,29.53
MR.BR,1926,30.13
MR.BR,1927,29.77
MR.BR,1928,29.37
MR.BR,1929,29.24
MR.BR,1930,29.17
MR.BR,1931,29.8
MR.BR,1932,29.66
MR.BR,1933,29.63
MR.BR,1934,29.79
MR.BR,1935,29.88
MR.BR,1936,30.0
MR.BR,1937,30.02
MR.BR,1938,29.99
MR.BR,1939,29.79
MR.BR,1940,29.66
MR.BR,1941,29.89
MR.BR,1942,29.55
MR.BR,1943,29.61
MR.BR,1944,29.96
MR.BR,1945,30.3
MR.BR,1946,29.69
MR.BR,1947,29.9
MR.BR,1948,29.69
MR.BR,1949,29.76
MR.BR,1950,29.53
MR.BR,1951,29.16
MR.BR,1952,28.78
MR.BR,1953,29.26
MR.BR,1954,29.17
MR.BR,1955,29.49
MR.BR,1956,28.98
MR.BR,1957,29.01
MR.BR,1958,29.77
MR.BR,1959,29.45
MR.BR,1960,29.48
MR.BR,1961,29.75
MR.BR,1962,29.63
MR.BR,1963,29.76
MR.BR,1964,29.53
MR.BR,1965,28.96
MR.BR,1966,29.81
MR.BR,1967,28.97
MR.BR,1968,29.37
MR.BR,1969,30.35
MR.BR,1970,30.2
MR.BR,1971,29.23
MR.BR,1972,29.58
MR.BR,1973,29.98
MR.BR,1974,28.9
MR.BR,1975,29.16
MR.BR,1976,29.03
MR.BR,1977,30.11
MR.BR,1978,29.81
MR.BR,1979,30.35
MR.BR,1980,29.89
MR.BR,1981,30.04
MR.BR,1982,29.46
MR.BR,1983,30.71
MR.BR,1984,29.88
MR.BR,1985,29.63
MR.BR,1986,29.43
MR.BR,1987,30.71
MR.BR,1988,29.82
MR.BR,1989,29.79
MR.BR,1990,30.3
MR.BR,1991,30.01
MR.BR,1992,29.95
MR.BR,1993,30.12
MR.BR,1994,29.63
MR.BR,1995,29.98
MR.BR,1996,30.41
MR.BR,1997,30.54
MR.BR,1998,30.91
MR.BR,1999,29.78
MR.BR,2000,30.2
MR.BR,2001,30.68
MR.BR,2002,30.5
MR.BR,2003,30.38
MR.BR,2004,30.48
MR.BR,2005,30.64
MR.BR,2006,30.48
MR.BR,2007,30.48
MR.BR,2008,30.55
MR.BR,2009,30.25
MR.BR,2010,31.11
MR.BR,2011,30.47
MR.BR,2012,30.21
MR.BR,2013,30.7
MR.BR,2014,30.43
MR.BR,2015,30.8
MR.BR,2016,30.81
MR.BR,2017,30.79
MR.BR,2018,30.22
MR.BR,2019,30.29
MR.BR,2020,30.95
MR.BR,2021,31.1
MR.BR,2022,30.47
