Geography,Year,Count
MR.DN,1901,24.7
MR.DN,1902,25.0
MR.DN,1903,24.88
MR.DN,1904,24.67
MR.DN,1905,24.83
MR.DN,1906,24.94
MR.DN,1907,24.13
MR.DN,1908,25.02
MR.DN,1909,24.82
MR.DN,1910,24.89
MR.DN,1911,24.86
MR.DN,1912,24.94
MR.DN,1913,25.15
MR.DN,1914,24.78
MR.DN,1915,25.12
MR.DN,1916,24.65
MR.DN,1917,24.4
MR.DN,1918,24.6
MR.DN,1919,25.32
MR.DN,1920,24.24
MR.DN,1921,24.46
MR.DN,1922,24.25
MR.DN,1923,24.85
MR.DN,1924,24.65
MR.DN,1925,24.58
MR.DN,1926,25.41
MR.DN,1927,25.15
MR.DN,1928,24.74
MR.DN,1929,24.51
MR.DN,1930,24.28
MR.DN,1931,24.88
MR.DN,1932,24.75
MR.DN,1933,24.78
MR.DN,1934,24.86
MR.DN,1935,24.91
MR.DN,1936,25.06
MR.DN,1937,25.24
MR.DN,1938,24.91
MR.DN,1939,24.69
MR.DN,1940,24.83
MR.DN,1941,24.9
MR.DN,1942,24.52
MR.DN,1943,24.78
MR.DN,1944,25.05
MR.DN,1945,25.56
MR.DN,1946,24.81
MR.DN,1947,25.07
MR.DN,1948,24.99
MR.DN,1949,24.97
MR.DN,1950,25.03
MR.DN,1951,24.47
MR.DN,1952,24.32
MR.DN,1953,24.74
MR.DN,1954,24.59
MR.DN,1955,25.0
MR.DN,1956,24.37
MR.DN,1957,24.38
MR.DN,1958,25.2
MR.DN,1959,24.71
MR.DN,1960,24.77
MR.DN,1961,25.31
MR.DN,1962,25.12
MR.DN,1963,25.26
MR.DN,1964,25.1
MR.DN,1965,24.52
MR.DN,1966,25.28
MR.DN,1967,24.5
MR.DN,1968,24.48
MR.DN,1969,25.65
MR.DN,1970,25.49
MR.DN,1971,24.17
MR.DN,1972,24.29
MR.DN,1973,24.88
MR.DN,1974,24.0
MR.DN,1975,24.32
MR.DN,1976,24.08
MR.DN,1977,25.09
MR.DN,1978,24.86
MR.DN,1979,25.33
MR.DN,1980,24.77
MR.DN,1981,25.14
MR.DN,1982,24.43
MR.DN,1983,25.72
MR.DN,1984,24.8
MR.DN,1985,24.67
MR.DN,1986,24.48
MR.DN,1987,25.84
MR.DN,1988,24.96
MR.DN,1989,24.96
MR.DN,1990,25.48
MR.DN,1991,25.0
MR.DN,1992,24.95
MR.DN,1993,24.94
MR.DN,1994,24.68
MR.DN,1995,25.16
MR.DN,1996,25.45
MR.DN,1997,25.7
MR.DN,1998,25.92
MR.DN,1999,24.96
MR.DN,2000,25.26
MR.DN,2001,25.89
MR.DN,2002,25.62
MR.DN,2003,25.52
MR.DN,2004,25.56
MR.DN,2005,25.87
MR.DN,2006,25.53
MR.DN,2007,25.5
MR.DN,2008,25.72
MR.DN,2009,25.38
MR.DN,2010,26.2
MR.DN,2011,25.49
MR.DN,2012,25.46
MR.DN,2013,25.92
MR.DN,2014,25.54
MR.DN,2015,25.83
MR.DN,2016,25.83
MR.DN,2017,25.93
MR.DN,2018,25.08
MR.DN,2019,25.45
MR.DN,2020,26.1
MR.DN,2021,25.91
MR.DN,2022,25.73
