Geography,Year,Count
MR.TR,1901,28.38
MR.TR,1902,28.96
MR.TR,1903,28.63
MR.TR,1904,28.45
MR.TR,1905,28.54
MR.TR,1906,28.67
MR.TR,1907,27.79
MR.TR,1908,28.93
MR.TR,1909,28.59
MR.TR,1910,28.74
MR.TR,1911,28.57
MR.TR,1912,28.8
MR.TR,1913,28.89
MR.TR,1914,28.5
MR.TR,1915,28.95
MR.TR,1916,28.38
MR.TR,1917,28.18
MR.TR,1918,28.67
MR.TR,1919,29.32
MR.TR,1920,28.26
MR.TR,1921,28.37
MR.TR,1922,27.87
MR.TR,1923,28.71
MR.TR,1924,28.44
MR.TR,1925,28.41
MR.TR,1926,29.08
MR.TR,1927,28.75
MR.TR,1928,28.34
MR.TR,1929,28.15
MR.TR,1930,28.03
MR.TR,1931,28.65
MR.TR,1932,28.61
MR.TR,1933,28.53
MR.TR,1934,28.64
MR.TR,1935,28.73
MR.TR,1936,28.91
MR.TR,1937,28.92
MR.TR,1938,28.86
MR.TR,1939,28.63
MR.TR,1940,28.52
MR.TR,1941,28.75
MR.TR,1942,28.37
MR.TR,1943,28.51
MR.TR,1944,28.86
MR.TR,1945,29.25
MR.TR,1946,28.55
MR.TR,1947,28.76
MR.TR,1948,28.62
MR.TR,1949,28.68
MR.TR,1950,28.59
MR.TR,1951,28.11
MR.TR,1952,27.84
MR.TR,1953,28.21
MR.TR,1954,28.22
MR.TR,1955,28.51
MR.TR,1956,27.96
MR.TR,1957,27.97
MR.TR,1958,28.77
MR.TR,1959,28.35
MR.TR,1960,28.44
MR.TR,1961,28.83
MR.TR,1962,28.73
MR.TR,1963,28.88
MR.TR,1964,28.62
MR.TR,1965,28.03
MR.TR,1966,28.86
MR.TR,1967,28.0
MR.TR,1968,28.2
MR.TR,1969,29.34
MR.TR,1970,29.18
MR.TR,1971,27.94
MR.TR,1972,28.27
MR.TR,1973,28.74
MR.TR,1974,27.7
MR.TR,1975,28.01
MR.TR,1976,27.89
MR.TR,1977,28.87
MR.TR,1978,28.61
MR.TR,1979,29.14
MR.TR,1980,28.55
MR.TR,1981,28.88
MR.TR,1982,28.21
MR.TR,1983,29.49
MR.TR,1984,28.63
MR.TR,1985,28.41
MR.TR,1986,28.26
MR.TR,1987,29.54
MR.TR,1988,28.7
MR.TR,1989,28.67
MR.TR,1990,29.18
MR.TR,1991,28.78
MR.TR,1992,28.74
MR.TR,1993,28.79
MR.TR,1994,28.44
MR.TR,1995,28.84
MR.TR,1996,29.21
MR.TR,1997,29.42
MR.TR,1998,29.72
MR.TR,1999,28.61
MR.TR,2000,28.96
MR.TR,2001,29.54
MR.TR,2002,29.32
MR.TR,2003,29.22
MR.TR,2004,29.32
MR.TR,2005,29.55
MR.TR,2006,29.29
MR.TR,2007,29.27
MR.TR,2008,29.42
MR.TR,2009,29.05
MR.TR,2010,29.93
MR.TR,2011,29.21
MR.TR,2012,29.14
MR.TR,2013,29.56
MR.TR,2014,29.26
MR.TR,2015,29.59
MR.TR,2016,29.6
MR.TR,2017,29.67
MR.TR,2018,28.93
MR.TR,2019,29.08
MR.TR,2020,29.86
MR.TR,2021,29.82
MR.TR,2022,29.38
