Geography,Year,Count
MR.TZ,1901,25.91
MR.TZ,1902,25.86
MR.TZ,1903,25.65
MR.TZ,1904,25.63
MR.TZ,1905,25.7
MR.TZ,1906,25.67
MR.TZ,1907,25.46
MR.TZ,1908,25.7
MR.TZ,1909,25.82
MR.TZ,1910,25.71
MR.TZ,1911,25.6
MR.TZ,1912,25.73
MR.TZ,1913,25.68
MR.TZ,1914,25.48
MR.TZ,1915,25.69
MR.TZ,1916,25.52
MR.TZ,1917,25.48
MR.TZ,1918,25.32
MR.TZ,1919,25.8
MR.TZ,1920,25.28
MR.TZ,1921,25.35
MR.TZ,1922,25.49
MR.TZ,1923,25.74
MR.TZ,1924,25.7
MR.TZ,1925,25.45
MR.TZ,1926,26.32
MR.TZ,1927,25.93
MR.TZ,1928,25.76
MR.TZ,1929,25.57
MR.TZ,1930,25.79
MR.TZ,1931,25.89
MR.TZ,1932,25.56
MR.TZ,1933,25.66
MR.TZ,1934,25.75
MR.TZ,1935,26.12
MR.TZ,1936,25.95
MR.TZ,1937,26.34
MR.TZ,1938,25.94
MR.TZ,1939,25.68
MR.TZ,1940,26.06
MR.TZ,1941,25.92
MR.TZ,1942,25.71
MR.TZ,1943,25.64
MR.TZ,1944,25.81
MR.TZ,1945,26.27
MR.TZ,1946,25.69
MR.TZ,1947,26.19
MR.TZ,1948,25.97
MR.TZ,1949,25.9
MR.TZ,1950,25.82
MR.TZ,1951,25.32
MR.TZ,1952,25.44
MR.TZ,1953,25.74
MR.TZ,1954,25.36
MR.TZ,1955,26.22
MR.TZ,1956,25.1
MR.TZ,1957,25.25
MR.TZ,1958,25.9
MR.TZ,1959,25.59
MR.TZ,1960,25.61
MR.TZ,1961,26.2
MR.TZ,1962,25.92
MR.TZ,1963,25.7
MR.TZ,1964,26.02
MR.TZ,1965,25.51
MR.TZ,1966,25.91
MR.TZ,1967,25.42
MR.TZ,1968,25.41
MR.TZ,1969,25.85
MR.TZ,1970,26.06
MR.TZ,1971,25.06
MR.TZ,1972,24.93
MR.TZ,1973,25.7
MR.TZ,1974,25.19
MR.TZ,1975,25.42
MR.TZ,1976,25.14
MR.TZ,1977,25.84
MR.TZ,1978,26.01
MR.TZ,1979,26.01
MR.TZ,1980,25.83
MR.TZ,1981,26.02
MR.TZ,1982,25.6
MR.TZ,1983,26.61
MR.TZ,1984,25.72
MR.TZ,1985,25.89
MR.TZ,1986,25.54
MR.TZ,1987,26.88
MR.TZ,1988,25.97
MR.TZ,1989,26.08
MR.TZ,1990,26.34
MR.TZ,1991,25.78
MR.TZ,1992,25.8
MR.TZ,1993,25.7
MR.TZ,1994,25.88
MR.TZ,1995,26.39
MR.TZ,1996,26.2
MR.TZ,1997,26.56
MR.TZ,1998,26.73
MR.TZ,1999,26.23
MR.TZ,2000,26.23
MR.TZ,2001,26.9
MR.TZ,2002,26.61
MR.TZ,2003,26.58
MR.TZ,2004,26.37
MR.TZ,2005,26.77
MR.TZ,2006,26.61
MR.TZ,2007,26.5
MR.TZ,2008,26.52
MR.TZ,2009,26.64
MR.TZ,2010,27.15
MR.TZ,2011,26.53
MR.TZ,2012,26.45
MR.TZ,2013,26.78
MR.TZ,2014,26.53
MR.TZ,2015,26.59
MR.TZ,2016,26.62
MR.TZ,2017,26.75
MR.TZ,2018,25.92
MR.TZ,2019,26.35
MR.TZ,2020,26.63
MR.TZ,2021,26.54
MR.TZ,2022,26.72
