Year,Geography,Count
1901,MR,27.94
1902,MR,28.32
1903,MR,28.08
1904,MR,28.06
1905,MR,28.02
1906,MR,27.99
1907,MR,27.58
1908,MR,28.27
1909,MR,28.2
1910,MR,28.1
1911,MR,27.89
1912,MR,28.2
1913,MR,28.12
1914,MR,27.97
1915,MR,27.97
1916,MR,27.57
1917,MR,27.55
1918,MR,27.61
1919,MR,28.4
1920,MR,27.82
1921,MR,27.95
1922,MR,27.66
1923,MR,28.04
1924,MR,28.0
1925,MR,27.91
1926,MR,28.39
1927,MR,27.95
1928,MR,27.77
1929,MR,27.59
1930,MR,27.72
1931,MR,28.24
1932,MR,27.92
1933,MR,27.87
1934,MR,28.11
1935,MR,28.54
1936,MR,28.42
1937,MR,28.54
1938,MR,28.44
1939,MR,28.27
1940,MR,28.24
1941,MR,28.34
1942,MR,28.08
1943,MR,28.0
1944,MR,28.32
1945,MR,28.61
1946,MR,28.1
1947,MR,28.48
1948,MR,28.18
1949,MR,28.28
1950,MR,28.05
1951,MR,27.84
1952,MR,27.64
1953,MR,28.07
1954,MR,27.74
1955,MR,28.28
1956,MR,27.67
1957,MR,27.7
1958,MR,28.26
1959,MR,28.01
1960,MR,27.92
1961,MR,28.25
1962,MR,28.09
1963,MR,28.1
1964,MR,28.14
1965,MR,27.67
1966,MR,28.24
1967,MR,27.62
1968,MR,27.86
1969,MR,28.54
1970,MR,28.54
1971,MR,27.73
1972,MR,27.79
1973,MR,28.27
1974,MR,27.53
1975,MR,27.69
1976,MR,27.45
1977,MR,28.44
1978,MR,28.34
1979,MR,28.62
1980,MR,28.48
1981,MR,28.45
1982,MR,27.98
1983,MR,29.15
1984,MR,28.32
1985,MR,28.23
1986,MR,27.93
1987,MR,29.26
1988,MR,28.32
1989,MR,28.38
1990,MR,28.76
1991,MR,28.44
1992,MR,28.3
1993,MR,28.46
1994,MR,28.11
1995,MR,28.55
1996,MR,28.73
1997,MR,28.89
1998,MR,29.15
1999,MR,28.36
2000,MR,28.6
2001,MR,29.12
2002,MR,29.01
2003,MR,28.89
2004,MR,28.87
2005,MR,29.15
2006,MR,28.92
2007,MR,28.92
2008,MR,28.83
2009,MR,28.83
2010,MR,29.48
2011,MR,28.94
2012,MR,28.64
2013,MR,29.1
2014,MR,28.8
2015,MR,29.05
2016,MR,29.12
2017,MR,29.1
2018,MR,28.61
2019,MR,28.67
2020,MR,29.11
2021,MR,29.3
2022,MR,28.9
