Geography,Year,Count
NG.AD,1901,26.33
NG.AD,1902,26.58
NG.AD,1903,26.6
NG.AD,1904,26.55
NG.AD,1905,26.62
NG.AD,1906,26.61
NG.AD,1907,26.62
NG.AD,1908,26.55
NG.AD,1909,26.64
NG.AD,1910,26.49
NG.AD,1911,26.61
NG.AD,1912,26.52
NG.AD,1913,26.55
NG.AD,1914,26.62
NG.AD,1915,26.59
NG.AD,1916,26.59
NG.AD,1917,26.59
NG.AD,1918,26.59
NG.AD,1919,26.59
NG.AD,1920,26.59
NG.AD,1921,26.59
NG.AD,1922,26.59
NG.AD,1923,27.11
NG.AD,1924,26.89
NG.AD,1925,26.16
NG.AD,1926,27.1
NG.AD,1927,27.2
NG.AD,1928,26.59
NG.AD,1929,26.15
NG.AD,1930,27.23
NG.AD,1931,27.81
NG.AD,1932,27.32
NG.AD,1933,26.82
NG.AD,1934,27.18
NG.AD,1935,27.42
NG.AD,1936,26.97
NG.AD,1937,27.21
NG.AD,1938,27.89
NG.AD,1939,27.48
NG.AD,1940,26.59
NG.AD,1941,27.54
NG.AD,1942,27.26
NG.AD,1943,26.76
NG.AD,1944,26.75
NG.AD,1945,26.55
NG.AD,1946,26.69
NG.AD,1947,26.81
NG.AD,1948,26.36
NG.AD,1949,26.77
NG.AD,1950,26.46
NG.AD,1951,26.62
NG.AD,1952,26.61
NG.AD,1953,26.48
NG.AD,1954,26.67
NG.AD,1955,26.41
NG.AD,1956,26.49
NG.AD,1957,26.66
NG.AD,1958,26.96
NG.AD,1959,26.64
NG.AD,1960,26.79
NG.AD,1961,26.14
NG.AD,1962,26.56
NG.AD,1963,26.9
NG.AD,1964,26.47
NG.AD,1965,26.51
NG.AD,1966,26.62
NG.AD,1967,26.23
NG.AD,1968,26.56
NG.AD,1969,27.11
NG.AD,1970,26.79
NG.AD,1971,26.21
NG.AD,1972,26.65
NG.AD,1973,27.02
NG.AD,1974,26.16
NG.AD,1975,26.17
NG.AD,1976,26.36
NG.AD,1977,26.33
NG.AD,1978,26.46
NG.AD,1979,26.77
NG.AD,1980,26.78
NG.AD,1981,26.37
NG.AD,1982,26.65
NG.AD,1983,26.7
NG.AD,1984,26.76
NG.AD,1985,26.57
NG.AD,1986,26.77
NG.AD,1987,27.11
NG.AD,1988,26.72
NG.AD,1989,26.18
NG.AD,1990,27.24
NG.AD,1991,26.91
NG.AD,1992,26.38
NG.AD,1993,26.87
NG.AD,1994,26.63
NG.AD,1995,26.9
NG.AD,1996,26.9
NG.AD,1997,27.08
NG.AD,1998,27.37
NG.AD,1999,26.92
NG.AD,2000,26.61
NG.AD,2001,26.78
NG.AD,2002,27.02
NG.AD,2003,27.09
NG.AD,2004,27.19
NG.AD,2005,27.23
NG.AD,2006,27.17
NG.AD,2007,27.21
NG.AD,2008,26.81
NG.AD,2009,27.51
NG.AD,2010,27.62
NG.AD,2011,27.25
NG.AD,2012,27.06
NG.AD,2013,27.21
NG.AD,2014,27.27
NG.AD,2015,27.07
NG.AD,2016,27.43
NG.AD,2017,27.04
NG.AD,2018,26.97
NG.AD,2019,26.9
NG.AD,2020,27.14
NG.AD,2021,27.29
NG.AD,2022,26.84
