Geography,Year,Count
NG.AK,1901,25.64
NG.AK,1902,25.91
NG.AK,1903,26.03
NG.AK,1904,25.78
NG.AK,1905,26.13
NG.AK,1906,26.1
NG.AK,1907,26.13
NG.AK,1908,25.78
NG.AK,1909,26.25
NG.AK,1910,25.69
NG.AK,1911,26.08
NG.AK,1912,26.12
NG.AK,1913,25.79
NG.AK,1914,26.18
NG.AK,1915,26.01
NG.AK,1916,26.01
NG.AK,1917,26.01
NG.AK,1918,26.01
NG.AK,1919,26.01
NG.AK,1920,26.01
NG.AK,1921,26.01
NG.AK,1922,26.01
NG.AK,1923,26.0
NG.AK,1924,25.96
NG.AK,1925,25.82
NG.AK,1926,26.03
NG.AK,1927,25.97
NG.AK,1928,25.88
NG.AK,1929,25.77
NG.AK,1930,26.13
NG.AK,1931,26.21
NG.AK,1932,26.23
NG.AK,1933,26.14
NG.AK,1934,26.08
NG.AK,1935,26.08
NG.AK,1936,25.96
NG.AK,1937,26.13
NG.AK,1938,26.26
NG.AK,1939,26.17
NG.AK,1940,26.01
NG.AK,1941,26.59
NG.AK,1942,26.4
NG.AK,1943,25.97
NG.AK,1944,26.27
NG.AK,1945,26.24
NG.AK,1946,26.09
NG.AK,1947,26.34
NG.AK,1948,25.99
NG.AK,1949,26.38
NG.AK,1950,26.23
NG.AK,1951,26.4
NG.AK,1952,26.18
NG.AK,1953,26.07
NG.AK,1954,25.72
NG.AK,1955,25.83
NG.AK,1956,25.67
NG.AK,1957,26.03
NG.AK,1958,26.01
NG.AK,1959,26.09
NG.AK,1960,26.09
NG.AK,1961,25.92
NG.AK,1962,25.93
NG.AK,1963,26.34
NG.AK,1964,25.94
NG.AK,1965,25.91
NG.AK,1966,26.26
NG.AK,1967,26.01
NG.AK,1968,26.03
NG.AK,1969,26.25
NG.AK,1970,26.17
NG.AK,1971,25.73
NG.AK,1972,25.87
NG.AK,1973,26.22
NG.AK,1974,25.69
NG.AK,1975,25.57
NG.AK,1976,25.46
NG.AK,1977,26.03
NG.AK,1978,25.91
NG.AK,1979,26.07
NG.AK,1980,26.09
NG.AK,1981,26.11
NG.AK,1982,25.91
NG.AK,1983,26.23
NG.AK,1984,26.22
NG.AK,1985,25.92
NG.AK,1986,25.77
NG.AK,1987,26.4
NG.AK,1988,26.04
NG.AK,1989,25.95
NG.AK,1990,25.98
NG.AK,1991,25.91
NG.AK,1992,25.87
NG.AK,1993,25.95
NG.AK,1994,25.93
NG.AK,1995,26.12
NG.AK,1996,26.02
NG.AK,1997,25.91
NG.AK,1998,26.52
NG.AK,1999,26.1
NG.AK,2000,26.28
NG.AK,2001,26.26
NG.AK,2002,26.36
NG.AK,2003,26.48
NG.AK,2004,26.34
NG.AK,2005,26.46
NG.AK,2006,26.45
NG.AK,2007,26.45
NG.AK,2008,26.27
NG.AK,2009,26.44
NG.AK,2010,26.65
NG.AK,2011,26.31
NG.AK,2012,26.24
NG.AK,2013,26.37
NG.AK,2014,26.5
NG.AK,2015,26.57
NG.AK,2016,26.73
NG.AK,2017,26.66
NG.AK,2018,26.65
NG.AK,2019,26.52
NG.AK,2020,26.69
NG.AK,2021,26.82
NG.AK,2022,26.48
