Geography,Year,Count
NG.BA,1901,25.96
NG.BA,1902,26.17
NG.BA,1903,26.18
NG.BA,1904,26.17
NG.BA,1905,26.07
NG.BA,1906,26.33
NG.BA,1907,26.18
NG.BA,1908,26.17
NG.BA,1909,26.1
NG.BA,1910,26.2
NG.BA,1911,26.16
NG.BA,1912,26.17
NG.BA,1913,26.34
NG.BA,1914,26.46
NG.BA,1915,26.18
NG.BA,1916,26.17
NG.BA,1917,26.18
NG.BA,1918,26.18
NG.BA,1919,26.18
NG.BA,1920,26.17
NG.BA,1921,26.18
NG.BA,1922,26.18
NG.BA,1923,26.58
NG.BA,1924,26.38
NG.BA,1925,25.52
NG.BA,1926,26.57
NG.BA,1927,26.66
NG.BA,1928,26.14
NG.BA,1929,25.74
NG.BA,1930,27.15
NG.BA,1931,27.54
NG.BA,1932,26.81
NG.BA,1933,26.44
NG.BA,1934,26.89
NG.BA,1935,27.07
NG.BA,1936,26.48
NG.BA,1937,27.1
NG.BA,1938,27.76
NG.BA,1939,27.19
NG.BA,1940,26.17
NG.BA,1941,27.51
NG.BA,1942,27.0
NG.BA,1943,26.29
NG.BA,1944,26.25
NG.BA,1945,25.72
NG.BA,1946,26.0
NG.BA,1947,26.24
NG.BA,1948,25.58
NG.BA,1949,26.33
NG.BA,1950,25.67
NG.BA,1951,25.97
NG.BA,1952,25.83
NG.BA,1953,25.74
NG.BA,1954,25.98
NG.BA,1955,25.77
NG.BA,1956,25.86
NG.BA,1957,25.85
NG.BA,1958,26.23
NG.BA,1959,25.89
NG.BA,1960,26.18
NG.BA,1961,25.22
NG.BA,1962,25.97
NG.BA,1963,26.29
NG.BA,1964,25.95
NG.BA,1965,25.7
NG.BA,1966,26.03
NG.BA,1967,25.78
NG.BA,1968,26.02
NG.BA,1969,26.74
NG.BA,1970,26.08
NG.BA,1971,25.92
NG.BA,1972,26.42
NG.BA,1973,26.77
NG.BA,1974,25.75
NG.BA,1975,25.74
NG.BA,1976,26.05
NG.BA,1977,25.72
NG.BA,1978,26.05
NG.BA,1979,26.34
NG.BA,1980,26.35
NG.BA,1981,26.05
NG.BA,1982,26.32
NG.BA,1983,26.24
NG.BA,1984,26.63
NG.BA,1985,26.29
NG.BA,1986,26.47
NG.BA,1987,26.8
NG.BA,1988,26.23
NG.BA,1989,25.59
NG.BA,1990,26.81
NG.BA,1991,26.5
NG.BA,1992,25.87
NG.BA,1993,26.48
NG.BA,1994,26.1
NG.BA,1995,26.52
NG.BA,1996,26.64
NG.BA,1997,26.7
NG.BA,1998,26.92
NG.BA,1999,26.69
NG.BA,2000,26.15
NG.BA,2001,26.42
NG.BA,2002,26.69
NG.BA,2003,26.74
NG.BA,2004,26.87
NG.BA,2005,26.9
NG.BA,2006,26.93
NG.BA,2007,26.9
NG.BA,2008,26.43
NG.BA,2009,27.38
NG.BA,2010,27.44
NG.BA,2011,26.99
NG.BA,2012,26.73
NG.BA,2013,26.98
NG.BA,2014,27.05
NG.BA,2015,26.66
NG.BA,2016,27.17
NG.BA,2017,26.73
NG.BA,2018,26.65
NG.BA,2019,26.54
NG.BA,2020,26.59
NG.BA,2021,26.86
NG.BA,2022,26.35
