Geography,Year,Count
NG.CR,1901,25.7
NG.CR,1902,25.98
NG.CR,1903,26.08
NG.CR,1904,25.86
NG.CR,1905,26.15
NG.CR,1906,26.16
NG.CR,1907,26.18
NG.CR,1908,25.87
NG.CR,1909,26.27
NG.CR,1910,25.79
NG.CR,1911,26.13
NG.CR,1912,26.16
NG.CR,1913,25.9
NG.CR,1914,26.24
NG.CR,1915,26.06
NG.CR,1916,26.07
NG.CR,1917,26.06
NG.CR,1918,26.06
NG.CR,1919,26.06
NG.CR,1920,26.07
NG.CR,1921,26.06
NG.CR,1922,26.06
NG.CR,1923,26.12
NG.CR,1924,26.05
NG.CR,1925,25.83
NG.CR,1926,26.16
NG.CR,1927,26.12
NG.CR,1928,25.92
NG.CR,1929,25.73
NG.CR,1930,26.25
NG.CR,1931,26.49
NG.CR,1932,26.38
NG.CR,1933,26.23
NG.CR,1934,26.28
NG.CR,1935,26.35
NG.CR,1936,26.08
NG.CR,1937,26.34
NG.CR,1938,26.6
NG.CR,1939,26.41
NG.CR,1940,26.07
NG.CR,1941,26.62
NG.CR,1942,26.43
NG.CR,1943,26.08
NG.CR,1944,26.26
NG.CR,1945,26.19
NG.CR,1946,26.13
NG.CR,1947,26.31
NG.CR,1948,26.0
NG.CR,1949,26.35
NG.CR,1950,26.2
NG.CR,1951,26.41
NG.CR,1952,26.22
NG.CR,1953,26.13
NG.CR,1954,25.82
NG.CR,1955,25.87
NG.CR,1956,25.77
NG.CR,1957,26.1
NG.CR,1958,26.09
NG.CR,1959,26.15
NG.CR,1960,26.16
NG.CR,1961,25.98
NG.CR,1962,26.01
NG.CR,1963,26.4
NG.CR,1964,25.99
NG.CR,1965,25.96
NG.CR,1966,26.29
NG.CR,1967,26.06
NG.CR,1968,26.1
NG.CR,1969,26.32
NG.CR,1970,26.23
NG.CR,1971,25.75
NG.CR,1972,25.95
NG.CR,1973,26.29
NG.CR,1974,25.72
NG.CR,1975,25.65
NG.CR,1976,25.51
NG.CR,1977,26.07
NG.CR,1978,25.95
NG.CR,1979,26.13
NG.CR,1980,26.14
NG.CR,1981,26.15
NG.CR,1982,25.96
NG.CR,1983,26.28
NG.CR,1984,26.25
NG.CR,1985,26.01
NG.CR,1986,25.86
NG.CR,1987,26.48
NG.CR,1988,26.1
NG.CR,1989,25.99
NG.CR,1990,26.1
NG.CR,1991,25.97
NG.CR,1992,25.92
NG.CR,1993,26.04
NG.CR,1994,25.96
NG.CR,1995,26.17
NG.CR,1996,26.11
NG.CR,1997,25.99
NG.CR,1998,26.59
NG.CR,1999,26.15
NG.CR,2000,26.25
NG.CR,2001,26.26
NG.CR,2002,26.36
NG.CR,2003,26.49
NG.CR,2004,26.4
NG.CR,2005,26.52
NG.CR,2006,26.47
NG.CR,2007,26.48
NG.CR,2008,26.28
NG.CR,2009,26.5
NG.CR,2010,26.67
NG.CR,2011,26.38
NG.CR,2012,26.29
NG.CR,2013,26.46
NG.CR,2014,26.58
NG.CR,2015,26.6
NG.CR,2016,26.75
NG.CR,2017,26.67
NG.CR,2018,26.63
NG.CR,2019,26.52
NG.CR,2020,26.66
NG.CR,2021,26.81
NG.CR,2022,26.46
