Geography,Year,Count
NG.EK,1901,25.45
NG.EK,1902,25.72
NG.EK,1903,25.75
NG.EK,1904,25.68
NG.EK,1905,25.65
NG.EK,1906,26.03
NG.EK,1907,25.74
NG.EK,1908,25.71
NG.EK,1909,25.61
NG.EK,1910,25.74
NG.EK,1911,25.73
NG.EK,1912,25.84
NG.EK,1913,25.97
NG.EK,1914,26.25
NG.EK,1915,25.74
NG.EK,1916,25.75
NG.EK,1917,25.74
NG.EK,1918,25.74
NG.EK,1919,25.74
NG.EK,1920,25.77
NG.EK,1921,25.74
NG.EK,1922,25.75
NG.EK,1923,25.72
NG.EK,1924,25.71
NG.EK,1925,25.13
NG.EK,1926,25.84
NG.EK,1927,25.53
NG.EK,1928,25.33
NG.EK,1929,25.06
NG.EK,1930,26.16
NG.EK,1931,26.22
NG.EK,1932,26.26
NG.EK,1933,26.09
NG.EK,1934,26.26
NG.EK,1935,26.25
NG.EK,1936,25.63
NG.EK,1937,26.38
NG.EK,1938,26.6
NG.EK,1939,26.16
NG.EK,1940,25.79
NG.EK,1941,26.64
NG.EK,1942,26.34
NG.EK,1943,25.85
NG.EK,1944,25.99
NG.EK,1945,25.55
NG.EK,1946,25.66
NG.EK,1947,25.97
NG.EK,1948,25.39
NG.EK,1949,26.09
NG.EK,1950,25.48
NG.EK,1951,26.08
NG.EK,1952,25.83
NG.EK,1953,25.6
NG.EK,1954,25.3
NG.EK,1955,25.3
NG.EK,1956,25.32
NG.EK,1957,25.52
NG.EK,1958,25.71
NG.EK,1959,25.72
NG.EK,1960,25.62
NG.EK,1961,25.5
NG.EK,1962,25.5
NG.EK,1963,25.87
NG.EK,1964,25.4
NG.EK,1965,25.54
NG.EK,1966,25.77
NG.EK,1967,25.44
NG.EK,1968,25.71
NG.EK,1969,26.02
NG.EK,1970,25.83
NG.EK,1971,25.0
NG.EK,1972,25.28
NG.EK,1973,25.73
NG.EK,1974,25.02
NG.EK,1975,24.83
NG.EK,1976,24.95
NG.EK,1977,25.58
NG.EK,1978,25.3
NG.EK,1979,25.62
NG.EK,1980,25.61
NG.EK,1981,26.14
NG.EK,1982,26.03
NG.EK,1983,26.38
NG.EK,1984,26.24
NG.EK,1985,26.1
NG.EK,1986,25.94
NG.EK,1987,26.11
NG.EK,1988,25.61
NG.EK,1989,25.28
NG.EK,1990,25.75
NG.EK,1991,25.6
NG.EK,1992,25.52
NG.EK,1993,25.59
NG.EK,1994,25.54
NG.EK,1995,25.7
NG.EK,1996,25.75
NG.EK,1997,25.68
NG.EK,1998,26.27
NG.EK,1999,25.73
NG.EK,2000,25.98
NG.EK,2001,26.09
NG.EK,2002,26.13
NG.EK,2003,26.29
NG.EK,2004,26.11
NG.EK,2005,26.34
NG.EK,2006,26.26
NG.EK,2007,26.21
NG.EK,2008,26.0
NG.EK,2009,26.35
NG.EK,2010,26.62
NG.EK,2011,26.23
NG.EK,2012,26.03
NG.EK,2013,26.23
NG.EK,2014,26.44
NG.EK,2015,26.35
NG.EK,2016,26.65
NG.EK,2017,26.46
NG.EK,2018,26.44
NG.EK,2019,26.28
NG.EK,2020,26.55
NG.EK,2021,26.72
NG.EK,2022,26.24
