Geography,Year,Count
NG.EN,1901,26.16
NG.EN,1902,26.46
NG.EN,1903,26.54
NG.EN,1904,26.37
NG.EN,1905,26.53
NG.EN,1906,26.65
NG.EN,1907,26.57
NG.EN,1908,26.4
NG.EN,1909,26.61
NG.EN,1910,26.34
NG.EN,1911,26.56
NG.EN,1912,26.6
NG.EN,1913,26.49
NG.EN,1914,26.77
NG.EN,1915,26.52
NG.EN,1916,26.52
NG.EN,1917,26.52
NG.EN,1918,26.52
NG.EN,1919,26.52
NG.EN,1920,26.53
NG.EN,1921,26.52
NG.EN,1922,26.52
NG.EN,1923,26.55
NG.EN,1924,26.48
NG.EN,1925,26.15
NG.EN,1926,26.59
NG.EN,1927,26.48
NG.EN,1928,26.29
NG.EN,1929,26.06
NG.EN,1930,26.81
NG.EN,1931,26.96
NG.EN,1932,26.9
NG.EN,1933,26.75
NG.EN,1934,26.82
NG.EN,1935,26.86
NG.EN,1936,26.48
NG.EN,1937,26.93
NG.EN,1938,27.16
NG.EN,1939,26.88
NG.EN,1940,26.53
NG.EN,1941,27.15
NG.EN,1942,26.92
NG.EN,1943,26.58
NG.EN,1944,26.72
NG.EN,1945,26.52
NG.EN,1946,26.53
NG.EN,1947,26.71
NG.EN,1948,26.37
NG.EN,1949,26.77
NG.EN,1950,26.55
NG.EN,1951,26.76
NG.EN,1952,26.54
NG.EN,1953,26.4
NG.EN,1954,26.11
NG.EN,1955,26.18
NG.EN,1956,26.13
NG.EN,1957,26.4
NG.EN,1958,26.47
NG.EN,1959,26.5
NG.EN,1960,26.52
NG.EN,1961,26.4
NG.EN,1962,26.37
NG.EN,1963,26.77
NG.EN,1964,26.35
NG.EN,1965,26.36
NG.EN,1966,26.64
NG.EN,1967,26.36
NG.EN,1968,26.51
NG.EN,1969,26.79
NG.EN,1970,26.69
NG.EN,1971,26.03
NG.EN,1972,26.32
NG.EN,1973,26.64
NG.EN,1974,26.01
NG.EN,1975,25.92
NG.EN,1976,25.89
NG.EN,1977,26.48
NG.EN,1978,26.24
NG.EN,1979,26.52
NG.EN,1980,26.55
NG.EN,1981,26.72
NG.EN,1982,26.6
NG.EN,1983,26.84
NG.EN,1984,26.79
NG.EN,1985,26.64
NG.EN,1986,26.46
NG.EN,1987,26.89
NG.EN,1988,26.49
NG.EN,1989,26.26
NG.EN,1990,26.53
NG.EN,1991,26.37
NG.EN,1992,26.35
NG.EN,1993,26.41
NG.EN,1994,26.38
NG.EN,1995,26.6
NG.EN,1996,26.59
NG.EN,1997,26.45
NG.EN,1998,27.02
NG.EN,1999,26.52
NG.EN,2000,26.7
NG.EN,2001,26.78
NG.EN,2002,26.84
NG.EN,2003,26.97
NG.EN,2004,26.83
NG.EN,2005,26.99
NG.EN,2006,26.94
NG.EN,2007,26.94
NG.EN,2008,26.8
NG.EN,2009,26.99
NG.EN,2010,27.23
NG.EN,2011,26.87
NG.EN,2012,26.75
NG.EN,2013,26.95
NG.EN,2014,27.07
NG.EN,2015,27.03
NG.EN,2016,27.36
NG.EN,2017,27.16
NG.EN,2018,27.11
NG.EN,2019,27.01
NG.EN,2020,27.18
NG.EN,2021,27.33
NG.EN,2022,26.95
