Geography,Year,Count
NG.FC,1901,26.56
NG.FC,1902,26.85
NG.FC,1903,26.88
NG.FC,1904,26.82
NG.FC,1905,26.76
NG.FC,1906,27.16
NG.FC,1907,26.87
NG.FC,1908,26.84
NG.FC,1909,26.76
NG.FC,1910,26.86
NG.FC,1911,26.85
NG.FC,1912,26.94
NG.FC,1913,27.11
NG.FC,1914,27.37
NG.FC,1915,26.86
NG.FC,1916,26.87
NG.FC,1917,26.86
NG.FC,1918,26.86
NG.FC,1919,26.86
NG.FC,1920,26.88
NG.FC,1921,26.86
NG.FC,1922,26.86
NG.FC,1923,26.97
NG.FC,1924,26.89
NG.FC,1925,26.29
NG.FC,1926,27.02
NG.FC,1927,26.89
NG.FC,1928,26.6
NG.FC,1929,26.28
NG.FC,1930,27.45
NG.FC,1931,27.67
NG.FC,1932,27.37
NG.FC,1933,27.16
NG.FC,1934,27.46
NG.FC,1935,27.54
NG.FC,1936,26.92
NG.FC,1937,27.69
NG.FC,1938,28.08
NG.FC,1939,27.55
NG.FC,1940,26.88
NG.FC,1941,27.92
NG.FC,1942,27.53
NG.FC,1943,26.99
NG.FC,1944,27.02
NG.FC,1945,26.56
NG.FC,1946,26.74
NG.FC,1947,27.02
NG.FC,1948,26.44
NG.FC,1949,27.14
NG.FC,1950,26.51
NG.FC,1951,26.94
NG.FC,1952,26.75
NG.FC,1953,26.67
NG.FC,1954,26.62
NG.FC,1955,26.54
NG.FC,1956,26.63
NG.FC,1957,26.7
NG.FC,1958,26.98
NG.FC,1959,26.86
NG.FC,1960,26.96
NG.FC,1961,26.51
NG.FC,1962,26.76
NG.FC,1963,27.05
NG.FC,1964,26.74
NG.FC,1965,26.64
NG.FC,1966,26.82
NG.FC,1967,26.58
NG.FC,1968,26.82
NG.FC,1969,27.22
NG.FC,1970,26.95
NG.FC,1971,26.45
NG.FC,1972,26.75
NG.FC,1973,27.1
NG.FC,1974,26.33
NG.FC,1975,26.2
NG.FC,1976,26.37
NG.FC,1977,26.63
NG.FC,1978,26.49
NG.FC,1979,26.76
NG.FC,1980,26.76
NG.FC,1981,26.98
NG.FC,1982,27.03
NG.FC,1983,27.16
NG.FC,1984,27.2
NG.FC,1985,27.06
NG.FC,1986,27.0
NG.FC,1987,27.3
NG.FC,1988,26.82
NG.FC,1989,26.41
NG.FC,1990,27.08
NG.FC,1991,26.85
NG.FC,1992,26.62
NG.FC,1993,26.88
NG.FC,1994,26.72
NG.FC,1995,26.95
NG.FC,1996,27.04
NG.FC,1997,27.0
NG.FC,1998,27.4
NG.FC,1999,26.95
NG.FC,2000,26.91
NG.FC,2001,27.08
NG.FC,2002,27.17
NG.FC,2003,27.31
NG.FC,2004,27.25
NG.FC,2005,27.35
NG.FC,2006,27.38
NG.FC,2007,27.32
NG.FC,2008,27.04
NG.FC,2009,27.6
NG.FC,2010,27.71
NG.FC,2011,27.33
NG.FC,2012,27.21
NG.FC,2013,27.38
NG.FC,2014,27.5
NG.FC,2015,27.32
NG.FC,2016,27.76
NG.FC,2017,27.44
NG.FC,2018,27.38
NG.FC,2019,27.26
NG.FC,2020,27.39
NG.FC,2021,27.62
NG.FC,2022,27.14
