Geography,Year,Count
NG.KD,1901,25.15
NG.KD,1902,25.38
NG.KD,1903,25.38
NG.KD,1904,25.37
NG.KD,1905,25.13
NG.KD,1906,25.73
NG.KD,1907,25.38
NG.KD,1908,25.38
NG.KD,1909,25.2
NG.KD,1910,25.51
NG.KD,1911,25.35
NG.KD,1912,25.46
NG.KD,1913,25.78
NG.KD,1914,26.01
NG.KD,1915,25.38
NG.KD,1916,25.38
NG.KD,1917,25.38
NG.KD,1918,25.38
NG.KD,1919,25.38
NG.KD,1920,25.38
NG.KD,1921,25.38
NG.KD,1922,25.38
NG.KD,1923,25.57
NG.KD,1924,25.45
NG.KD,1925,24.7
NG.KD,1926,25.61
NG.KD,1927,25.53
NG.KD,1928,25.17
NG.KD,1929,24.82
NG.KD,1930,26.16
NG.KD,1931,26.43
NG.KD,1932,25.94
NG.KD,1933,25.68
NG.KD,1934,26.09
NG.KD,1935,26.2
NG.KD,1936,25.51
NG.KD,1937,26.36
NG.KD,1938,26.84
NG.KD,1939,26.24
NG.KD,1940,25.38
NG.KD,1941,26.61
NG.KD,1942,26.14
NG.KD,1943,25.51
NG.KD,1944,25.51
NG.KD,1945,24.97
NG.KD,1946,25.21
NG.KD,1947,25.5
NG.KD,1948,24.86
NG.KD,1949,25.65
NG.KD,1950,24.85
NG.KD,1951,25.23
NG.KD,1952,25.07
NG.KD,1953,24.99
NG.KD,1954,25.14
NG.KD,1955,24.97
NG.KD,1956,25.13
NG.KD,1957,25.08
NG.KD,1958,25.49
NG.KD,1959,25.26
NG.KD,1960,25.42
NG.KD,1961,24.61
NG.KD,1962,25.21
NG.KD,1963,25.54
NG.KD,1964,25.19
NG.KD,1965,25.04
NG.KD,1966,25.22
NG.KD,1967,25.04
NG.KD,1968,25.31
NG.KD,1969,25.9
NG.KD,1970,25.41
NG.KD,1971,25.03
NG.KD,1972,25.42
NG.KD,1973,25.77
NG.KD,1974,24.81
NG.KD,1975,24.75
NG.KD,1976,24.99
NG.KD,1977,24.94
NG.KD,1978,25.03
NG.KD,1979,25.34
NG.KD,1980,25.41
NG.KD,1981,25.4
NG.KD,1982,25.56
NG.KD,1983,25.65
NG.KD,1984,25.8
NG.KD,1985,25.57
NG.KD,1986,25.64
NG.KD,1987,25.97
NG.KD,1988,25.35
NG.KD,1989,24.76
NG.KD,1990,25.79
NG.KD,1991,25.5
NG.KD,1992,25.07
NG.KD,1993,25.54
NG.KD,1994,25.24
NG.KD,1995,25.57
NG.KD,1996,25.75
NG.KD,1997,25.73
NG.KD,1998,26.02
NG.KD,1999,25.7
NG.KD,2000,25.33
NG.KD,2001,25.6
NG.KD,2002,25.8
NG.KD,2003,25.9
NG.KD,2004,25.95
NG.KD,2005,26.07
NG.KD,2006,26.06
NG.KD,2007,26.0
NG.KD,2008,25.6
NG.KD,2009,26.41
NG.KD,2010,26.45
NG.KD,2011,26.05
NG.KD,2012,25.88
NG.KD,2013,26.13
NG.KD,2014,26.18
NG.KD,2015,25.85
NG.KD,2016,26.38
NG.KD,2017,25.96
NG.KD,2018,25.91
NG.KD,2019,25.77
NG.KD,2020,25.87
NG.KD,2021,26.17
NG.KD,2022,25.57
