Geography,Year,Count
NG.KE,1901,28.27
NG.KE,1902,28.34
NG.KE,1903,28.43
NG.KE,1904,28.43
NG.KE,1905,27.95
NG.KE,1906,28.8
NG.KE,1907,28.3
NG.KE,1908,28.37
NG.KE,1909,28.11
NG.KE,1910,28.59
NG.KE,1911,28.15
NG.KE,1912,28.58
NG.KE,1913,28.93
NG.KE,1914,29.23
NG.KE,1915,28.24
NG.KE,1916,28.1
NG.KE,1917,28.16
NG.KE,1918,28.11
NG.KE,1919,28.43
NG.KE,1920,28.45
NG.KE,1921,28.43
NG.KE,1922,28.29
NG.KE,1923,28.45
NG.KE,1924,28.46
NG.KE,1925,27.79
NG.KE,1926,28.56
NG.KE,1927,28.27
NG.KE,1928,28.11
NG.KE,1929,27.82
NG.KE,1930,29.01
NG.KE,1931,29.31
NG.KE,1932,28.84
NG.KE,1933,28.68
NG.KE,1934,29.09
NG.KE,1935,29.24
NG.KE,1936,28.56
NG.KE,1937,29.54
NG.KE,1938,29.97
NG.KE,1939,29.3
NG.KE,1940,28.46
NG.KE,1941,29.46
NG.KE,1942,29.18
NG.KE,1943,28.54
NG.KE,1944,28.66
NG.KE,1945,28.09
NG.KE,1946,28.25
NG.KE,1947,28.68
NG.KE,1948,27.96
NG.KE,1949,28.81
NG.KE,1950,27.77
NG.KE,1951,28.44
NG.KE,1952,28.18
NG.KE,1953,28.04
NG.KE,1954,28.07
NG.KE,1955,27.95
NG.KE,1956,28.16
NG.KE,1957,28.08
NG.KE,1958,28.53
NG.KE,1959,28.38
NG.KE,1960,28.39
NG.KE,1961,27.64
NG.KE,1962,28.11
NG.KE,1963,28.41
NG.KE,1964,28.19
NG.KE,1965,28.02
NG.KE,1966,28.32
NG.KE,1967,28.12
NG.KE,1968,28.41
NG.KE,1969,28.95
NG.KE,1970,28.59
NG.KE,1971,28.1
NG.KE,1972,28.46
NG.KE,1973,28.83
NG.KE,1974,27.87
NG.KE,1975,27.72
NG.KE,1976,27.85
NG.KE,1977,28.0
NG.KE,1978,28.0
NG.KE,1979,28.28
NG.KE,1980,28.46
NG.KE,1981,28.53
NG.KE,1982,28.61
NG.KE,1983,28.8
NG.KE,1984,28.85
NG.KE,1985,28.73
NG.KE,1986,28.67
NG.KE,1987,29.06
NG.KE,1988,28.43
NG.KE,1989,27.96
NG.KE,1990,28.81
NG.KE,1991,28.47
NG.KE,1992,28.11
NG.KE,1993,28.57
NG.KE,1994,28.28
NG.KE,1995,28.65
NG.KE,1996,28.81
NG.KE,1997,28.8
NG.KE,1998,29.09
NG.KE,1999,28.72
NG.KE,2000,28.49
NG.KE,2001,28.76
NG.KE,2002,28.92
NG.KE,2003,29.03
NG.KE,2004,29.04
NG.KE,2005,29.24
NG.KE,2006,29.15
NG.KE,2007,29.08
NG.KE,2008,28.6
NG.KE,2009,29.47
NG.KE,2010,29.41
NG.KE,2011,29.21
NG.KE,2012,28.98
NG.KE,2013,29.15
NG.KE,2014,29.27
NG.KE,2015,28.98
NG.KE,2016,29.47
NG.KE,2017,29.15
NG.KE,2018,29.12
NG.KE,2019,28.99
NG.KE,2020,29.13
NG.KE,2021,29.5
NG.KE,2022,28.78
