Geography,Year,Count
NG.LA,1901,26.79
NG.LA,1902,26.98
NG.LA,1903,27.0
NG.LA,1904,26.95
NG.LA,1905,26.93
NG.LA,1906,27.25
NG.LA,1907,27.0
NG.LA,1908,26.97
NG.LA,1909,26.91
NG.LA,1910,27.01
NG.LA,1911,27.0
NG.LA,1912,27.09
NG.LA,1913,27.2
NG.LA,1914,27.43
NG.LA,1915,27.0
NG.LA,1916,27.01
NG.LA,1917,27.0
NG.LA,1918,27.0
NG.LA,1919,27.0
NG.LA,1920,27.05
NG.LA,1921,27.0
NG.LA,1922,27.01
NG.LA,1923,26.85
NG.LA,1924,26.94
NG.LA,1925,26.37
NG.LA,1926,27.09
NG.LA,1927,26.54
NG.LA,1928,26.46
NG.LA,1929,26.3
NG.LA,1930,27.3
NG.LA,1931,27.31
NG.LA,1932,27.45
NG.LA,1933,27.37
NG.LA,1934,27.39
NG.LA,1935,27.33
NG.LA,1936,26.8
NG.LA,1937,27.58
NG.LA,1938,27.7
NG.LA,1939,27.34
NG.LA,1940,27.08
NG.LA,1941,27.73
NG.LA,1942,27.41
NG.LA,1943,27.04
NG.LA,1944,27.3
NG.LA,1945,26.97
NG.LA,1946,26.94
NG.LA,1947,27.22
NG.LA,1948,26.77
NG.LA,1949,27.34
NG.LA,1950,26.82
NG.LA,1951,27.36
NG.LA,1952,27.08
NG.LA,1953,26.87
NG.LA,1954,26.54
NG.LA,1955,26.55
NG.LA,1956,26.57
NG.LA,1957,26.76
NG.LA,1958,26.94
NG.LA,1959,26.97
NG.LA,1960,26.87
NG.LA,1961,26.77
NG.LA,1962,26.71
NG.LA,1963,27.1
NG.LA,1964,26.67
NG.LA,1965,26.81
NG.LA,1966,27.09
NG.LA,1967,26.69
NG.LA,1968,26.97
NG.LA,1969,27.27
NG.LA,1970,27.05
NG.LA,1971,26.22
NG.LA,1972,26.58
NG.LA,1973,26.99
NG.LA,1974,26.27
NG.LA,1975,26.1
NG.LA,1976,26.17
NG.LA,1977,26.9
NG.LA,1978,26.54
NG.LA,1979,26.86
NG.LA,1980,26.83
NG.LA,1981,27.43
NG.LA,1982,27.28
NG.LA,1983,27.62
NG.LA,1984,27.52
NG.LA,1985,27.33
NG.LA,1986,27.15
NG.LA,1987,27.41
NG.LA,1988,26.87
NG.LA,1989,26.58
NG.LA,1990,26.95
NG.LA,1991,26.8
NG.LA,1992,26.77
NG.LA,1993,26.8
NG.LA,1994,26.79
NG.LA,1995,26.97
NG.LA,1996,26.99
NG.LA,1997,26.92
NG.LA,1998,27.54
NG.LA,1999,26.97
NG.LA,2000,27.31
NG.LA,2001,27.4
NG.LA,2002,27.4
NG.LA,2003,27.53
NG.LA,2004,27.33
NG.LA,2005,27.6
NG.LA,2006,27.58
NG.LA,2007,27.53
NG.LA,2008,27.33
NG.LA,2009,27.56
NG.LA,2010,27.92
NG.LA,2011,27.5
NG.LA,2012,27.31
NG.LA,2013,27.49
NG.LA,2014,27.66
NG.LA,2015,27.68
NG.LA,2016,27.94
NG.LA,2017,27.78
NG.LA,2018,27.73
NG.LA,2019,27.61
NG.LA,2020,27.89
NG.LA,2021,28.07
NG.LA,2022,27.56
