Geography,Year,Count
NG.NA,1901,26.29
NG.NA,1902,26.6
NG.NA,1903,26.63
NG.NA,1904,26.55
NG.NA,1905,26.61
NG.NA,1906,26.8
NG.NA,1907,26.64
NG.NA,1908,26.59
NG.NA,1909,26.59
NG.NA,1910,26.55
NG.NA,1911,26.64
NG.NA,1912,26.67
NG.NA,1913,26.72
NG.NA,1914,26.93
NG.NA,1915,26.62
NG.NA,1916,26.63
NG.NA,1917,26.62
NG.NA,1918,26.62
NG.NA,1919,26.62
NG.NA,1920,26.63
NG.NA,1921,26.62
NG.NA,1922,26.62
NG.NA,1923,26.78
NG.NA,1924,26.66
NG.NA,1925,26.05
NG.NA,1926,26.82
NG.NA,1927,26.76
NG.NA,1928,26.39
NG.NA,1929,26.03
NG.NA,1930,27.19
NG.NA,1931,27.51
NG.NA,1932,27.18
NG.NA,1933,26.9
NG.NA,1934,27.21
NG.NA,1935,27.32
NG.NA,1936,26.71
NG.NA,1937,27.39
NG.NA,1938,27.85
NG.NA,1939,27.36
NG.NA,1940,26.63
NG.NA,1941,27.63
NG.NA,1942,27.24
NG.NA,1943,26.74
NG.NA,1944,26.77
NG.NA,1945,26.38
NG.NA,1946,26.53
NG.NA,1947,26.76
NG.NA,1948,26.25
NG.NA,1949,26.87
NG.NA,1950,26.44
NG.NA,1951,26.57
NG.NA,1952,26.45
NG.NA,1953,26.38
NG.NA,1954,26.41
NG.NA,1955,26.29
NG.NA,1956,26.35
NG.NA,1957,26.45
NG.NA,1958,26.71
NG.NA,1959,26.58
NG.NA,1960,26.68
NG.NA,1961,26.23
NG.NA,1962,26.53
NG.NA,1963,26.82
NG.NA,1964,26.51
NG.NA,1965,26.4
NG.NA,1966,26.56
NG.NA,1967,26.39
NG.NA,1968,26.54
NG.NA,1969,26.95
NG.NA,1970,26.68
NG.NA,1971,26.28
NG.NA,1972,26.6
NG.NA,1973,26.9
NG.NA,1974,26.16
NG.NA,1975,26.12
NG.NA,1976,26.24
NG.NA,1977,26.44
NG.NA,1978,26.39
NG.NA,1979,26.65
NG.NA,1980,26.65
NG.NA,1981,26.64
NG.NA,1982,26.72
NG.NA,1983,26.84
NG.NA,1984,26.91
NG.NA,1985,26.75
NG.NA,1986,26.72
NG.NA,1987,27.07
NG.NA,1988,26.62
NG.NA,1989,26.22
NG.NA,1990,26.89
NG.NA,1991,26.65
NG.NA,1992,26.41
NG.NA,1993,26.69
NG.NA,1994,26.53
NG.NA,1995,26.77
NG.NA,1996,26.83
NG.NA,1997,26.8
NG.NA,1998,27.16
NG.NA,1999,26.79
NG.NA,2000,26.63
NG.NA,2001,26.8
NG.NA,2002,26.95
NG.NA,2003,27.04
NG.NA,2004,27.01
NG.NA,2005,27.13
NG.NA,2006,27.15
NG.NA,2007,27.1
NG.NA,2008,26.84
NG.NA,2009,27.36
NG.NA,2010,27.46
NG.NA,2011,27.07
NG.NA,2012,26.96
NG.NA,2013,27.16
NG.NA,2014,27.23
NG.NA,2015,27.06
NG.NA,2016,27.45
NG.NA,2017,27.15
NG.NA,2018,27.08
NG.NA,2019,26.98
NG.NA,2020,27.09
NG.NA,2021,27.31
NG.NA,2022,26.86
