Geography,Year,Count
NG.NI,1901,27.41
NG.NI,1902,27.58
NG.NI,1903,27.6
NG.NI,1904,27.59
NG.NI,1905,27.25
NG.NI,1906,28.04
NG.NI,1907,27.58
NG.NI,1908,27.6
NG.NI,1909,27.35
NG.NI,1910,27.79
NG.NI,1911,27.52
NG.NI,1912,27.74
NG.NI,1913,28.12
NG.NI,1914,28.41
NG.NI,1915,27.58
NG.NI,1916,27.56
NG.NI,1917,27.57
NG.NI,1918,27.56
NG.NI,1919,27.6
NG.NI,1920,27.62
NG.NI,1921,27.6
NG.NI,1922,27.58
NG.NI,1923,27.67
NG.NI,1924,27.62
NG.NI,1925,26.97
NG.NI,1926,27.77
NG.NI,1927,27.53
NG.NI,1928,27.28
NG.NI,1929,27.0
NG.NI,1930,28.21
NG.NI,1931,28.4
NG.NI,1932,28.1
NG.NI,1933,27.9
NG.NI,1934,28.28
NG.NI,1935,28.33
NG.NI,1936,27.66
NG.NI,1937,28.55
NG.NI,1938,28.94
NG.NI,1939,28.33
NG.NI,1940,27.63
NG.NI,1941,28.67
NG.NI,1942,28.33
NG.NI,1943,27.73
NG.NI,1944,27.8
NG.NI,1945,27.26
NG.NI,1946,27.44
NG.NI,1947,27.81
NG.NI,1948,27.13
NG.NI,1949,27.94
NG.NI,1950,27.04
NG.NI,1951,27.68
NG.NI,1952,27.49
NG.NI,1953,27.33
NG.NI,1954,27.25
NG.NI,1955,27.15
NG.NI,1956,27.31
NG.NI,1957,27.35
NG.NI,1958,27.69
NG.NI,1959,27.56
NG.NI,1960,27.61
NG.NI,1961,27.08
NG.NI,1962,27.35
NG.NI,1963,27.65
NG.NI,1964,27.38
NG.NI,1965,27.3
NG.NI,1966,27.54
NG.NI,1967,27.29
NG.NI,1968,27.53
NG.NI,1969,27.97
NG.NI,1970,27.71
NG.NI,1971,27.03
NG.NI,1972,27.39
NG.NI,1973,27.79
NG.NI,1974,26.96
NG.NI,1975,26.81
NG.NI,1976,26.97
NG.NI,1977,27.25
NG.NI,1978,27.1
NG.NI,1979,27.41
NG.NI,1980,27.48
NG.NI,1981,27.85
NG.NI,1982,27.87
NG.NI,1983,28.11
NG.NI,1984,28.05
NG.NI,1985,27.94
NG.NI,1986,27.83
NG.NI,1987,28.09
NG.NI,1988,27.55
NG.NI,1989,27.1
NG.NI,1990,27.82
NG.NI,1991,27.52
NG.NI,1992,27.3
NG.NI,1993,27.57
NG.NI,1994,27.42
NG.NI,1995,27.68
NG.NI,1996,27.81
NG.NI,1997,27.76
NG.NI,1998,28.17
NG.NI,1999,27.73
NG.NI,2000,27.65
NG.NI,2001,27.9
NG.NI,2002,27.98
NG.NI,2003,28.11
NG.NI,2004,28.04
NG.NI,2005,28.24
NG.NI,2006,28.2
NG.NI,2007,28.13
NG.NI,2008,27.8
NG.NI,2009,28.41
NG.NI,2010,28.5
NG.NI,2011,28.18
NG.NI,2012,28.02
NG.NI,2013,28.22
NG.NI,2014,28.36
NG.NI,2015,28.15
NG.NI,2016,28.58
NG.NI,2017,28.3
NG.NI,2018,28.22
NG.NI,2019,28.09
NG.NI,2020,28.25
NG.NI,2021,28.56
NG.NI,2022,27.95
