Geography,Year,Count
NG.OG,1901,26.94
NG.OG,1902,27.12
NG.OG,1903,27.14
NG.OG,1904,27.1
NG.OG,1905,26.99
NG.OG,1906,27.44
NG.OG,1907,27.13
NG.OG,1908,27.12
NG.OG,1909,27.0
NG.OG,1910,27.2
NG.OG,1911,27.11
NG.OG,1912,27.24
NG.OG,1913,27.42
NG.OG,1914,27.66
NG.OG,1915,27.14
NG.OG,1916,27.14
NG.OG,1917,27.14
NG.OG,1918,27.14
NG.OG,1919,27.14
NG.OG,1920,27.19
NG.OG,1921,27.13
NG.OG,1922,27.14
NG.OG,1923,27.01
NG.OG,1924,27.1
NG.OG,1925,26.5
NG.OG,1926,27.24
NG.OG,1927,26.68
NG.OG,1928,26.59
NG.OG,1929,26.41
NG.OG,1930,27.45
NG.OG,1931,27.48
NG.OG,1932,27.59
NG.OG,1933,27.5
NG.OG,1934,27.59
NG.OG,1935,27.56
NG.OG,1936,26.97
NG.OG,1937,27.82
NG.OG,1938,27.97
NG.OG,1939,27.55
NG.OG,1940,27.21
NG.OG,1941,27.9
NG.OG,1942,27.58
NG.OG,1943,27.18
NG.OG,1944,27.44
NG.OG,1945,27.06
NG.OG,1946,27.05
NG.OG,1947,27.37
NG.OG,1948,26.87
NG.OG,1949,27.48
NG.OG,1950,26.87
NG.OG,1951,27.49
NG.OG,1952,27.22
NG.OG,1953,27.0
NG.OG,1954,26.68
NG.OG,1955,26.68
NG.OG,1956,26.7
NG.OG,1957,26.9
NG.OG,1958,27.08
NG.OG,1959,27.11
NG.OG,1960,27.0
NG.OG,1961,26.9
NG.OG,1962,26.84
NG.OG,1963,27.23
NG.OG,1964,26.82
NG.OG,1965,26.95
NG.OG,1966,27.22
NG.OG,1967,26.82
NG.OG,1968,27.1
NG.OG,1969,27.41
NG.OG,1970,27.18
NG.OG,1971,26.36
NG.OG,1972,26.72
NG.OG,1973,27.13
NG.OG,1974,26.4
NG.OG,1975,26.24
NG.OG,1976,26.29
NG.OG,1977,27.01
NG.OG,1978,26.65
NG.OG,1979,26.98
NG.OG,1980,26.96
NG.OG,1981,27.56
NG.OG,1982,27.41
NG.OG,1983,27.75
NG.OG,1984,27.65
NG.OG,1985,27.47
NG.OG,1986,27.28
NG.OG,1987,27.55
NG.OG,1988,27.01
NG.OG,1989,26.71
NG.OG,1990,27.08
NG.OG,1991,26.94
NG.OG,1992,26.9
NG.OG,1993,26.93
NG.OG,1994,26.92
NG.OG,1995,27.11
NG.OG,1996,27.13
NG.OG,1997,27.06
NG.OG,1998,27.67
NG.OG,1999,27.11
NG.OG,2000,27.45
NG.OG,2001,27.55
NG.OG,2002,27.53
NG.OG,2003,27.67
NG.OG,2004,27.46
NG.OG,2005,27.75
NG.OG,2006,27.72
NG.OG,2007,27.66
NG.OG,2008,27.46
NG.OG,2009,27.72
NG.OG,2010,28.05
NG.OG,2011,27.64
NG.OG,2012,27.46
NG.OG,2013,27.65
NG.OG,2014,27.83
NG.OG,2015,27.85
NG.OG,2016,28.08
NG.OG,2017,27.91
NG.OG,2018,27.89
NG.OG,2019,27.74
NG.OG,2020,28.01
NG.OG,2021,28.2
NG.OG,2022,27.69
